"MetaboAnalyst_ID","POS_D5.Ctrl.a.P.EAMeOH_Run28.mzML","POS_D5.Ctrl.b.P.EAMeOH_Run31.mzML","POS_D5.Ctrl.c.P.EAMeOH_Run34.mzML","POS_D5.211.C1.a_Run91.mzML","POS_D5.211.C1.b_Run94.mzML","POS_D5.211.C1.c_Run97.mzML","shared_name"
"362/377.166mz/5.73min",2.23408902858877,2.14229537196479,2.18235385505234,2.34462362326744,2.24485096203365,2.2096696914672,"362"
"363/346.3313mz/5.73min",3.38900695612285,3.45127574215205,3.36243611130769,3.58668152019124,3.53313075667856,3.5856906788341,"363"
"364/399.1479mz/5.73min",2.66953184858929,2.60002204724093,2.63549430475351,2.68383302135577,2.60550535710383,2.57507705765839,"364"
"365/347.3346mz/5.73min",2.70074048851739,2.79887906057329,2.66973665595127,2.93618032384373,2.85146993679444,2.90867036072461,"365"
"366/368.313mz/5.73min",2.10214443791815,2.16799788934156,2.07110566253465,2.27684377486479,2.20754211978608,2.25732620717211,"366"
"370/452.2766mz/5.76min",1.04302346094198,1.04299401265423,0.961283575093325,2.24354632222224,2.16093923215686,2.37106734190392,"370"
"373/326.305mz/5.8min",1.7418035271756,1.77133870829082,1.6720639556538,1.74850919243725,1.71347814136006,1.8368752472164,"373"
"375/517.2515mz/5.81min",1.85389338851013,1.94720393897391,1.84807523302981,1.71182259962995,1.75752820362085,1.99977743720649,"375"
"376/494.3235mz/5.82min",-0.0494666619863215,0.355650996380712,-0.279736052571691,2.53963892900641,2.48525608418758,2.67898562103876,"376"
"379/266.6391mz/5.81min",1.38506370781541,1.37183462808367,1.37701717401414,2.07205340602012,2.03361658677605,2.2087294753969,"379"
"380/104.1069mz/5.81min",0.707041241093408,0.785331396405452,0.768517760435978,2.47995365798779,2.42712703849867,2.55276492471262,"380"
"382/339.1118mz/5.83min",1.82105015819646,1.91790162523358,1.85055610432582,1.49850858786321,1.54815544541528,1.76875142661911,"382"
"383/284.2946mz/5.83min",2.23120846364611,2.2934464221769,2.1995616835316,2.37146684476241,2.33110735646458,2.35302435218291,"383"
"385/344.3157mz/5.86min",2.42207118627888,2.49457510534543,2.44848319151968,2.36981988799484,2.28661426111083,2.32551709430192,"385"
"386/314.3051mz/5.88min",2.28428502257965,2.33822323066627,2.22916679834083,2.428937285787,2.32187713250576,2.44764300168876,"386"
"387/631.3265mz/5.88min",2.11356260291821,1.94171145763444,2.1019903592868,2.21757438278344,2.00139813629072,1.79007817306599,"387"
"396/449.1846mz/5.95min",1.88026484103975,1.91817729519826,1.88453196259003,1.84904249537893,1.85488058900271,1.90422888073015,"396"
"399/330.3364mz/5.98min",2.92108036843639,2.98548388253195,2.83336701224796,3.19182866733189,3.12651593189237,3.14389499062118,"399"
"403/331.3398mz/5.98min",2.25151416633562,2.324977700573,2.15922001624598,2.5463282677923,2.46166191364051,2.48024467425204,"403"
"405/359.1531mz/5.99min",2.26223875754302,2.12077817573481,2.24498534587952,2.29781049726748,2.14363942211965,1.92939405202509,"405"
"406/337.1711mz/5.99min",2.46205071698365,2.31285758398617,2.42744884705795,2.52839166688417,2.35881560144459,2.12675713689429,"406"
"409/359.24mz/6.01min",1.98104592903332,2.05768887921694,2.03925581793958,1.76895427461679,1.8436529577484,1.8371290683552,"409"
"414/358.331mz/6.07min",2.01175028857386,2.04714492533867,1.82709927188739,1.83396336122743,1.47410096886057,1.63030384296536,"414"
"415/328.3208mz/6.07min",3.75420954304721,3.80564277102544,3.68401490428484,3.8898061486485,3.79605325761314,3.82271513661925,"415"
"418/532.2582mz/6.07min",1.88313463238012,1.66247703133634,1.83073693072991,1.9446080933795,1.6919147490811,1.41805310089522,"418"
"419/329.3241mz/6.07min",3.06969241374137,3.12374142003365,3.03519819556106,3.2405925856329,3.14627749700377,3.17065330181745,"419"
"420/676.4482mz/6.09min",2.05152501928648,2.22070617082983,1.97915179324157,2.55344000176134,2.51767382315513,2.68747341240158,"420"
"422/372.1201mz/6.1min",2.85209143646859,2.96710972143131,2.84989320672897,2.88106496248107,2.94292985321214,3.09015548875648,"422"
"423/244.0765mz/6.1min",1.82343860601251,2.03056989778681,1.83703845103724,1.85410897139824,1.99568472871558,2.2352720326466,"423"
"424/165.091mz/6.1min",2.08453400215938,2.27298301214882,2.07342120286917,2.19132301842769,2.32225559205223,2.56910103120764,"424"
"426/119.0855mz/6.1min",2.18773070288994,2.39441868440495,2.19085309607521,2.31953973154144,2.43210167301678,2.66955032626011,"426"
"430/373.123mz/6.1min",1.96037795595426,2.09107376889814,1.94523087760815,1.95714332257664,2.05073911366982,2.1844639221808,"430"
"431/412.1431mz/6.1min",1.92465613581267,2.05965159429421,1.93019108825889,1.89458709686149,2.00589500044216,2.18943371088271,"431"
"432/147.0805mz/6.1min",3.34549764503707,3.53594770307046,3.34453275768144,3.42513641855666,3.56109513513548,3.79802798846855,"432"
"433/235.0712mz/6.1min",1.73952557710428,1.91418437620191,1.74526685138144,1.67792143192044,1.8416565783867,2.07175984773181,"433"
"434/697.2624mz/6.1min",1.95775444514533,2.24805245613341,1.94073839532338,2.1717649985137,2.37155201533218,2.7250323662789,"434"
"435/719.2445mz/6.1min",2.82858297891188,3.04106371551988,2.83698938915841,2.87842260436984,3.04775760004611,3.31972498944887,"435"
"436/349.1349mz/6.1min",2.78449071261894,2.95778510434176,2.76822704749623,2.86881630619765,3.00194621435075,3.24948707421274,"436"
"437/371.1169mz/6.1min",3.50864495227705,3.63312086253384,3.5110917028084,3.50550533411283,3.60431182961696,3.77263996982026,"437"
"438/255.5844mz/6.1min",1.91080078855649,2.09818341337289,1.92901699746965,1.90057800052556,2.0585946937834,2.27694327255458,"438"
"439/219.0569mz/6.1min",1.87437989080675,2.07448015831238,1.89744371017105,1.91468720200814,2.07159125943967,2.33889582978684,"439"
"440/394.1925mz/6.1min",1.79278204461531,1.87500321878842,1.68020829314542,1.71924356635185,1.7998618720707,1.93352358779146,"440"
"445/372.3468mz/6.12min",3.00592672501962,3.07015996833128,2.8519260137886,2.84403719673548,2.94256859771607,2.65228964068347,"445"
"446/373.3501mz/6.12min",2.37980384496968,2.4451085566788,2.22824250472267,2.22777021204797,2.3285598965582,2.03311138551514,"446"
"448/454.2922mz/6.16min",1.03908961428255,1.03795810424149,1.15654011332513,2.15110056333049,2.00402894020628,2.26340096831557,"448"
"450/532.2582mz/6.15min",1.90285174375002,1.68889260330905,1.84472686733861,2.0549944043792,1.77098756407278,1.33290951804124,"450"
"452/313.2346mz/6.19min",2.45765229,2.26608775985312,2.36197279507811,2.07914185937804,2.05395558334231,2.23056400103246,"452"
"453/496.3392mz/6.21min",-0.0656626663221805,0.213173165303035,0.0908258231955075,2.2514301839611,2.15837086651907,2.41417345895496,"453"
"457/104.1069mz/6.21min",0.922006628709202,0.893614943076206,1.1377723707966,2.29634642263308,2.24861335486504,2.43229459698405,"457"
"460/357.2608mz/6.21min",2.23422900256245,2.33925162857918,2.42908202826431,2.43192850523363,2.58227531034821,2.67667841005885,"460"
"464/318.2401mz/6.24min",2.27796454428849,2.2136291277561,2.25178068053606,1.66970995443656,1.61297073985265,1.55183396804216,"464"
"465/401.2869mz/6.24min",2.19884739251853,2.18690139733814,2.29350799681042,2.46398486925169,2.47977390835945,2.57784657517262,"465"
"467/312.3258mz/6.25min",2.29290374387538,2.36144543525852,2.24165702737382,2.4036742696815,2.36160487344851,2.36903017258251,"467"
"470/489.3392mz/6.26min",1.5723174504565,1.55030203357786,1.66765987414647,1.89579943556347,2.00960208386856,2.09519960534883,"470"
"471/445.313mz/6.26min",1.90730731913583,1.83013271870239,1.92969595951561,2.10737688495168,2.12639926275431,2.37412231037024,"471"
"473/385.1323mz/6.27min",1.40063915944906,1.79920005328838,1.55656061417661,1.67716364544927,1.84517198750161,2.09727979226791,"473"
"477/220.1121mz/6.3min",2.0759643690459,2.22050962633022,2.23787990220316,1.99907226880225,2.00340674249007,2.05512987840035,"477"
"478/255.243mz/6.3min",1.9365072414346,1.99774515959947,1.99634247503884,1.44801670366764,1.46969482097269,1.610490395072,"478"
"488/275.083mz/6.37min",2.24706165254264,2.1187010118654,2.19702667220226,2.39357585905911,2.17100167664168,1.99656777394248,"488"
"489/433.1899mz/6.37min",2.72859608406027,2.62145798605695,2.70079293165372,2.75889487288496,2.62674597760547,2.47028960070047,"489"
"495/365.1356mz/6.49min",1.55346934193153,1.41197772000601,1.37688078640816,2.13883662705888,2.16031310212669,2.16257817835813,"495"
"499/335.1251mz/6.56min",2.06531340339899,1.96539358558481,1.94965396733919,2.31529963963433,2.39184426938299,2.40891857201175,"499"
"503/409.1922mz/6.6min",2.11588654845265,2.04371002885455,2.05533852371386,2.19253249887729,2.01005798583579,1.91271988760056,"503"
"504/431.1741mz/6.6min",1.9407007676262,1.882335647422,1.89076517522108,1.98918804543715,1.84026719598087,1.73074204448324,"504"
"512/149.0234mz/6.65min",1.86970297968651,1.78575365454535,1.79597020647831,1.76069219311401,1.81339656962699,1.72595003265509,"512"
"513/301.1408mz/6.65min",2.42784048293764,2.33669452394222,2.340561262671,2.06850207023149,2.26647404769615,2.19274526948846,"513"
"514/228.2322mz/6.65min",2.13290541059367,2.11734572842112,2.12026901565922,1.7867262706078,1.82518423129774,1.8351566620213,"514"
"516/384.746mz/6.72min",2.37378678769465,2.36055770728681,2.36574025348706,3.02658723480626,2.32336967267821,2.29768385360214,"516"
"519/342.2425mz/6.78min",1.91689008910047,1.99348246490771,1.7892768557871,1.96092877295529,1.95602794635991,2.10288965643721,"519"
"526/577.3608mz/6.86min",2.20288386584408,2.01095786327708,2.14945177695289,2.31070871552596,2.11512762337061,1.83236064141099,"526"
"541/425.2141mz/7.09min",1.66151961764432,1.61563141019216,1.57549413269586,2.48494631444956,2.40781180750121,2.36745925878504,"541"
"543/341.266mz/7.09min",1.73685123422128,1.7995005408544,1.76020968371097,1.84131176943692,1.84314504917455,1.75303173252687,"543"
"547/385.2921mz/7.1min",1.66200585533847,1.78952587647993,1.71511936646432,1.80070721036133,1.86407729512802,1.66033044176192,"547"
"548/473.3444mz/7.1min",1.61653750062481,1.80701523823821,1.7355667802989,1.83813674293328,1.96021325240639,1.5822927602697,"548"
"549/429.3181mz/7.1min",1.68295314191453,1.85629048750456,1.7983621471545,1.88615192893746,2.055798562088,1.64544174539953,"549"
"552/478.2924mz/7.17min",2.19929792895254,2.03977376295823,2.14355415843175,2.20339217314644,2.0304786861838,1.80217741143455,"552"
"555/368.2581mz/7.21min",2.00036433214619,2.0484369896377,1.94935179495325,2.13385747836193,2.17878422293209,2.23580809362007,"555"
"557/752.52mz/7.22min",2.06216036657636,2.04893128619155,2.05411383238261,3.00110953947789,2.8204075739873,2.68502743631788,"557"
"560/256.2634mz/7.29min",1.71860030633719,1.70866240630039,1.72460509240864,1.97874150436797,2.03175463391347,2.06531965551584,"560"
"574/730.5378mz/7.37min",1.15362178197012,0.440973833564343,0.789858873176909,3.66233581469795,3.50442029303429,3.47823019130468,"574"
"577/752.5195mz/7.37min",1.70235613484828,1.47160830364028,1.22839566144328,3.04167644528959,3.11836243970154,3.4228144119849,"577"
"580/352.1777mz/7.37min",2.28380469417278,2.3212826203906,2.34519236383712,1.99171138878648,1.83401692517659,2.08649499380387,"580"
"582/782.5659mz/7.37min",2.17954420761164,2.2095927036265,2.35082063735879,2.46207136593981,2.47376454419788,2.75500105773137,"582"
"583/350.1774mz/7.37min",2.10833832338945,2.14944812833425,2.16179413524665,2.06745293757577,1.98314638972923,2.17141402454703,"583"
"584/810.5968mz/7.37min",1.68283534102007,1.79460192522042,1.53371844206668,1.95088707425794,1.80972527385461,2.0075231490771,"584"
"588/237.2212mz/7.38min",2.2353755435291,2.27056526074245,2.34484543373812,1.76584349683315,1.67117300671179,1.92650388905458,"588"
"590/577.5184mz/7.38min",2.78031832017396,1.82064572466949,1.94900997125116,1.6569683016983,1.79695465248001,1.60395949144242,"590"
"592/255.2317mz/7.38min",2.37976444210721,2.40288387512552,2.48030154350088,1.92624554272294,1.85362879465583,2.08966293321849,"592"
"596/323.219mz/7.37min",2.03145987340139,2.0741920904199,2.20591997906233,0.461446780248115,0.868843773926843,1.38650018610406,"596"
"602/780.5506mz/7.39min",2.21263295075404,2.24824175311153,2.19213224136702,1.55623842553985,0.792464877391033,1.2904394133224,"602"
"603/716.5216mz/7.38min",2.63175842320561,2.54527092088093,2.667482877889,-0.629269379180184,0.0653415933706578,0.82356989439316,"603"
"604/760.5839mz/7.37min",1.57543897684256,2.15754561091861,2.26239453249877,2.01853685378718,1.84165803439511,2.34926386719109,"604"
"610/392.3308mz/7.42min",2.40204668882099,2.37430915094094,2.39554041722874,2.97417494664918,2.59331166376777,2.64207192538803,"610"
"611/393.3341mz/7.42min",1.86839809400087,1.84006147354233,1.8661033208613,2.45438400692502,2.06341324203771,2.11491253678592,"611"
"614/282.2789mz/7.45min",1.7965479067565,1.82469219058615,1.83230747976629,1.97498881937167,1.9768228413042,1.97798856866972,"614"
"617/481.292mz/7.45min",2.77971753501585,2.83342245962792,2.75180494808932,2.17587529949751,2.4946536094738,2.61524063840635,"617"
"621/377.32mz/7.47min",2.14425235875333,2.1847778132325,2.10340309224792,1.9832776443299,2.06095445178679,2.12238799987494,"621"
"622/395.3304mz/7.47min",2.06584021672422,2.11677232332994,2.02680088236261,1.8246056921617,1.88846790881665,1.98030645350805,"622"
"624/365.2659mz/7.51min",2.34383437106367,2.43531978498155,2.50446653452316,1.72932661391582,1.83817038425047,2.09928301101546,"624"
"631/557.281mz/7.54min",1.91303638961976,1.81568543175089,1.84760099970401,1.98305739765668,1.97308938027427,1.83960314153688,"631"
"632/579.263mz/7.54min",2.67516967932538,2.61589758191691,2.66641571569778,2.4580055219036,2.49170176970969,2.47959035878431,"632"
"636/112.0179mz/7.56min",2.99478116617522,2.63730528765266,2.64631990755107,2.51453591554797,2.48355204120843,3.1117482799418,"636"
"639/481.2919mz/7.57min",2.36078666275105,2.44020682874057,2.30162697827818,1.76454461416949,2.0493865400127,2.16333225780012,"639"
"642/141.9834mz/7.58min",2.14999173018212,2.1477113852698,2.15545560845239,1.99723326088337,2.61139009438116,2.00784441618925,"642"
"643/111.0202mz/7.55min",3.40511187696282,3.04882324592939,3.32203433600672,2.91020648009772,2.95183596828066,2.93165604919689,"643"
"645/111.5218mz/7.59min",2.33447607783547,2.32397610266557,1.99972904951607,1.79194319471003,1.86515387967287,1.49376493424898,"645"
"648/337.2346mz/7.6min",1.87964442442489,1.85851108156157,1.8330796173084,2.36336730465715,2.44083982975403,2.56249814384096,"648"
"651/410.3047mz/7.62min",1.89010476606654,1.93645808316916,1.85739539893146,1.87789475624773,1.92518270934049,2.06066293017658,"651"
"656/113.0166mz/7.67min",2.0656831918794,2.06504234621362,2.05343867060046,0.966404413937941,1.45078567819465,2.24762995863879,"656"
"658/483.3803mz/7.66min",1.74549212814736,1.89704674391713,1.78353535500547,1.41645592761539,1.73758962185726,1.80270785982306,"658"
"662/131.5335mz/7.65min",2.43773412610147,2.06612000017376,2.35143373622678,1.67572919368885,1.84639278501185,1.9077847378005,"662"
"663/409.3112mz/7.73min",2.16487164852367,2.04122782294634,2.04241110303403,1.48207001644746,1.50470260349196,1.45273140804358,"663"
"666/408.308mz/7.7min",2.38094220882505,2.22466155739254,2.25532280050202,2.09595349221492,2.1136932789716,2.08152653143364,"666"
"669/226.1801mz/7.7min",2.10421467142879,1.9340155657084,1.97420063426167,2.16031727025709,2.04363504370449,1.99948157171503,"669"
"679/273.2575mz/7.71min",1.75139889672958,1.80553427181314,1.6653602900333,1.61097616425458,1.73714453971952,1.82747514298182,"679"
"680/181.0144mz/7.66min",2.44199208461043,1.90242085043778,2.43941961203537,1.69936116525808,0.820331386520239,1.65418175908364,"680"
"682/111.5218mz/7.66min",1.93730154528034,1.95182456127488,2.25597235450206,1.48460040107914,1.47982437005786,1.33543587924658,"682"
"684/207.0175mz/7.68min",2.3429244787339,2.33439620879558,2.33820220874176,1.74936032963974,1.58726978600559,1.81527315161405,"684"
"686/740.4043mz/7.74min",2.05061559520494,1.88412371669517,2.01097836868565,2.07327413757187,1.89585655477365,1.53737599662144,"686"
"687/282.2214mz/7.74min",2.11921673818633,2.11373239658555,2.12456206774055,1.97442246775549,2.11066011275714,2.032709401219,"687"
"690/579.263mz/7.75min",2.78364215186655,2.73060598783304,2.76949659135035,2.62941073026913,2.62798118337785,2.5800597553811,"690"
"691/421.1557mz/7.75min",2.14433079351582,2.07842326542853,2.12325590869851,2.11699711010206,2.06596709332257,1.96684651284107,"691"
"692/557.281mz/7.75min",2.08572462197608,2.00218867906867,2.03446675003759,2.079227841861,2.01790374054693,1.92399417963808,"692"
"693/730.5377mz/7.77min",0.678006418295631,-0.348072172900448,0.311965728192539,2.66516280886992,2.4282161337413,2.66977066460013,"693"
"699/690.5065mz/7.82min",1.81801895630283,1.80478987598083,1.80997242214683,3.1728196611265,2.63726241178045,2.44088602510111,"699"
"700/712.4886mz/7.83min",1.81587394552103,1.80264486519996,1.80782741136559,2.46867439131959,2.47210974414846,2.47884596510582,"700"
"702/754.5348mz/7.78min",0.906290016022666,1.41732248671299,1.37031807513274,2.73251601364141,3.20773552603521,3.31632073298642,"702"
"703/752.5194mz/7.79min",1.38948949226088,0.992126487242061,1.28619240208436,2.49362149599046,2.59665195892088,2.76886414061847,"703"
"704/393.2193mz/7.77min",1.96835508590452,2.00243912689049,1.98977663416469,1.62818122286204,1.6777740825157,1.7785991111182,"704"
"705/810.5964mz/7.77min",1.76095575172904,1.88363575001563,1.58652685309907,1.90598317420979,1.97589095622204,2.07046777349734,"705"
"707/395.2198mz/7.77min",2.02539767615197,2.05751168918667,2.06202617138998,1.62207958984476,1.6264198774272,1.72718347183295,"707"
"708/782.5652mz/7.77min",2.10067270952774,2.12318584395865,2.22577645735937,2.64640768364934,2.53345768958616,2.7203841903178,"708"
"709/808.5817mz/7.77min",1.52853995625172,1.58827721127349,1.69086387496029,2.3164011448267,2.32002091735199,2.01450962486761,"709"
"712/449.3019mz/7.77min",2.10078532153929,2.1565784878712,1.91608331785187,1.21648293902063,1.42536101658696,1.57409974738705,"712"
"714/226.18mz/7.77min",2.05854907799482,1.90795287133985,1.98625144000058,2.19573112280542,2.07154037861764,2.05744825338937,"714"
"715/228.1957mz/7.77min",2.16980252057343,2.01957772068638,2.11235597789346,2.30995142862276,2.19276732100916,2.17936910252362,"715"
"716/90.9766mz/7.77min",2.05750944752282,2.07193841096001,2.11982852062971,0.499128816736389,1.20296824180073,0.978372815677718,"716"
"717/244.1906mz/7.77min",1.94523244090226,1.80250932857123,1.88230788624499,2.09027704567229,1.96755684571864,1.95913665854979,"717"
"718/250.1776mz/7.77min",2.34146370849652,2.21199413206876,2.28679430338538,1.7592409455774,1.82789135694549,1.90206248497311,"718"
"719/408.308mz/7.77min",2.98066530012157,2.85105824858342,2.91730167359979,2.42639298100669,2.48663545266985,2.55218469961016,"719"
"720/780.5506mz/7.79min",2.01597220290594,2.07601071691501,1.98462863626568,3.19123937995892,2.74877498695953,1.91464709638122,"720"
