"","FC","log2(FC)","raw.pval","-log10(p)"
"1260/459.2362mz/4.76min",0.20574,-2.2811,0.0014321,2.844
"2871/506.3238mz/5.88min",2.8203,1.4958,0.0014989,2.8242
"635/584.2966mz/3.82min",7.2292,2.8538,0.0015031,2.823
"2438/443.2426mz/5.48min",0.03208,-4.9622,0.0015247,2.8168
"2201/428.17mz/5.34min",125.76,6.9745,0.0015279,2.8159
"491/87.0442mz/3.3min",0.012799,-6.2878,0.0015381,2.813
"2557/515.2613mz/5.59min",0.34066,-1.5536,0.0015606,2.8067
"2983/269.6615mz/5.97min",0.31843,-1.651,0.0015628,2.8061
"2094/441.1906mz/5.28min",0.41973,-1.2525,0.0015809,2.8011
"2647/457.2213mz/5.67min",0.24344,-2.0383,0.001607,2.794
"1795/389.2682mz/5.09min",4.2221,2.078,0.0016194,2.7907
"2175/430.2303mz/5.32min",0.26801,-1.8996,0.0016266,2.7887
"1961/458.2248mz/5.23min",5.4061,2.4346,0.0016315,2.7874
"1467/515.2039mz/4.88min",0.4196,-1.2529,0.0016714,2.7769
"722/357.1692mz/4.13min",0.26881,-1.8953,0.0016821,2.7741
"1270/915.3703mz/4.78min",0.29189,-1.7765,0.001712,2.7665
"5040/371.1009mz/7.72min",0.026051,-5.2625,0.0017263,2.7629
"1538/475.2321mz/4.93min",0.34148,-1.5501,0.0017266,2.7628
"1708/885.4047mz/5.05min",0.18593,-2.4271,0.0017602,2.7544
"5053/355.0694mz/7.72min",0.014448,-6.113,0.0017725,2.7514
"1311/440.1783mz/4.78min",0.49932,-1.002,0.0018149,2.7411
"1713/261.5933mz/5.05min",0.47021,-1.0886,0.0018398,2.7352
"2543/429.2274mz/5.58min",0.27105,-1.8834,0.0018895,2.7237
"733/439.1747mz/4.13min",0.28708,-1.8005,0.0018901,2.7235
"731/387.1798mz/4.13min",0.29835,-1.7449,0.0018924,2.723
"727/497.177mz/4.13min",0.020815,-5.5863,0.0019091,2.7192
"735/475.196mz/4.13min",0.28683,-1.8017,0.0019198,2.7167
"2174/429.227mz/5.32min",0.28023,-1.8353,0.0019322,2.714
"2091/393.2058mz/5.28min",0.27327,-1.8716,0.0019415,2.7119
"1638/231.1378mz/4.98min",0.37152,-1.4285,0.0019643,2.7068
"5602/371.1008mz/8.12min",0.032175,-4.9579,0.001969,2.7057
"609/218.028mz/3.7min",0.04221,-4.5663,0.001993,2.7005
"5143/284.2944mz/7.79min",0.34899,-1.5188,0.0020027,2.6984
"2364/467.2326mz/5.44min",4.5092,2.1729,0.0020385,2.6907
"736/369.1693mz/4.13min",0.26442,-1.9191,0.0020531,2.6876
"659/371.076mz/3.89min",84.725,6.4047,0.0020665,2.6848
"629/473.1805mz/3.79min",0.35781,-1.4827,0.0020982,2.6781
"2590/431.2791mz/5.61min",0.29501,-1.7612,0.0021099,2.6757
"1087/381.1691mz/4.62min",0.24873,-2.0073,0.0021275,2.6721
"1035/367.1536mz/4.57min",0.25727,-1.9586,0.0021348,2.6707
"2948/676.4249mz/5.94min",2.8226,1.497,0.0021801,2.6615
"726/297.1482mz/4.13min",0.28974,-1.7872,0.0021853,2.6605
"1768/441.2268mz/5.09min",0.17336,-2.5281,0.0021931,2.6589
"2941/494.3238mz/5.94min",2.1673,1.1159,0.0022347,2.6508
"542/229.1422mz/3.51min",4.2069,2.0728,0.0022493,2.648
"622/720.3489mz/3.76min",131.31,7.0368,0.0022495,2.6479
"3072/520.3397mz/6.05min",2.0033,1.0024,0.0022805,2.642
"2099/461.2528mz/5.28min",0.2818,-1.8273,0.0023074,2.6369
"1043/385.1641mz/4.57min",0.36537,-1.4526,0.0023401,2.6308
"2089/443.2418mz/5.28min",0.29928,-1.7404,0.0023567,2.6277
"459/238.1074mz/3.16min",8.082,3.0147,0.0023727,2.6248
