row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,NEG_TJGIp3_1_Run56.mzML Peak area,NEG_TJGIp3_3_Run174.mzML Peak area,NEG_TJGIp3_2_Run138.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,Unnamed: 19
176,116.07172735175956,1.966503,,,,139.0,,,,,,,445472.8,549214.56,605131.0,907328.2,647696.8,490891.47,
1605,116.92844722660706,7.687309700000001,,,,77.0,18.0,[2M-2H2O+H]+,,2.0,1602;1605,75.97102,34801564.0,25893428.0,42330960.0,47802570.0,43218256.0,24697296.0,
1418,116.92845806102714,7.4433875,,,,13.0,17.0,[2M-2H2O+H]+,,2.0,1401;1418,75.97102,18765894.0,11808816.0,11808183.0,14615060.0,13180680.0,10006987.0,
95,117.01931775753212,0.44248724,,,,,,,,,,,6245758.0,7193896.0,4807672.0,10156126.0,13373997.0,6141807.5,
124,117.01933847301216,0.64791393,,,,78.0,,,,,,,26499188.0,21863070.0,35269628.0,18596262.0,28887300.0,26081314.0,
197,117.01934319726541,2.2947737999999998,,,,,,,,,,,15843.296,16329.0,376097.06,4871.387,0.0,0.0,
158,117.01936572578535,0.89076567,,,,,,,,,,,322305.3,134086.98,108109.016,85419.3,798430.4,256245.06,
163,117.01937113380673,0.99576527,,,,,,,,,,,340763.0,289873.72,146063.38,222003.75,226705.86,147269.64,
1770,117.9190114919387,8.13885,,,,,,,,,,,940560.06,595246.9,507661.1,3585529.0,3479199.0,704678.06,
1832,117.92856243596027,8.137207,,,,,,,,,,,2575524.0,1737578.2,1866737.8,2552717.0,1323495.2,8634210.0,
1597,117.92857369866495,7.686528699999999,,,,77.0,,,,,,,5439434.0,5352075.5,3660687.8,5139976.0,5413701.0,2706657.0,
120,118.02265543914329,0.6479573000000001,,,,,,,,,,,1135171.5,542735.1,430648.38,308196.7,239684.16,668125.75,
103,118.02267798943724,0.53856087,,,,,,,,,,,185646.12,298061.3,333870.88,269103.53,372280.28,208626.5,
87,118.02278263829606,0.4161805,,,,,,,,,,,264314.62,212932.64,407963.44,326844.72,183716.28,182636.72,
129,118.05090813765577,0.63510674,,,,,,,,,,,591441.56,470282.38,1517355.6,1131346.8,2859675.8,788570.5,
19,118.05092654526544,0.36580756,,,,12.0,,,,,,,129664770.0,51751064.0,50061944.0,78830510.0,132713050.0,45604210.0,
275,118.05096333180576,2.867781,,,,,,,,,,,70652.54,25945.57,151467.95,22316.623,15142.796999999999,308257.38,
806,118.05097582279446,5.550508,,,,,,,,,,,58219.547,165819.02,187961.75,83974.04,162771.9,183663.77,
191,118.05098819545027,2.2647388,,,,,,,,,,,108105.73,649110.5,2926702.8,44669.707,97816.51,18882.148,
146,118.05099489462751,0.78395915,,,,,,,,,,,178658.73,697543.2,772167.2,891262.6,396258.66,406981.8,
161,118.05100470135557,0.8947552,,,,,,,,,,,430271.06,686836.4,219235.06,899688.25,662185.0,428901.53,
2003,118.89962461307556,10.158491999999999,,,,,,,,,,,126743.71,186322.97,432365.5,143683.48,97534.19,1564533.4,
1585,118.92676272666296,7.684178999999999,,,,77.0,,,,,,,1354146.5,616529.0,408016.12,1246092.8,912674.75,428364.9,
60,119.03482059165265,0.38306162,,,,12.0,,,,,,,1418112.4,1006244.4,2101061.0,1332554.6,1418413.8,958086.44,
30,119.05415087343515,0.3650364,,,,,,,,,,,5723089.5,1048855.0,1305705.4,2236579.8,5884937.5,1449508.4,
320,120.04546436368385,3.0522125,,,,174.0,,,,,,,452741.12,490137.9,593528.25,557634.56,637209.6,564099.25,
112,122.02466967614912,0.5387605,,,,,,,,,,,4932402.0,2307491.2,1642913.0,2384019.2,4827490.0,2713289.5,
890,122.02468946107979,5.795454,,,,110.0,,,,,,,257946.08,218883.02,299216.28,340581.9,292952.4,202420.11,
455,123.08155418009405,3.8353558,,,,,,,,,,,145322.75,171493.62,314629.0,354918.56,485046.62,236580.98,
143,125.03563430656477,0.7941632,,,,,,,,,,,1389203.8,427457.25,156974.22,529102.56,204135.78,344859.94,
389,125.0971260183295,3.4493834999999997,,,,46.0,,,,,,,864458.7,984737.7,1848724.1,2056636.1,1834401.4,1250062.8,
218,126.0019016064983,2.5056407000000003,,,,128.0,,,,,,,656017.5,498238.84,579956.0,592294.44,544791.0,526087.6,
68,128.03524276575862,0.38609147,,,,12.0,5.0,[M-2H2O+NH4]+,,2.0,75;68,146.02253000000002,9211090.0,4504108.0,7661060.0,7379843.0,8719510.0,4412549.0,
118,128.0353003204972,0.60721666,,,,78.0,,,,,,,7772335.5,4957267.0,8672877.0,6807053.0,16695340.0,5043209.5,
199,128.03532134041959,2.3394407999999998,,,,,,,,,,,26872.744,100831.29,477525.3,233455.25,60490.11,0.0,
165,128.03535249422666,0.98758173,,,,,,,,,,,64485.008,324764.28,104069.39,407659.72,342287.28,17561.922,
574,130.05092528644659,4.5507026,,,,118.0,,,,,,,24231.443,30584.926,35069.742,54185.453,46173.855,30418.487999999998,
132,130.0509486276807,0.72229546,,,,88.0,,,,,,,4354453.0,3716562.0,2629007.2,4702035.0,3830886.5,4524649.0,
100,130.08723395191436,0.53862405,,,,,,,,,,,447321.1,538497.0,566994.4,419613.3,570583.6,220108.66,
134,130.08727078275362,0.74718577,,,,107.0,,,,,,,9426162.0,5655065.0,9922579.0,7403447.0,16313949.0,6990702.5,
303,130.08729013741615,2.964987,,,,123.0,,,,,,,1397472.9,1438083.1,1466426.1,1439110.2,1596646.8,1686441.1,
