"","Filename","Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML","NEG_D5-227-C1-a_Run221.mzML","NEG_D5-227-C1-b_Run224.mzML","NEG_D5-227-C1-c_Run227.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"40","68/322.0965mz/3.9min","789315.5","610660.44","1131831.0","0.0","0.0","0.0"
"41","69/203.0621mz/3.91min","159196.42","175056.88","221874.0","0.0","0.0","0.0"
"42","70/561.2514mz/4.0min","252184.88","131366.05","417414.56","0.0","0.0","0.0"
"43","71/222.1464mz/4.05min","555436.4","555364.0","540602.9","0.0","0.0","0.0"
"44","72/325.1255mz/4.24min","856377.1","824488.94","809217.3","0.0","0.0","0.0"
"45","73/233.0726mz/4.36min","430908.72","316282.84","681919.6","0.0","0.0","0.0"
"46","74/255.0544mz/4.36min","429370.25","324965.4","696547.7","0.0","0.0","0.0"
"47","75/266.1726mz/4.37min","88478.78","83416.31","90807.68","0.0","0.0","0.0"
"48","76/226.1801mz/4.37min","138396.81","117282.11","127039.375","0.0","0.0","0.0"
"49","78/236.162mz/4.45min","82167.91","66461.484","77752.49","0.0","0.0","0.0"
"50","80/689.2987mz/4.5min","553162.1","431136.62","874201.06","0.0","0.0","0.0"
"51","81/433.2067mz/4.54min","5378270.0","4720300.0","8173895.5","0.0","0.0","0.0"
"52","82/450.2335mz/4.54min","2713164.2","2280884.2","3885283.5","0.0","0.0","0.0"
"53","83/455.1886mz/4.54min","36426240.0","33078956.0","46258470.0","0.0","0.0","0.0"
"54","84/236.0805mz/4.54min","2251770.5","2062183.1","3239293.5","0.0","0.0","0.0"
"55","86/244.0667mz/4.55min","392515.88","343792.88","535368.5","0.0","0.0","0.0"
"56","87/227.9666mz/4.68min","0.0","0.0","0.0","2102406.0","2120627.2","2120846.8"
"57","89/295.9538mz/4.68min","0.0","0.0","0.0","490685.25","483648.84","485931.16"
"58","90/297.9518mz/4.68min","0.0","0.0","0.0","469715.7","469063.53","464806.0"
"59","91/469.109mz/4.69min","404024.0","341365.66","429135.84","0.0","0.0","0.0"
"60","92/211.9707mz/4.69min","3885960.8","4098365.8","4073209.0","0.0","0.0","0.0"
"61","94/229.9813mz/4.69min","8713632.0","9201769.0","9118387.0","0.0","0.0","0.0"
"62","95/231.9791mz/4.69min","8553489.0","9007000.0","8944106.0","0.0","0.0","0.0"
"63","96/232.9823mz/4.69min","706129.5","762901.06","750166.3","0.0","0.0","0.0"
"64","97/230.9845mz/4.69min","722326.3","755746.25","758790.56","0.0","0.0","0.0"
"65","98/447.127mz/4.69min","489896.84","396407.16","514181.6","0.0","0.0","0.0"
"66","99/247.0883mz/4.7min","456514.1","474250.84","599881.7","0.0","0.0","0.0"
"67","100/269.0701mz/4.71min","416761.0","436035.22","552757.1","0.0","0.0","0.0"
"68","101/568.2963mz/4.73min","768481.94","756033.0","653115.9","0.0","0.0","0.0"
"69","102/573.2517mz/4.73min","4522530.0","4588901.5","4186200.5","0.0","0.0","0.0"
"70","103/228.1959mz/4.82min","216914.27","135601.77","210690.34","0.0","0.0","0.0"
"71","104/250.1777mz/4.82min","560718.4","393789.3","574866.4","0.0","0.0","0.0"
"72","105/270.1464mz/4.85min","496937.72","353035.2","666895.4","0.0","0.0","0.0"
"73","107/448.2032mz/4.9min","95138.88","83090.31","121074.984","0.0","0.0","0.0"
"74","108/426.9676mz/5.08min","0.0","0.0","0.0","6637572.0","6630412.0","6692475.0"
"75","110/344.1301mz/5.23min","716908.6","616682.4","1003180.8","0.0","0.0","0.0"
"76","111/649.3063mz/5.23min","1071198.9","881551.06","1451975.6","0.0","0.0","0.0"
"77","112/666.333mz/5.23min","998123.44","802883.44","1186714.6","0.0","0.0","0.0"
"78","113/671.2884mz/5.24min","10904982.0","9207097.0","13314125.0","0.0","0.0","0.0"
"79","114/318.3mz/5.24min","2385896.0","2681978.2","2260510.0","0.0","0.0","0.0"
"80","116/203.062mz/5.28min","368459.94","289328.8","399944.6","0.0","0.0","0.0"
"81","117/298.2739mz/5.3min","593503.06","598996.5","555201.94","0.0","0.0","0.0"
"82","118/256.2998mz/5.42min","11307937.0","11312143.0","11063268.0","0.0","0.0","0.0"
"83","119/264.092mz/5.43min","458984.72","398626.7","472174.56","0.0","0.0","0.0"
"84","120/284.6053mz/5.43min","601384.6","552727.4","640882.44","0.0","0.0","0.0"
"85","121/448.2033mz/5.43min","7044495.5","6236443.5","7188043.0","0.0","0.0","0.0"
"86","122/470.1853mz/5.43min","12976840.0","11808889.0","13135237.0","0.0","0.0","0.0"
"87","123/917.3813mz/5.43min","682053.44","563541.94","722467.9","0.0","0.0","0.0"
"88","124/304.2997mz/5.46min","420237.8","1600779.4","781189.0","0.0","0.0","0.0"
"89","125/284.2946mz/5.48min","122752.555","143970.66","93965.07","0.0","0.0","0.0"
"90","126/302.3052mz/5.48min","4338535.0","4959930.0","3558313.5","0.0","0.0","0.0"
"91","127/303.3085mz/5.48min","842388.94","950029.44","679248.75","0.0","0.0","0.0"
"92","129/322.2713mz/5.58min","458712.03","531342.1","355391.0","0.0","0.0","0.0"
"93","130/437.193mz/5.58min","2009082.9","2349523.8","2140853.8","0.0","0.0","0.0"
"94","131/300.2896mz/5.58min","23287200.0","25048578.0","17675370.0","0.0","0.0","0.0"
"95","132/344.3157mz/5.61min","1565503.1","1719950.9","1235153.4","0.0","0.0","0.0"
"96","133/195.1016mz/5.61min","763165.75","753661.0","792258.3","0.0","0.0","0.0"
"97","135/347.3347mz/5.65min","972210.75","1045634.9","693086.06","0.0","0.0","0.0"
"98","136/346.3313mz/5.66min","4567720.0","4998122.5","4014102.8","0.0","0.0","0.0"
"99","137/105.0335mz/5.68min","1846915.0","2467678.5","2597630.5","0.0","0.0","0.0"
