row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp1_3_Run186.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGIp1_2_Run100.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,NEG_TJGIp1_1_Run35.mzML Peak area,Unnamed: 19
1343,325.2383332241937,7.4462967,,,,107.0,,,,,,,404124.22,299009.84,335659.25,564168.4,574076.25,438027.97,
1393,325.2383723188876,7.575377499999999,,,,,,,,,,,0.0,225929.98,191930.92,0.0,303473.78,209929.62,
1534,327.2903635630925,7.6921615999999995,,,,9.0,,,,,,,4281284.5,3281173.5,4846684.0,3875795.0,5861007.5,4920438.5,
1627,327.29037017898287,7.880087400000001,,,,,,,,,,,254541.12,159805.1,284655.3,239428.88,227042.6,207061.25,
1166,327.2904573041881,7.141141999999999,,,,65.0,,,,,,,3094678.8,3696227.8,3490019.8,3564071.5,3277715.5,3368227.2,
1702,327.2904706664699,8.0863905,,,,,,,,,,,1051426.9,1833464.0,1622616.8,1649682.9,1566874.9,1292987.9,
533,329.17573256601463,5.355543,,,,,,,,,,,94651.09,357382.78,128881.59,383724.44,255634.27,216379.34,
726,333.1353580415538,5.905796499999999,,,,,,,,,,,52494.72,239414.52,187944.56,53852.59,1219086.0,455467.53,
1035,333.22023200356114,6.7918057,,,,,,,,,,,608044.0,528835.1,586758.2,627659.3,517029.1,660824.8,
1262,337.20544351325293,7.355671000000001,,,,,,,,,,,0.0,869883.3,912550.3,88323.59,0.0,2189408.8,
1368,337.20548671844847,7.449932,,,,,,,,,,,0.0,1532574.5,1551819.2,0.0,2145063.5,577411.1,
1235,339.1998290851249,7.315019599999999,,,,,,,,,,,206831.2,1222860.0,2124730.5,219477.64,661088.2,896719.1,
