"","filter","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML","2024_NEG_CC-NaB_1_Run30.mzML","2024_NEG_CC-NaB_2_Run51.mzML","2024_NEG_CC-NaB_3_Run57.mzML"
"108/397.2189mz/5.1min",350653.9,515677.44,307468.3,516834.34,279010.38,393839.5,250064.1
"109/424.2468mz/5.16min",105523.965,162407.5,87859.62,134665.64,91493.68,119554.25,84571.23
"110/484.2681mz/5.14min",3268751.35,3616339.8,2537889,3780737.5,2977450.5,3560052.2,2933900
"111/501.2583mz/5.14min",632178.92,690669.44,487320.1,743505.94,573688.4,697837.25,543810.44
"112/187.8609mz/5.26min",33590.7005,36745.223,5213.7744,60925.473,30436.178,10796.093,143077.94
"113/424.2468mz/5.21min",102708.095,174595,83637.05,161953.9,85216.22,120199.97,78900.84
"114/779.3651mz/5.29min",407191.655,772023.94,432716.03,565327.4,329039.44,350322,381667.28
"115/187.8609mz/5.31min",75849.0475,111107.55,47199.15,212259.11,36969.64,10796.093,104498.945
"116/424.2468mz/5.55min",536627.45,804076.6,500993,756293.56,451677.3,572261.9,399479.22
"117/512.2994mz/5.6min",94192.27,128773.26,76161.95,122300.74,87212.695,96482.79,91901.75
"118/705.3283mz/5.63min",262122.825,489167.97,264946.7,327699.4,257004.77,259098.39,259298.95
"119/187.8609mz/5.65min",29293.472,29293.472,29293.472,29293.472,29293.472,146467.36,29293.472
"120/214.8799mz/5.63min",93333.3,29718.564,87065.72,129626.82,99600.88,768785.8,49406.523
"121/241.8989mz/5.65min",175506.685,129445.29,290462.4,138125.84,138902.27,1426376.5,212111.1
"122/132.8679mz/5.65min",169165.295,215717.8,178916.06,137159.48,159414.53,293634.53,116781.58
"123/424.2468mz/5.66min",2234557.6,3059949.2,2058347.2,3118588.8,1945300.5,2410768,1729116.9
"124/512.2994mz/5.71min",487860.34,519598.2,375007.28,535724.9,462735.34,512985.34,444817.2
"127/315.2541mz/5.8min",74525.77,116824.41,66822.36,104149.8,71328.48,77723.06,62806.71
"128/562.0039mz/5.83min",58332.3515,59231.617,56904.168,71395.22,73927.06,57433.086,56024.137
"129/195.906mz/6.02min",7205.3516,7205.3516,198852.66,7205.3516,36026.758,7205.3516,7205.3516
"130/214.8799mz/5.97min",103881.395,16127.288,777054.6,216166.8,135896.03,71866.76,57006.07
"131/241.8989mz/5.97min",282900.7,262851.7,1409367,287083.3,276116.66,292661.4,278718.1
"132/187.8609mz/6.03min",4797.5324,4797.5324,172636.62,4797.5324,23987.662,4797.5324,4797.5324
"133/315.2542mz/6.02min",88264.965,115011.51,74739.94,107926.07,84629.27,91900.66,74720.4
"134/265.1479mz/6.02min",356145.09,580032,215177.77,434567.06,318856.56,393433.62,221945.45
"135/271.2279mz/6.06min",182892.95,326082.88,179300.84,254945.56,176760.89,186485.06,151817.56
"136/452.2782mz/6.13min",676152.47,930154.94,628842.3,912900.4,631940.5,720364.44,603866.2
"137/315.2541mz/6.14min",250925.14,427414.44,236347.86,343795.9,241074.61,260775.67,218285.06
"138/540.3308mz/6.19min",136352.575,141203.97,98026.41,145578.94,129443.984,136792.34,135912.81
"139/452.2782mz/6.24min",3964381.9,5552533.5,3698379.8,5394294,3615541,4230384,3430071
"140/540.3309mz/6.3min",913537.75,962392.06,768470.1,1034304.5,914742.1,912333.4,911719.25
"141/478.2939mz/6.3min",1760998.55,3028820.2,1575212,2638266,1405576.1,1946785.1,1341503.8
"142/480.299mz/6.3min",59153.0975,110371.08,53516.062,92865.33,42418.973,64790.133,42494.676
"143/566.3465mz/6.37min",278937.4,405563.7,244704.3,382524.7,260387.1,297487.7,257849.55
"144/271.2279mz/6.39min",195359.555,311101.3,202246.3,241514.03,187235.42,188472.81,162023.67
"145/957.5953mz/6.4min",221181.555,480843.44,162516.58,467697.62,134511.19,279846.53,140272.75
"146/478.2939mz/6.41min",7100276.75,11101540,6233555,10607851,5758294,7966998.5,5389555.5
"147/480.2991mz/6.41min",272297.58,410062.38,241661.5,375621.4,210522.16,302933.66,193828.14
"149/566.3466mz/6.47min",1580089.4,2011159.4,1302038.1,2015869.9,1449955.5,1666626.4,1493552.4
"150/297.2436mz/6.48min",125369.675,184996.92,104478.22,140608.97,113179.95,137559.4,106096.08
"151/573.1293mz/6.5min",292857.325,354637.03,294492.62,291222.03,336978.56,285444.66,244515.83
"152/590.1196mz/6.5min",577484.35,698235.94,581986.1,543353.6,590701.2,560019.7,572982.6
"153/311.1687mz/6.53min",988331.78,1737269.8,996377.56,1040250.3,905627.8,922404.2,980286
"154/506.3252mz/6.56min",53573.0055,93383.7,42075.996,93380.98,50533.406,56612.605,41189.09
"155/297.2436mz/6.61min",535660.25,705437.75,385062.38,588924.56,536398.06,422983.16,534922.44
"156/654.1321mz/6.62min",466839.3,581853.06,503467.03,456634.3,471062.16,458588.5,462616.44
"157/634.4456mz/6.66min",699354.925,255797.17,1579137,377268.1,1021441.75,1193717.6,319240.94
"158/637.1419mz/6.63min",604173.4,742697.44,601160.5,607186.3,678277.2,575276.6,522450.47
"159/311.1687mz/6.64min",770932.05,1119345.5,769201.5,845185.9,747439.9,772662.6,708336.3
"160/299.2592mz/6.67min",2122023.95,3388781.8,2094375.1,2726822.8,1976799.1,2149672.8,1821224.9
"161/300.2626mz/6.67min",401087.065,635136.06,394256.47,537180.06,360540.72,407917.66,347467
"162/573.1294mz/6.68min",713268.03,941699.8,713468.5,713067.56,550521.75,714269,525653.25
"163/520.3045mz/6.68min",260102.175,619270.9,116308.875,434940.44,191426.25,328778.1,171737.27
"164/297.2436mz/6.71min",274873.19,512959.03,280110.88,388409.72,246566.11,269635.5,234922.23
"165/701.1544mz/6.71min",396856.375,494174.22,379687,414025.75,468033.4,369022.06,318534.84
"166/480.3096mz/6.71min",182847.43,286617.2,170661.86,255503.1,172200.8,193494.06,169974.58
"167/481.313mz/6.71min",37878.085,64564.203,29706.723,54680.31,35353.85,40402.32,32120.197
"168/718.1445mz/6.72min",456579.14,480480.12,511589.5,432678.16,413574.78,425501.6,488425.28
"169/635.4488mz/6.72min",165045.495,249874.19,481375.47,798919.9,5906.5376,80216.8,20218.049
"171/295.2279mz/6.77min",524181.32,635072.9,420324.03,733403.8,514429.7,474493.22,533932.94
"172/634.4456mz/6.77min",747361.89,1044434.7,495835.03,2177745.5,81939.46,96464.836,998888.75
"173/782.157mz/6.8min",389202.19,445723.06,453937.53,381696.1,344436.16,376863.66,396708.28
"174/654.1321mz/6.81min",1796726.15,2064544.8,1920280.2,1705146.6,1720236.9,1716424.6,1873215.4
"175/765.167mz/6.81min",157160.735,172986.48,148000.11,137694.28,221444.86,166321.36,101458.414
"176/565.2874mz/6.82min",44391.6405,63614.79,40421.87,62948.715,36889.387,46320.164,42463.117
"177/480.3096mz/6.82min",1206164.15,1841383.1,1111156,1604569,1148479.2,1263849.1,1079940.9
"178/481.3129mz/6.82min",295794.05,435096.6,273035.9,376125.8,276955.6,314632.5,254573.64
"179/297.2436mz/6.83min",34517.8675,64958.69,36413.973,48204.07,21540.432,32621.762,25093.248
"180/637.1419mz/6.84min",932648.1,1089877.2,879505.8,864786.06,1229435.1,985790.4,700388.6
"181/506.3252mz/6.85min",37880.97,73450.65,29290.664,67937.4,26462.783,44380.51,31381.43
"183/846.1694mz/6.89min",230991.405,264970.97,259154.84,210270.86,215558,207209.19,246424.81
"184/299.2592mz/6.9min",816589.9,1381080.1,789359.4,1129585.2,788969.56,843820.4,709340.4
"185/718.1446mz/6.92min",1885474.9,2079944.8,1988720.1,1797253.2,1757859,1732850.9,1973696.6
"186/634.4456mz/6.87min",297274.54,2215181,367107.66,741169.1,34508.02,170445.84,227441.42
"187/701.1544mz/6.93min",1217029.35,1460637.8,1087938.4,1153093.6,1524834.1,1280965.1,836589.5
"188/765.1668mz/6.96min",1059732.85,1274761,978850.2,1051485.1,1363107.1,1067980.6,724879.3
"189/506.3252mz/6.95min",198911.21,350362.84,155509.84,330003.3,162139.31,228675.61,169146.81
"190/893.1921mz/6.96min",101771.775,130107.67,88092.734,101601.46,145989.62,101942.09,56225.617
"192/750.5293mz/7.01min",326736.3505,1423.8902,646353.25,7119.451,8419186,793190.3,1423.8902
"193/782.157mz/6.99min",1403468.9,1539943.1,1502992.6,1321836.4,1237728.5,1194181.8,1485101.4
"194/637.1418mz/7.01min",340672.16,378073.94,303270.38,297694.16,467447.75,380657.78,244729.25
"195/654.1321mz/7.01min",405878.03,494623.3,417368.72,394387.34,387745.8,362277.88,435982.62
"196/271.2279mz/7.02min",68469.845,107667.586,64508.71,98072.875,71985.61,64954.08,50524.49
"198/974.1943mz/7.03min",88004.87,107611.22,105920.06,79763.15,78295.77,75111.875,96246.59
"199/297.2436mz/7.05min",31782.44,56548.3,32786.95,42907.766,30335.96,30777.93,27690.318
"200/846.1693mz/7.05min",1066465.78,1345833.6,1181344.4,1034757.06,913534,873602.44,1098174.5
"201/829.1793mz/7.06min",628999.69,560772.94,697226.44,516600.7,981750.4,777357.5,395167.6
"203/1131.5713mz/7.07min",208516.42,391379.3,227956.94,306260.06,142143.66,186160.98,189075.9
"204/565.2822mz/7.07min",2915827.3,4275468.5,3070236.8,3672834.5,2463625.2,2700875.2,2761417.8
"205/628.2779mz/7.07min",398726.22,541845.3,399700.44,474629.47,306406.25,356717.38,397752
"206/701.1544mz/7.08min",614015.05,633211.5,594818.6,503871.22,975767.6,744157.75,452471.2
"207/893.1918mz/7.1min",382887,406572.78,359201.22,329077,603946,447450.8,258480.42
"208/718.1445mz/7.11min",932451.83,1018797.2,944577.1,920326.56,847859.75,745624.3,968275.75
"209/910.182mz/7.11min",917246.22,1033536.75,970170.44,921434.94,760655.7,767611.94,913057.5
"210/325.1844mz/7.12min",395231.315,1551514.4,300243.38,597151.1,332178.97,292952.56,458283.66
"211/782.157mz/7.14min",1190041.45,1433329.9,1154045.8,1226037.1,1064113.2,932804.4,1244677.6
"212/765.1668mz/7.15min",750496.2,842092.8,658899.6,569113.25,1286296.2,957368.44,486272.94
"213/957.2041mz/7.15min",235465.015,243276.08,227653.95,191187.2,376076.72,313898.56,122149.445
"214/974.1942mz/7.15min",559975.9,637664.1,544151.2,601519.94,439712.62,446423,575800.6
"215/716.5239mz/7.22min",233347.735,41380.584,259792.55,206902.92,29575774,4566670,41380.584
"216/744.5553mz/7.22min",58743.4403,964.37412,4821.8706,964.37412,6718005.5,112665.01,240390.31
"217/829.1793mz/7.23min",761335.05,712441.4,810228.7,601849.06,1179613,1005792.3,291786.34
"218/846.1693mz/7.2min",1041841.8,1189718.9,1027176,1102724.8,878907.6,859587.06,1056507.6
"219/1021.2165mz/7.21min",115486.552,94627.56,126281.734,104691.37,232983.23,186950.08,39218.453
"221/421.2264mz/7.22min",1445683.95,1746980.5,1348720.8,1459535.8,1623479.4,1431832.1,1418586.2
"222/750.5292mz/7.2min",414857.1635,11135.7454,5020343.5,55678.727,774035.6,5747680.5,11135.7454
"223/271.2279mz/7.23min",42744.074,110824.055,19309.414,44293.64,58513.348,41194.508,17636.443
"224/910.182mz/7.24min",671902.27,812440.2,670823.94,695453.3,603352.4,502491.4,672980.6
"225/717.5271mz/7.26min",143117.4825,1176.617,280351.88,5883.085,12823616,8942630,1176.617
"226/325.1844mz/7.23min",430038.155,771818.06,352694.9,488249.25,436347.78,403840.78,423728.53
"227/716.5239mz/7.3min",614947.77,16318.068,1148305.2,81590.34,5593404.5,20486838,16318.068
"228/893.1918mz/7.28min",954933.325,959961.4,949905.25,798476.25,1174105,995922.7,755496.9
"231/974.1942mz/7.29min",265886.625,526122.8,403348.22,248745.39,270142.53,261630.72,177287.23
"232/327.127mz/7.3min",465121.235,684717.25,428707.94,579598.2,359020.47,391316.12,501534.53
"234/116.9286mz/7.3min",778247.095,631202.44,839607.25,425759.62,771170.94,785323.25,944767.94
"235/134.8947mz/7.31min",694164.35,950451.4,532409.44,694814.2,626305.3,693514.5,961672.8
"238/957.2041mz/7.31min",943085.43,986759.4,949056.3,790959.75,1079421.5,937114.56,784646.3
"239/701.1544mz/7.33min",166799.04,192599.95,165374.25,139067.83,189483.2,168223.83,128080.5
"240/1021.2165mz/7.33min",680933.47,734050.25,698108.94,589618.4,789935.44,663758,524113.47
"241/245.8947mz/7.35min",7511.3874,12518.979,2503.7958,147436.88,2503.7958,2503.7958,49784.86
"242/195.8109mz/7.36min",42582.784,42582.784,42582.784,212913.92,42582.784,42582.784,42582.784
"243/197.8079mz/7.36min",55709.14,55709.14,55709.14,278545.7,55709.14,55709.14,55709.14
"244/243.8996mz/7.31min",83131.2915,123518.81,42743.773,358852.88,12774.424,15517.869,245189.94
"245/765.1668mz/7.36min",318239.64,308910.38,327568.9,251471.95,367683.38,378958.53,222081.84
"246/782.157mz/7.37min",131172.845,182637.08,117734.69,146332.42,102207.52,92602.24,144611
"247/829.1793mz/7.38min",346202.455,359697.16,332707.75,217189.1,552593.8,376712.34,93347.33
"248/846.1694mz/7.4min",188059.29,240288.77,171629.27,204489.31,142671.66,117613.66,204810.6
"249/447.3075mz/7.47min",96515.4375,169792.36,111865.5,174851.34,70957.3,64428.3,81165.375
"250/910.182mz/7.43min",193402.65,245553.72,194867.58,191937.72,154160.22,128991.45,207337.52
"251/694.4669mz/7.43min",8584645.5,17336508,8635586,15176437,8074356.5,8449156,8533705
"252/430.3172mz/7.46min",223498.43,272284.72,269242.6,231416.16,206779.61,215580.7,127432.95
"253/974.1941mz/7.42min",147660.095,148274.03,147046.16,117270.92,155220.34,96830.016,173014.39
"254/711.457mz/7.44min",708585.275,2306088.8,744679.8,1987839,667592,666341,672490.75
"255/893.1917mz/7.44min",457998.66,486137.25,463943.2,394202.44,527647.4,452054.12,317432.1
"256/957.204mz/7.46min",501024.11,577123.25,509992.34,492055.88,547690.9,443600.25,379326.72
"257/1021.2165mz/7.48min",438856.39,537783.75,440395.12,415731,474708.94,437317.66,370944.12
"258/430.3172mz/7.52min",216202.56,476947.94,239915.45,319809.8,182223.22,192489.67,167802.55
"259/447.3074mz/7.53min",190928.965,421367.6,214176.55,308145.88,167681.38,109554.62,152884.22
"260/161.9136mz/7.55min",443139.29,571088.25,455602.4,358223.8,436266.3,450012.28,425968.06
"261/134.8947mz/7.56min",2023257.15,2355043.2,2061461.2,1914831.9,1953198.5,1985053.1,3116764.5
"263/501.3546mz/7.59min",1637024.5,2889139.2,1496521.6,2334772.8,1612716.2,1661332.8,1219348.2
"264/484.3644mz/7.59min",649540.275,1209560.2,590624.4,917544.1,654084.8,644995.75,605260.6
"265/299.2592mz/7.6min",297054.04,517657.3,297108.78,436065.16,296999.3,278231.8,259153.98
"266/957.2037mz/7.63min",42552.4005,46966.133,47020.35,38138.668,54886.426,19076.582,6068.6
"267/1021.2164mz/7.65min",42279.915,64254.15,49001.37,35558.46,73163.59,30504.768,22505.979
"268/455.2106mz/7.68min",575878.5,1022370.25,546547.8,801581.94,400288.8,605209.2,531721.8
"269/122.9758mz/7.68min",87716.484,129808.84,86957.734,93194.33,75479.01,88475.234,52401.066
"270/186.9706mz/7.68min",237986.51,264990.75,228435.4,247537.62,194232.38,250796.98,187935.72
"271/744.5549mz/7.66min",302750.841,1551.7484,1551.7484,7758.742,1230497.8,597742.94,3572694.5
"272/116.9286mz/7.68min",2591399.15,3511324,2529460.8,2993136.2,1704660.8,2653337.5,2012618.8
"273/716.5239mz/7.66min",2008021.825,22370.73,11403737,111853.65,4598716.5,3904190,22370.73
"274/115.9208mz/7.7min",1314571.6,1454585.4,868638.5,2500541.5,1174557.8,688047.6,2217001.2
"277/134.8947mz/7.7min",2300476.4,2403186.8,2294143.8,2298602.8,2257247.8,2302350,2321104
"278/161.9136mz/7.7min",414105.16,413790.38,414419.94,730192.1,406558.1,412833.2,526738.44
"279/299.2592mz/7.78min",22797.6775,96527.62,12159.191,20990.783,46453.516,24604.572,5905.4424
"280/720.4824mz/7.79min",557266.08,601669.75,565953.06,890286,504059.22,548579.1,234408.67
"281/116.9286mz/7.84min",2495814,2649981.5,2341646.5,2326403,4566694,1754959.9,6383510.5
"282/115.9208mz/7.84min",4298034.25,5156863,3592083.5,5494121,3319447.8,3329186.2,5003985
"284/355.1579mz/7.84min",3085903.5,5181977.5,2858076,3674641.2,2818026.2,2150178.2,3313731
"285/144.9235mz/7.84min",2578552.5,3223718.5,2571170.5,2811093,2082369.9,1980612.8,2585934.5
"286/186.9706mz/7.84min",349238.91,395209.28,355512.16,393394.06,342965.66,334644.53,327714.47
"287/578.3829mz/7.84min",251220.915,537635.8,281214.78,451221.06,177047.58,221227.05,205142.52
"288/122.9758mz/7.84min",128210.125,190800.8,130429.98,159934.86,125990.27,122638.055,123847.82
"289/161.9136mz/7.84min",335855.48,363944.34,313101.78,322473.06,349237.9,309248.94,1191014.6
"290/703.5632mz/7.86min",112365.52,204662.1,126549.28,147436.88,71495.8,79020.97,98181.76
"293/685.5011mz/7.86min",129450.468,196996.38,118310.266,140590.67,144200.56,116969.375,94811.65
"294/134.8947mz/7.86min",1361719.55,1313767.5,1313725.6,1422707.4,1487701.5,1327611,1395828.1
"296/100.9337mz/7.87min",1091736.8,661730.56,967411.6,2152338,1452457.8,781496.8,1216062
"297/634.4456mz/7.9min",9114155.5,17272704,9653180,14152182,7830998.5,8443714,8575131
"299/567.4017mz/7.93min",393669.24,644376.44,375720.56,402892.1,406962.1,384446.38,359648.75
"301/685.5011mz/7.93min",1075539.75,1384855.6,1021663.5,1071591.6,1204848,1079487.9,1045244.5
"302/573.4122mz/7.93min",281522.13,218183.5,250649.98,288354.66,310101.88,301494.78,274689.6
"303/122.9758mz/7.95min",182263.94,259761.42,188347.1,236951.31,176180.78,161766.81,174558.02
"304/180.9812mz/7.94min",227448.71,234355.89,203267.44,295909.3,272897.38,220541.53,212593.92
"305/281.2486mz/7.94min",142190.205,400204.72,137909.22,223156.5,146471.19,95926.336,124865.73
"307/668.5111mz/7.94min",200976.86,517202.06,173843.86,257369.77,200542.94,140455.06,201410.78
"308/383.1777mz/7.94min",249954.32,487479.2,254442.86,327749.84,245465.78,200458.56,220102.72
"311/379.1792mz/7.94min",316232.685,614135,316152.62,443947.94,275943.84,250792.34,316312.75
"312/186.9706mz/7.94min",557338.32,578678.75,546710.2,577833.9,559606.7,517132.84,555069.94
"313/381.1737mz/7.94min",6444826,12026891,6593789,8592809,6042865,4927954,6295863
"314/115.9208mz/7.95min",4474148,5215941.5,4280714.5,5161455.5,4667581.5,4090983.8,3356029.5
"315/144.9235mz/7.95min",2599298.9,3009317.8,2621249.8,3623765,2577348,1965849.9,2471074.2
"316/100.9337mz/7.95min",1068049.05,1346549.8,1618283.8,1891711.1,666524.7,789548.3,540073.5
"318/703.5633mz/7.96min",229792.555,318556.75,234166.16,306740.06,225418.95,195222.64,200279.2
"319/161.9136mz/7.96min",429260.87,431427.06,360505.9,429453.44,433114.1,351780.3,429068.3
"320/134.8947mz/7.96min",2543634.9,2651161.5,2377956.5,2567694,2624081.8,2184257.5,2519575.8
"322/720.4823mz/7.96min",53299.9445,80359.63,6244.365,121732.8,29921.719,5763.586,76678.17
"323/742.5395mz/8.06min",381580.08,127193.36,635966.8,127193.36,5056232.5,3618215,127193.36
"324/100.9337mz/8.01min",785613.7,759258.7,664620.8,1140582,260757.25,811968.7,1028151.25
"325/134.8947mz/8.06min",1785599.1,1968338.2,1925549.8,1645648.4,1931445.6,1626235.8,1454292.5
"327/186.9706mz/8.06min",250093.505,318090.03,285906.47,207863.12,278028.9,222158.11,209265.19
"328/529.3859mz/8.07min",899840.5,1635350.4,752821.75,1209784.9,882312.56,917368.44,729872.1
"329/669.5061mz/8.07min",350682.47,649242.75,311647.12,449642,342746.5,358618.44,299023.53
"330/512.3957mz/8.08min",296314.92,432822.66,219883.14,325990.62,287061.34,305568.5,266621.8
"331/652.516mz/8.08min",199238.97,322104.06,153865.92,212090.19,204334.72,194143.22,192551.78
"332/660.4613mz/8.1min",3799412.25,6925559,4180439,5830251,2969229.8,3418385.5,2903911
"333/100.9337mz/8.23min",790609.28,1755621.1,895883.75,697654.06,516294.12,489466.88,883564.5
"334/683.4854mz/8.18min",466996.905,891626.9,440251.56,592989.5,454240.75,479753.06,375951.6
"335/667.491mz/8.21min",176222.275,287403.12,165385.25,208250.97,181553.95,170890.6,155272.98
"338/100.9337mz/8.27min",1858026.6,805405.94,1220602,2495451.2,415007.16,2953570.8,2775642.5
"340/703.5633mz/8.28min",1332882.3,2041118.4,1413211.8,1662352.1,649000.75,1097863.2,1252552.8
"343/180.9812mz/8.28min",210474.875,221794.52,195598.72,313835.38,226590.9,177663.81,199155.23
"344/381.1949mz/8.28min",124912.983,290946.12,125091.016,198975.56,119188.9,124734.95,109960.98
"346/650.5002mz/8.28min",63367.658,374424.53,66065.734,148996.69,60669.582,54608.156,55651.594
"348/115.9208mz/8.28min",10504830.5,15939919,11631265,10189245,10820416,9188457,9147909
"350/186.9706mz/8.28min",1304713.55,1379549.6,1402241.4,1461867.8,1139304.8,1229877.5,967028.94
"351/383.1893mz/8.28min",2587746.5,6036727.5,2595960.8,4178555.2,2579532.2,2522122,2421955.2
"352/144.9235mz/8.28min",7923962.75,8339973,7705497,7372342,8281410.5,4896636.5,8142428.5
"353/122.9758mz/8.29min",155246.805,277312.34,171340.14,199805.2,137771.42,139153.47,119829.67
"355/134.8947mz/8.29min",3991942.25,5096363,3577977.2,5017768,3745663,3521686.5,4238221.5
"357/683.4854mz/8.29min",310287.015,476523.2,304177.78,341733.22,273896.16,316396.25,222543.77
"359/161.9136mz/8.3min",1051696.175,1030833.75,905500.25,1320749.2,1263669.5,893113.9,1072558.6
