"","FC","log2(FC)","raw.pval","-log10(p)"
"2594/555.2824mz/4.91min",3.1641,1.6618,0.0090065,2.0454
"2705/295.1913mz/5.49min",2.5597,1.3559,0.0095823,2.0185
"2655/313.2383mz/5.19min",2.5586,1.3553,0.010553,1.9766
"2773/383.176mz/5.88min",0.23288,-2.1023,0.010583,1.9754
"3159/441.322mz/7.72min",2.788,1.4792,0.010686,1.9712
"3546/112.9856mz/10.49min",2.4422,1.2882,0.01079,1.967
"2572/325.2022mz/4.84min",6.3556,2.668,0.011743,1.9302
"2768/265.1478mz/5.95min",2.8425,1.5071,0.012551,1.9013
"3049/457.3322mz/7.66min",2.0342,1.0245,0.013013,1.8856
"2427/428.186mz/4.04min",0.22576,-2.1471,0.013702,1.8632
"3416/509.4574mz/9.14min",3.4898,1.8031,0.014255,1.846
"2930/371.3165mz/7.08min",2.0668,1.0474,0.015036,1.8229
"2846/452.2782mz/6.46min",0.050673,-4.3026,0.015107,1.8208
"2625/285.2071mz/5.03min",5.9785,2.5798,0.015668,1.805
"2722/303.2176mz/5.62min",3.4123,1.7708,0.015702,1.8041
"2488/398.2297mz/4.37min",0.20988,-2.2524,0.016099,1.7932
"2746/383.176mz/5.78min",0.22063,-2.1803,0.017149,1.7658
"2876/299.2591mz/6.65min",2.4164,1.2728,0.017319,1.7615
"2665/381.2645mz/5.28min",2.4409,1.2874,0.017831,1.7488
"2714/312.2262mz/5.56min",2.1629,1.1129,0.018006,1.7446
"2847/257.2122mz/6.51min",0.35629,-1.4889,0.018405,1.7351
"2579/330.2367mz/4.83min",2.6243,1.3919,0.018807,1.7257
"2785/311.2227mz/6.02min",3.1727,1.6657,0.019124,1.7184
"2739/391.2853mz/5.74min",2.4766,1.3083,0.019266,1.7152
"2728/424.2469mz/5.61min",0.45774,-1.1274,0.019666,1.7063
"2796/383.1761mz/6.16min",0.11541,-3.1152,0.020093,1.697
"3332/311.1686mz/8.41min",2.1434,1.0999,0.021758,1.6624
"2749/347.1993mz/5.79min",0.19789,-2.3372,0.022335,1.651
"3181/580.2347mz/7.9min",0.17396,-2.5231,0.022775,1.6425
"2523/375.1846mz/4.57min",6.2831,2.6515,0.023216,1.6342
"2692/313.2383mz/5.4min",2.934,1.5528,0.023748,1.6244
"2708/313.2384mz/5.52min",2.0977,1.0688,0.023861,1.6223
"2643/327.2177mz/5.13min",3.9855,1.9948,0.024325,1.614
"2906/478.2938mz/6.87min",0.17674,-2.5003,0.024407,1.6125
"2634/410.2005mz/5.06min",3.7243,1.897,0.027089,1.5672
"3177/480.3094mz/7.8min",0.058575,-4.0936,0.027915,1.5542
"3385/427.3791mz/8.79min",0.36887,-1.4388,0.028211,1.5496
"3196/473.327mz/8.09min",3.2893,1.7178,0.030113,1.5213
"2763/309.2071mz/5.89min",2.6203,1.3898,0.030578,1.5146
"2676/290.1761mz/5.34min",2.1049,1.0738,0.033639,1.4732
"2549/180.1031mz/4.67min",2.3659,1.2424,0.033803,1.471
"2861/452.2783mz/6.56min",0.13026,-2.9406,0.03625,1.4407
"3208/481.3532mz/8.13min",3.5147,1.8134,0.036553,1.4371
"2671/256.1918mz/5.3min",2.0376,1.0268,0.036777,1.4344
"2631/309.2071mz/5.05min",2.2121,1.1454,0.036907,1.4329
"2695/343.2124mz/5.43min",3.6779,1.8789,0.037123,1.4304
"3058/751.3466mz/7.66min",2.9117,1.5418,0.039296,1.4057
"3262/745.5016mz/8.14min",10.892,3.4451,0.039702,1.4012
"3212/508.364mz/8.13min",3.3957,1.7637,0.040767,1.3897
"3170/397.3321mz/7.81min",2.0487,1.0347,0.049297,1.3072
