"","filter","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_S4_MC_RCG_1_neg_20210511_Run71.mzML","GF_S4_MC_RCG_2_neg_20210511_Run91.mzML","GF_S4_MC_RCG_3_neg_20210511_Run171.mzML"
"2463/329.0669mz/4.23min",1565092.2,521697.4,521697.4,521697.4,3706887.8,3399071.5,2608487
"2464/234.1136mz/4.23min",120624.4385,264444.75,225183.45,349510.88,11351.162,7182.7812,16065.427
"2465/451.2926mz/4.23min",589074.175,988044.25,884752.7,790346.25,328396.78,325356,387802.1
"2466/354.2398mz/4.23min",1165924.5,1932429.4,1568771.8,1858786.2,623576.9,617767.94,763077.2
"2467/527.2513mz/4.24min",1433974.675,786193.25,813958.75,485970.7,2354892,2186998.5,2053990.6
"2468/683.3779mz/4.25min",32221.5822,10740.5274,10740.5274,10740.5274,66580.125,53702.637,71613.89
"2469/268.098mz/4.27min",305327.267,567332.6,541729.3,639307.6,64515.742,68925.234,63927.1
"2471/374.2085mz/4.23min",115196.791,230905.22,174396.84,195051.3,33665.79,55996.742,40315.406
"2472/471.2613mz/4.28min",115248.97,229542.27,200427.47,184967.47,8661.985,45530.47,28066.678
"2473/612.3152mz/4.27min",310391.86,315056.38,305727.34,385217.44,293788.7,256693.36,399899.12
"2475/248.1292mz/4.24min",1091832.1225,3511564.8,2072379.8,2982521.2,111284.445,91886.38,107259.484
"2477/327.2178mz/4.31min",7307918.75,5754758.5,4860329,5517806.5,10323149,9319471,8861079
"2478/325.2021mz/4.31min",513561.02,416117.34,345823.25,379041.2,1258870.6,611004.7,700665.6
"2481/201.1497mz/4.33min",153275.672,35983.594,33192.047,30096.65,298484.4,296919.88,270567.75
"2482/227.129mz/4.33min",722064,529859,616815,542421,1042029.94,1042351.2,827313
"2485/242.1762mz/4.36min",501807.3,539223.2,513863.94,489750.66,604106.44,463462.84,366457.28
"2488/398.2297mz/4.37min",273446.37,596259.4,431782,898219.3,61896.375,115110.74,62311.223
