row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Anid-TJGIp11_3_Run253.mzML Peak area,2024_NEG_Anid-TJGIp11_2_Run206.mzML Peak area,2024_NEG_Anid-EV-gpdA_CTRL_2_Run209.mzML Peak area,2024_NEG_Anid-TJGIp11_1_Run168.mzML Peak area,2024_NEG_Anid-EV-gpdA_CTRL_3_Run239.mzML Peak area,2024_NEG_Anid-EV-gpdA_CTRL_1_Run189.mzML Peak area,
2452,100.93365372856636,7.965324,,,,,,,,,,,742574.56,1110175.8,391039.62,362120.56,866476.56,625619.7,
2403,100.93365333103924,7.64829,,,,,,,,,,,254628.28,332204.53,92592.516,200199.6,189819.66,129492.68,
2494,100.93365389345438,8.062694,,,,,,,,,,,817631.9,954719.56,327381.53,694785.7,692397.06,462872.16,
2585,100.93365434441084,8.419388,,,,,,,,,,,1370834.0,629203.9,1105930.4,868940.6,1303285.8,482167.7,
2517,100.93365556364078,8.317765,,,,,,,,,,,869284.06,1936379.5,1320439.1,1007916.6,1192865.0,1778661.5,
2446,100.93365513961807,7.846852,,,,,,,,,,,871616.7,427658.03,817921.0,487577.75,648373.1,600361.56,
2764,100.93365573949016,10.221616,,,,,,,,,,,1286766.2,3043263.5,1266551.8,1144169.4,1257579.9,993482.0,
2597,100.93365650246886,8.552777,,,,,,,,,,,855836.1,363656.6,224389.94,528841.25,228318.81,281425.8,
2795,100.93366025668742,10.272626,,,,,,,,,,,536045.94,711095.56,468059.62,844062.4,398213.97,497822.66,
136,102.05602768990026,2.380806,,,,147,,,,,,,762479.44,662179.44,318910.78,993786.94,458060.06,126429.46,
2,102.95685764433073,0.32660922,,,,,,,,,,,607779.06,419660.97,1838321.9,1138008.0,966509.4,946169.44,
380,109.06592610435547,3.0721273,,,,,,,,,,,147561.53,47537.215,462179.44,85612.01,154617.9,132073.42,
7,112.98567709477436,0.3337958,,,,,,,,,,,599139.7,457222.6,550914.94,522714.97,535152.2,518344.4,
2790,112.9856825528437,10.280416,,,,,,,,,,,1765233.5,1585548.2,1556621.6,1555052.9,782811.25,278525.8,
1133,112.98570019406186,4.909837,,,,37,,,,,,,411020.25,207355.23,318753.84,318588.56,296708.84,231157.44,
2594,115.0037366634565,8.553135,,,,,,,,,,,721715.56,1099169.8,1019978.4,716153.4,437721.88,976890.4,
2570,115.00375448642899,8.352681,,,,59,,,,,,,922749.7,906716.4,1591529.6,974288.94,824550.75,931023.56,
2664,115.92074975120984,8.874922,,,,138,,,,,,,973454.5,1220838.6,1137624.4,1232108.4,1193091.2,1474141.0,
2590,115.92075414344691,8.533923,,,,196,,,,,,,987062.0,1271344.0,1624698.0,1631206.6,1710053.8,3845646.8,
2414,115.92075775713148,7.6454544,,,,192,,,,,,,369054.44,950758.9,356858.75,1288303.9,1200910.2,717190.3,
2509,115.92075786343098,8.165709,,,,54,,,,,,,1352724.8,2039742.8,1008143.5,2810239.8,2310921.8,1689352.0,
2389,115.92075891818267,7.6045756,,,,112,,,,,,,561915.7,1183989.2,356858.75,1879365.6,2234502.5,1171809.9,
2496,115.92075914134887,8.033717,,,,,,,,,,,1471765.9,506199.38,1342820.8,8403708.0,1336495.5,1268427.2,
2445,115.92075936612834,7.8443623,,,,38,,,,,,,572043.94,3145611.5,2144227.2,4103204.5,2847591.2,2992011.8,
2461,115.92075966020042,7.9598064,,,,96,,,,,,,1.3158909E7,3321406.8,1075083.1,4137318.0,3154255.5,3245517.5,
2771,115.92076004064343,10.22664,,,,79,,,,,,,6451067.5,5363637.0,4458257.0,7226044.5,5669909.5,4461881.0,
2522,115.92076351363323,8.313613,,,,42,,,,,,,4362318.5,3880333.5,5837883.5,3968190.0,3146364.8,3191503.2,
2578,115.92076637822252,8.36253,,,,59,,,,,,,8264635.5,1.1625496E7,8827401.0,1.4638346E7,8648597.0,8474738.0,
2576,116.92091547748169,8.357655,,,,59,,,,,,,1101942.1,1182585.8,977184.8,1684126.1,964180.3,955103.94,
2550,116.92855933814327,8.343925,,,,59,,,,,,,3118972.0,2182212.8,1450004.4,2971393.5,1279757.6,2276698.0,
2476,116.92856811708656,7.9958034,,,,,,,,,,,7522568.0,3223100.2,1270425.2,4190346.5,1914336.9,1538991.1,
2796,116.92856993210258,10.340037,,,,,,,,,,,2055164.6,1961761.1,1773704.0,2034650.5,511990.1,924465.7,
2437,116.92857118339886,7.839987,,,,38,,,,,,,1995333.9,2808580.2,3803119.0,3617779.2,2380087.0,1291826.1,
2333,116.9285715507391,7.3375506,,,,,,,,,,,518551.56,432550.47,367938.56,639224.1,315651.56,211432.55,
2387,116.9285729216977,7.603453,,,,64,,,,,,,1659391.5,2721193.5,1007714.2,3156872.0,741631.1,806041.06,
39,117.01927537758473,0.6596591,,,,,,,,,,,490692.66,474170.97,202464.08,509075.16,234271.34,234040.02,
2544,117.01930795465171,8.341279,,,,59,,,,,,,642576.5,513011.06,437701.53,405776.44,129666.81,172098.23,
1054,117.01939643835875,4.7938385,,,,,,,,,,,75296.75,100703.16,381919.34,108338.48,176563.98,169913.17,
82,117.0557478306605,1.8409058,,,,,,,,,,,5418.2266,319519.03,227922.52,272042.16,580008.3,312710.78,
91,117.05576433250201,2.1336622,,,,17,,,,,,,506727.28,1270615.2,1451007.2,2114545.0,2344461.5,1755526.6,
236,118.05095754221814,2.6202695,,,,,,,,,,,209134.97,453164.12,71693.07,698848.75,253694.61,93884.59,
5,119.9470226837426,0.3406318,,,,5,,,,,,,1.3427364E7,1.0964678E7,1.2164274E7,1.1278364E7,2.1602494E7,9312289.0,
6,121.94406514580304,0.3406318,,,,5,,,,,,,4373326.0,7140925.0,4696656.0,3753554.0,4043642.8,4265491.0,
2289,122.97577134364634,7.2237773,,,,,,,,,,,30016.0,83388.38,12307.866,151497.06,239851.56,298316.6,
2324,122.9757724906927,7.301459,,,,,,,,,,,113105.08,291449.66,12307.866,300897.56,271595.3,240788.42,
2435,122.97577519586632,7.8367867,,,,,,,,,,,20166.941,63217.207,43110.39,113076.33,109357.55,77582.695,
2526,122.97578018234447,8.345851,,,,,,,,,,,179321.8,185973.28,227476.34,226436.11,216002.77,385281.6,
2380,122.97577951770923,7.599119,,,,,,,,,,,48781.867,261378.66,53874.566,223835.11,245487.95,243963.9,
2599,122.97578943521715,8.564258,,,,,,,,,,,126414.58,194614.61,195448.23,316289.25,318607.78,295356.72,
109,125.02445238958741,2.2650867,,,,,,,,,,,1414380.9,3182481.0,725272.4,4670140.0,1992623.1,2595277.0,
32,126.90504585405837,0.39625904,,,,,,,,,,,239818.78,733202.6,281633.4,1210891.2,787257.56,485450.78,
141,129.05573902177676,2.387842,,,,,,,,,,,936366.5,847378.8,1129230.8,1772528.9,867372.56,1629584.0,
239,129.05574155759965,2.6221778,,,,3,,,,,,,1368983.1,2395206.8,1151774.9,4191783.8,1891688.8,1719819.2,
86,129.05574567689044,2.0810232,,,,,,,,,,,296252.0,186406.78,316890.3,238819.11,356303.44,236953.4,
25,129.97580211175702,0.3976915,,,,21,,,,,,,2979903.8,2399660.5,4945350.0,2505956.8,2000781.5,2212018.2,
74,131.03500610270078,1.458258,,,,,,,,,,,1273458.8,1794845.2,678912.1,2395404.2,3073794.0,875608.44,
229,131.07136170239423,2.6082299,,,,87,,,,,,,480726.88,172349.34,376062.72,286888.1,214866.44,106081.914,
115,131.07138604353057,2.3036816,,,,,,,,,,,3118771.0,407647.3,3811891.5,558623.2,447004.9,243691.52,
317,131.07139644576372,2.8892832,,,,,,,,,,,4725967.0,8924669.0,7022139.5,1.1252628E7,1.6440184E7,1.1523748E7,
2663,132.86785935006066,8.870986,,,,,,,,,,,338848.62,278603.2,226245.55,64318.863,825117.25,449867.44,
2623,132.8678683229557,8.618039,,,,,,,,,,,1769076.4,1971614.2,201309.84,348186.78,2028549.4,1831526.1,
2756,132.86787060858111,10.212253,,,,,,,,,,,359240.25,205862.89,279141.25,248261.19,333491.56,304104.3,
2813,132.8678713792195,10.497148,,,,,,,,,,,1209988.6,1122791.4,924997.0,899637.4,1448450.5,1262634.5,
2762,132.923464032054,10.221753,,,,79,,,,,,,304392.56,269335.3,252444.67,299153.12,273892.0,270553.44,
2506,132.92346673265192,8.1347,,,,,,,,,,,103910.93,263208.8,119682.9,259109.73,167743.03,142027.14,
2468,132.9234690388958,7.9891706,,,,,,,,,,,175098.64,136812.11,73310.36,459475.84,416702.28,347243.6,
2436,132.92347149052202,7.8387055,,,,38,,,,,,,108735.7,199056.89,83472.21,88225.195,136837.6,135900.39,
2532,132.9234802462794,8.346787,,,,59,,,,,,,203279.62,280232.16,648495.75,305850.5,637304.3,631665.56,
2618,134.86517237760424,8.603894,,,,,,,,,,,2215657.2,646701.3,152462.23,306585.25,135123.3,132540.36,
2757,134.86519117733553,10.212253,,,,,,,,,,,246279.97,272781.4,196889.23,289603.7,178104.11,258976.12,
2820,134.86519643053788,10.50286,,,,,,,,,,,881502.0,619308.44,657901.1,637020.5,324239.6,738230.75,
2753,134.8946650704521,10.1997385,,,,171,,,,,,,776494.75,586799.44,441212.84,659534.3,622703.4,357791.9,
2338,134.89467053740393,7.318812,,,,167,,,,,,,3285928.2,2477672.8,501680.47,1214029.8,672989.4,409885.2,
2507,134.89467425500348,8.118682,,,,,,,,,,,4819730.5,2095711.0,1204626.8,2256187.5,2307628.2,1097749.4,
2390,134.89467370549292,7.6357484,,,,133,,,,,,,6011947.0,8905784.0,1708930.0,8282151.0,2688473.0,1466075.9,
2524,134.89467789919846,8.324562,,,,59,,,,,,,1.1462357E7,1.0011356E7,3501103.8,1.0729169E7,3588726.2,2268138.8,
2495,134.89467605090104,8.044958,,,,172,,,,,,,7099142.5,7513315.5,656708.56,5220925.0,2040052.1,1427257.5,
2458,134.894677132875,7.9550934,,,,93,,,,,,,2314832.8,2877509.0,928448.56,2631713.8,2153745.2,1540534.5,
2443,134.89467729653472,7.8444576,,,,38,,,,,,,4137706.2,4396548.0,2211767.0,4133476.2,2097576.0,1453732.2,
2754,136.8916692787386,10.203778,,,,171,,,,,,,197973.6,176974.05,135416.56,209722.2,185948.12,116128.11,
361,139.04006676319588,2.9782903,,,,,,,,,,,236588.42,192922.84,183185.5,392665.06,213151.19,183994.02,
188,139.04009746519236,2.526188,,,,162,,,,,,,5775885.5,4211257.0,8704073.0,5158903.0,5775304.5,4737985.5,
73,141.01934536727433,1.4205397,,,,,,,,,,,372135.7,665994.6,406743.72,1540853.8,749944.9,652193.3,
45,141.0193521600774,0.83901674,,,,,,,,,,,96807.164,118787.41,88885.26,383797.94,224398.38,136972.5,
172,144.04547604834374,2.4843104,,,,,,,,,,,199054.38,339703.62,206200.88,411038.34,507961.06,437616.56,
586,144.04550305590487,3.672992,,,,63,,,,,,,2144423.8,952891.25,1213369.2,1005162.4,1135170.9,925323.5,
104,144.0666182352663,2.2256832,,,,,,,,,,,0,139310.47,0,283550.2,315630.38,225168.8,
49,144.0666435210866,0.8888521,,,,,,,,,,,81468.26,828601.2,23377.541,1598129.5,3249446.0,1803329.1,
2657,144.92346010236818,8.873359,,,,138,,,,,,,1253244.6,757588.25,1168284.5,1020869.6,626464.56,942999.56,
2392,144.92346082390637,7.6101613,,,,,,,,,,,932686.0,1199921.8,824204.3,887012.7,604837.7,558313.2,
2592,144.92346382809856,8.54255,,,,,,,,,,,1522497.2,1560944.4,1296444.8,1142484.1,956041.25,1972207.4,
2441,144.92346575816495,7.8585687,,,,38,,,,,,,1808618.0,2782561.2,1336293.1,3122531.0,1949765.0,1847446.2,
2768,144.92346667196117,10.223234,,,,79,,,,,,,3447334.2,3352402.2,2676380.5,3487654.5,2898944.0,2688383.2,
2520,144.923467879891,8.310702,,,,42,,,,,,,2135868.8,3635136.2,4013174.8,3645213.0,2656586.5,1511246.8,
2456,144.92346927934312,7.9484577,,,,,,,,,,,662190.3,2374572.5,1275395.4,868310.7,1631926.5,1492526.1,
2561,144.92346955269863,8.34622,,,,59,,,,,,,1.1801128E7,1.0568284E7,5181189.0,1.0686279E7,4854257.5,4473587.5,
102,145.0506512768483,2.2219315,,,,,,,,,,,1.2416666E7,2122624.5,3286541.0,3020562.0,1699586.8,682620.2,
58,145.05065366605308,0.96699315,,,,,,,,,,,32432.613,4002.3423,503384.25,7697.493,43690.34,4755.7217,
559,145.08702030142328,3.5902445,,,,,,,,,,,220428.55,192243.72,402753.22,276000.12,296712.2,207965.64,
101,146.05396627934823,2.2216778,,,,,,,,,,,768489.94,97455.11,148621.98,159625.88,74796.29,0,
181,146.06113215980727,2.4996412,,,,,,,,,,,236484.66,1831363.1,80791.28,1908432.5,2756698.8,2389884.5,
2511,146.9659376797131,8.180347,,,,,,,,,,,1466194.6,1127250.4,413645.62,1406918.8,398191.44,142957.22,
2479,146.96594495572523,8.031049,,,,,,,,,,,1772832.2,3439053.8,274941.94,4000663.8,700378.25,264965.44,
2620,146.96595045227954,8.62251,,,,,,,,,,,1913794.5,1415973.6,1058256.9,1141261.4,446143.5,727581.8,
2566,146.96595437472118,8.346829,,,,59,,,,,,,2073664.6,1792490.8,1162010.9,2029556.2,564250.7,788510.1,
10,146.9659798818145,0.37381205,,,,21,,,,,,,7.775618E7,4.158502E7,4.8931412E7,3.91282E7,4.5424052E7,8.252349E7,
29,147.06624001180668,0.4013924,,,,,,,,,,,0,0,138083.9,0,0,0,
42,147.06626850248264,0.7799415,,,,,,,,,,,2916501.5,1033773.6,1707204.1,1833226.6,1149609.4,732086.94,
69,147.0662818033971,1.3374667,,,,82,,,,,,,805299.6,2740931.8,837220.75,3475665.0,4446700.5,2681674.5,
130,151.04003400709047,2.3576245,,,,,,,,,,,24022.07,49506.062,82293.96,232290.16,179645.53,178662.47,
501,151.0400570520122,3.457686,,,,,,,,,,,0,78771.984,0,127168.51,26824.688,35958.06,
306,151.04006737476243,2.849472,,,,48,,,,,,,64636.293,361769.1,159009.2,556740.5,653614.5,789024.4,
131,153.0193309360541,2.3808062,,,,,,,,,,,427965.97,384869.84,11751.6455,1464041.8,338011.66,281949.4,
192,153.01933814363983,2.5259902,,,,,,,,,,,338493.28,2899724.8,168625.7,4398986.5,3228403.2,1671697.9,
93,153.0193547877804,2.135729,,,,17,,,,,,,49135.77,1099842.6,65733.805,1505157.1,551949.9,428030.44,
378,153.0557370123754,3.0687597,,,,36,,,,,,,1941270.5,708974.94,6096800.5,1127695.2,1931012.0,1724993.6,
286,155.07137123235,2.7364044,,,,,,,,,,,75885.7,51978.18,212342.19,0,4292.9683,27708.617,
264,155.07137981113428,2.6758728,,,,,,,,,,,801415.56,88927.734,485605.72,137479.11,255011.83,57887.203,
626,155.10776799626748,3.785179,,,,51,,,,,,,179559.52,357573.25,136437.53,470013.2,237777.7,307180.6,
291,157.05059036403603,2.7918103,,,,127,,,,,,,2410094.2,1774201.9,2898236.8,2547820.0,2286763.0,1410731.2,
162,158.0821836935549,2.4594615,,,,,,,,,,,184765.8,221974.27,577348.4,376643.66,319225.88,180777.38,
294,158.08221799498762,2.8334796,,,,,,,,,,,16758.326,103700.87,0,152987.45,134184.69,133355.75,
83,158.08222236051986,2.0270312,,,,,,,,,,,408615.84,2064021.2,849526.0,3127446.8,2704415.0,1757339.9,
263,159.06623577254763,2.6759317,,,,,,,,,,,221150.16,207558.6,209351.94,263607.28,356539.88,264597.5,
356,159.06624199412082,2.9675028,,,,43,,,,,,,340815.4,408077.9,332572.12,568693.94,550244.1,365760.7,
770,159.10262508127855,4.192387,,,,67,,,,,,,0,441461.62,0,854843.2,168397.69,477709.4,
70,160.0614946002589,1.3382856,,,,82,,,,,,,1951785.1,7551146.5,1308072.9,1.2501305E7,8848251.0,3429071.2,
2804,160.8419671071099,10.443405,,,,55,,,,,,,944968.75,649057.56,555159.4,427203.8,560356.7,305192.28,
2529,161.9135707250008,8.3410845,,,,59,,,,,,,1203819.9,1235825.9,876372.2,1607009.1,681860.75,334541.0,
2503,161.91356929553683,8.124231,,,,,,,,,,,514961.78,456396.9,124266.586,536467.75,157004.56,92903.85,
2465,161.91356977811245,7.9652405,,,,,,,,,,,689524.8,388098.3,115883.85,408738.1,193538.94,259126.44,
2490,161.91357128646698,8.026073,,,,,,,,,,,534035.8,461642.84,93308.664,206940.08,173983.14,198230.67,
2438,161.9135740099188,7.840942,,,,38,,,,,,,596591.75,414630.0,341763.3,510333.62,180909.56,138162.55,
2395,161.91357496622385,7.6114326,,,,133,,,,,,,824638.75,1171610.6,222880.75,1301374.6,136442.36,150718.2,
2805,162.8390397911672,10.441409,,,,55,,,,,,,783020.3,576085.5,563773.0,420840.4,511657.38,267976.6,
290,163.04344987059423,2.7904682,,,,127,,,,,,,474399.84,932169.06,678918.8,1132828.0,1110927.6,803045.0,
2819,163.98608052101983,10.557241,,,,92,,,,,,,2127926.2,1659712.2,1444206.9,1465444.1,1294153.5,1396499.6,
398,164.03529329593283,3.1431866,,,,,,,,,,,335294.0,327275.72,274755.38,485653.75,357135.0,233966.5,
730,165.05563561421957,4.0573444,,,,,,,,,,,0,98840.96,0,175969.56,53946.387,73648.39,
579,165.055660785384,3.6290426,,,,,,,,,,,57577.766,195817.2,16504.725,371449.72,176515.97,158849.06,
395,165.05566674487855,3.1290839,,,,50,,,,,,,146322.38,307461.9,535853.25,814090.94,326965.72,816791.0,
764,165.05567471008706,4.172917,,,,,,,,,,,815847.1,991933.8,768669.3,2638945.2,419253.9,1556776.8,
950,167.0349170670386,4.5786777,,,,117,,,,,,,64182.89,145149.8,0,234330.73,113631.46,203133.75,
280,167.03493425769776,2.7425792,,,,71,,,,,,,4591.4355,331408.38,0,565080.4,75976.6,99177.37,
390,167.03494605875412,3.1113033,,,,,,,,,,,227166.19,270790.06,122885.484,317820.34,272868.12,218024.3,
179,167.03494946945818,2.4969218,,,,,,,,,,,696014.25,1468209.5,113377.56,2134674.5,772680.4,461200.66,
366,167.0349565353221,2.992109,,,,150,,,,,,,307965.47,2295200.8,169184.39,3348054.5,2169346.8,4117929.0,
94,167.0350279416634,2.1536822,,,,,,,,,,,148316.22,323171.3,77185.41,189221.44,483832.0,440209.75,
551,167.07128696295192,3.576609,,,,,,,,,,,26398.445,0,78185.984,0,8369.0205,0,
126,167.0713315405197,2.3370967,,,,,,,,,,,82137.27,0,251392.81,18933.887,32085.162,0,
261,167.07133518848778,2.6685221,,,,,,,,,,,1074727.5,498569.9,2745467.8,691417.06,1036044.8,670225.3,
311,169.08700641590676,2.8723533,,,,,,,,,,,265267.06,98731.36,898833.06,148499.67,180395.23,93407.06,
362,169.08700849228356,2.9789877,,,,,,,,,,,110415.4,6988.257,275030.22,18573.172,52527.15,23861.06,
379,170.9854233536959,3.0760205,,,,36,,,,,,,175598.31,332136.6,50775.934,517981.12,399185.78,286141.75,
472,171.06625872420378,3.3677683,,,,,,,,,,,208939.42,308308.62,254579.69,458048.44,401489.16,221944.28,
202,171.0774566755163,2.5694897,,,,7,,,,,,,300539.44,174366.38,433871.4,307162.56,299151.2,157486.55,
341,171.0774633735083,2.923132,,,,40,,,,,,,309323.22,133219.12,490310.94,265926.1,366733.66,196382.4,
41,172.0614908806107,0.74863696,,,,,,,,,,,32745.012,0,192687.53,0,56331.125,0,
381,172.0615100899688,3.0773163,,,,36,,,,,,,658128.2,262178.72,881701.1,380762.1,361931.25,144620.34,
149,175.06115639504796,2.4693851,,,,,,,,,,,1142591.6,210174.17,615107.75,2389958.5,339414.22,117123.93,
187,175.06117379134116,2.5259888,,,,162,,,,,,,3518468.0,2520565.2,2377844.8,4959144.5,3839409.2,1386378.8,
415,177.01931974298617,3.2044969,,,,34,,,,,,,0,1055750.9,0,278837.5,2151254.0,1853836.6,
265,178.05095484920082,2.6830804,,,,,,,,,,,387690.34,544066.5,641546.9,776214.1,737770.25,594083.75,
468,178.0509705904383,3.3575199,,,,170,,,,,,,730096.75,732015.94,660086.4,991213.6,807492.94,551134.8,
271,179.07127458298496,2.7116933,,,,31,,,,,,,80731.88,577019.4,0,573160.44,579279.5,463136.1,
690,179.07127766282528,3.928387,,,,97,,,,,,,42930.402,548630.8,25124.111,1092787.9,344737.28,278451.1,
727,179.0712933674362,4.0437036,,,,,,,,,,,129888.87,532972.06,69974.625,725111.4,219322.14,380552.56,
346,179.0712952701172,2.9367006,,,,,,,,,,,0,136246.77,0,182305.06,56117.1,50188.7,
469,180.06662348977167,3.3586197,,,,170,,,,,,,656613.06,1451609.5,458829.53,2122023.8,1805851.1,935257.5,
720,180.06665335714945,3.9795644,,,,,,,,,,,4841.1865,39303.164,37487.766,18685.406,46448.03,35672.75,
2486,180.9812008731532,8.021291,,,,,,,,,,,182745.34,485532.88,50269.03,392664.7,600307.4,628389.25,
2528,180.9812112407657,8.341088,,,,59,,,,,,,398659.1,279225.56,425948.84,792722.1,525390.75,638285.0,
2279,180.98121645763754,7.2132707,,,,,,,,,,,230290.7,191350.61,346223.84,428547.25,544759.2,400861.94,
2385,180.98121741979912,7.5928435,,,,,,,,,,,87836.414,327309.34,175380.62,246401.78,371117.75,290577.2,
2322,180.98121945759274,7.2984886,,,,,,,,,,,308392.53,489548.12,161289.5,332264.34,304045.44,281728.03,
183,181.0506395401184,2.5094898,,,,107,,,,,,,279635.7,6027999.0,234690.27,4530101.5,4289143.5,6129953.5,
510,181.05066291896455,3.495847,,,,,,,,,,,152305.67,353658.38,373133.3,4145665.5,347116.12,356059.28,
549,181.05067589669136,3.5674193,,,,157,,,,,,,1739440.4,5089109.5,267627.38,6742063.5,3785398.2,3626103.8,
112,181.05068229890148,2.2760084,,,,,,,,,,,98345.98,284841.62,178229.75,479480.56,536321.06,522474.1,
476,181.05069548508655,3.3781927,,,,49,,,,,,,2379677.5,4795678.0,766280.2,8370510.5,3544088.5,5066473.5,
272,181.05071677620668,2.7092195,,,,31,,,,,,,214378.9,1399189.9,0,1648445.5,894348.94,1233329.8,
363,181.05075323485653,2.9826643,,,,150,,,,,,,14779.462,234669.62,0,354646.7,165710.48,153001.4,
184,182.05387509377482,2.5084743,,,,107,,,,,,,8034.7915,567034.2,0,406727.1,382625.06,600040.06,
269,182.05390209674079,2.707485,,,,,,,,,,,0,110628.0,0,124025.555,37414.23,94118.164,
475,182.05390767746908,3.3771522,,,,49,,,,,,,200169.05,397144.62,53460.93,753554.94,298335.16,448030.9,
548,182.0539186129829,3.5536883,,,,157,,,,,,,151478.58,448975.1,8432.553,609591.94,332888.56,308591.47,
351,183.0298215476536,2.9615018,,,,43,,,,,,,58217.934,896309.5,16811.209,1293864.4,375800.28,630078.7,
542,183.06620289636209,3.5487847,,,,,,,,,,,104489.53,152591.4,0,216468.64,84617.57,69250.93,
222,183.06623676218695,2.607344,,,,87,,,,,,,151501.72,448868.0,132644.8,549269.1,331445.22,540350.3,
144,184.09785795112694,2.3868964,,,,147,,,,,,,1643344.2,1498892.5,772941.06,2096902.4,1028870.8,277532.47,
664,185.1182812298927,3.8845856,,,,,,,,,,,109503.29,266512.03,58699.582,726620.2,352201.4,108162.49,
2706,186.9057120909798,9.29872,,,,,,,,,,,94017.21,165869.94,104987.234,150100.33,59449.633,43084.74,
2644,186.905727412247,8.817826,,,,,,,,,,,696733.0,483986.1,467814.7,526894.8,182977.77,255597.44,
2629,186.90573344816698,8.675701,,,,,,,,,,,884660.3,648160.25,742673.06,680913.06,90223.414,323840.06,
2587,186.90574223472217,8.609157,,,,,,,,,,,99910.66,88587.66,218419.73,265360.7,38014.24,101283.3,
2649,186.9705808051655,8.830747,,,,,,,,,,,150328.22,198038.39,248599.06,148263.64,13445.127,29311.924,
2674,186.97059090418682,8.97797,,,,,,,,,,,78272.77,62659.836,86813.04,131832.1,0,0,
2491,186.97060470566453,8.062945,,,,,,,,,,,259653.89,373577.16,179502.86,333461.9,177382.25,240233.14,
2434,186.97060690057322,7.8371377,,,,38,,,,,,,70420.38,195971.7,159490.02,310449.0,135966.3,179641.53,
2460,186.97060775021896,7.961118,,,,96,,,,,,,197641.08,192861.94,141819.72,218037.2,179981.5,193645.78,
2512,186.97060919866178,8.178374,,,,,,,,,,,225582.03,258762.72,221097.34,380952.12,242750.23,238376.6,
2382,186.9706117775321,7.597166,,,,64,,,,,,,97672.65,195066.62,108478.305,284563.44,155650.73,191852.9,
2410,186.9706126177381,7.6533732,,,,133,,,,,,,58356.043,114775.055,85619.25,197087.16,109744.664,142785.12,
2596,186.97061460934185,8.554148,,,,0,,,,,,,438500.9,554870.5,563546.8,976285.6,235388.78,424108.0,
2530,186.9706294712687,8.344946,,,,59,,,,,,,1091636.6,1057852.0,953937.4,1790866.8,611786.1,675163.06,
2810,187.86096776401428,10.482311,,,,151,,,,,,,1661919.0,1493367.4,1333736.2,1126104.9,2133556.8,1318788.9,
399,188.03529491384995,3.1588867,,,,,,,,,,,107738.98,97590.81,161560.45,169349.61,158438.11,111011.04,
158,188.03529886892684,2.4557805,,,,,,,,,,,1368027.5,258545.14,1694989.2,299024.38,144998.45,109671.16,
283,188.09278235755394,2.756696,,,,,,,,,,,63091.98,341584.97,330445.2,483889.22,775412.7,265541.03,
737,188.9515473014757,4.078886,,,,132,,,,,,,382311.5,498769.03,623865.4,725145.25,647956.5,606612.75,
377,189.0768348111266,3.063825,,,,36,,,,,,,585340.25,1016149.9,518080.06,1638209.1,1438202.8,571194.8,
2809,189.85793922803248,10.485237,,,,,,,,,,,688781.6,628364.2,511691.72,462547.84,1302581.4,430186.97,
180,190.0508530051937,2.5048864,,,,,,,,,,,26566.559,348673.3,0,251416.61,561037.9,504496.3,
