"MetaboAnalyst_ID","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML","NEG_TJGIp1_1_Run50.mzML","NEG_TJGIp1_2_Run106.mzML","NEG_TJGIp1_3_Run180.mzML","shared_name"
"297/456.2002mz/3.1min",2.41558381143272,2.41102861279188,2.15209108895523,2.3527696403411,2.52315034260702,2.3969346900735,"297"
"299/255.135mz/3.12min",2.67829863101346,2.64482077352286,2.47526225024361,2.62818839791781,2.73322839449505,2.57337203321523,"299"
"300/206.0822mz/3.13min",3.33479411350593,3.30050339705538,3.17089526349787,3.33417142704165,3.41479336587055,3.22767611566163,"300"
"301/325.1056mz/3.13min",2.43143223681156,2.35990215078971,2.2706910607864,2.38560074408027,2.57526455843772,2.40209247842585,"301"
"302/188.0353mz/3.14min",2.53286593200387,2.59508401699234,2.3741261936284,2.55350920073909,2.59463934652377,2.45284505783239,"302"
"308/116.0506mz/3.2min",2.37384108304393,2.39550282693543,1.83781699592642,2.36264502911482,2.41295801394843,2.26901388476014,"308"
"309/160.0404mz/3.2min",2.88623461306451,2.91649809635463,2.68222517615337,2.85890417151851,2.91571021216231,2.80080704808429,"309"
"311/245.0931mz/3.2min",2.96549137707481,2.85156641843627,2.85823684575749,3.04631997989553,3.04448246839745,2.86239170919875,"311"
"314/269.1507mz/3.22min",2.85136463389681,2.73735805928122,2.6960694489547,2.82208990375866,2.86574452685622,2.733797505927,"314"
"319/257.1507mz/3.24min",3.16152690531146,2.8444438399135,2.61739773800082,3.10874593604188,3.19456636042578,3.02695398828855,"319"
"320/178.051mz/3.25min",3.14704709063991,3.0792779654232,3.08719772324653,3.14777499005344,3.19464655810982,3.13726464378242,"320"
"325/144.0455mz/3.28min",2.50731817254377,2.54269551242302,2.32347219208603,2.44050707278435,2.46141141363307,2.47561871832962,"325"
"333/138.0197mz/3.32min",2.76102989695038,2.66277220637471,2.67950613708174,2.76875177621023,2.85825390042575,2.73418206955232,"333"
"338/186.1136mz/3.36min",3.17550485912835,3.10932043448344,3.02240200230123,3.13093477886426,3.21258159896543,3.09890528455955,"338"
"341/271.1663mz/3.36min",2.78935575440504,2.64318082326206,2.58921969897901,3.02605390955195,2.84697248315905,2.61187067679467,"341"
"342/261.1343mz/3.36min",2.81856449013958,2.90007733822805,2.65373985039762,2.68670921379467,2.84019097473024,2.79511411587489,"342"
"352/271.1663mz/3.39min",2.67031569551586,2.52356244265643,2.60303040329296,3.0205943578518,2.87262918173151,2.53155114531985,"352"
"359/257.103mz/3.45min",2.83766060568832,2.70237936401172,2.6812298699589,2.94194072630356,3.0089854473608,2.86475223705714,"359"
"360/209.0794mz/3.45min",2.91747844408872,2.93254816505622,2.90462736862561,2.92925231409127,2.96531240000557,2.95934472072143,"360"
"361/125.0971mz/3.45min",2.81233781910677,2.7091366160432,2.64541875930859,2.82083818607546,2.81272835549428,2.72833292092128,"361"
