row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p10_3_Run145.mzML Peak area,2024_NEG_Y-p10_2_Run130.mzML Peak area,2024_NEG_Y-p10_1_Run104.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,Unnamed: 19
154,175.06117481525382,2.5196629,,,,,,,,,,,3246028.5,2934443.2,2563229.8,3410724.2,4025306.2,7878366.5,
155,176.0644819374762,2.5171907000000004,,,,,,,,,,,227728.17,196377.5,181180.72,236457.88,277225.12,564928.94,
171,178.0508789646569,2.8674037,,,,44.0,,,,,,,84445.71,0.0,43216.176,70176.69,78352.37,93282.74,
159,178.0508950338506,2.7149677000000003,,,,58.0,,,,,,,723803.94,9280.091999999999,773825.9,1336737.8,1310032.2,1272146.6,
198,178.0509141763205,3.3588886,,,,,,,,,,,162690.0,67039.21,217187.05,239134.67,320237.62,426447.7,
173,180.0576585448412,2.8679167999999997,,,,,,,,,,,144517.77,32202.541,152792.83,194758.06,212220.14,311428.88,
12,181.07174039889745,0.35623083,,,,,,,,,,,161923.89,86969.445,304794.06,207195.9,250015.17,155698.31,
493,186.9057465457844,8.737086,,,,36.0,,,,,,,3195644.2,2509057.8,2901965.2,4199124.0,2605403.0,570348.25,
503,186.970602483054,8.9521,,,,,,,,,,,85411.6,87212.8,132395.23,469572.8,94405.53,9125.249,
451,186.97060855025046,7.937338400000001,,,,,,,,,,,225643.45,156971.2,189178.66,149128.28,245474.12,176463.62,
440,186.9706099581012,7.836862599999999,,,,,,,,,,,173506.1,133303.62,227232.77,158214.22,207601.62,173259.78,
472,186.97061930968937,8.283706,,,,,,,,,,,464209.2,449318.62,543612.3,584930.5,389556.44,366614.4,
477,186.97061937221784,8.405841,,,,,,,,,,,531026.75,616872.4,1141025.4,1899462.2,553320.6,471908.03,
13,187.09187894252895,0.35156497,,,,31.0,,,,,,,787026.0,855631.4,798683.94,683029.1,757510.7,485941.12,
260,187.86096461441738,5.513272,,,,,,,,,,,0.0,240736.22,224907.47,258517.75,12625.705,0.0,
549,187.8609772302939,10.479616,,,,,,,,,,,937593.25,322387.0,473270.5,454903.53,941019.0,289349.16,
106,188.05654285457302,0.6484489,,,,,,,,,,,365000.88,1513600.1,552008.0,630920.44,711368.44,387029.88,
60,188.0565980046926,0.41868484,,,,,,,,,,,99879.92,420978.12,184627.75,174027.4,185161.44,198262.47,
130,188.0928364028524,1.4745264999999999,,,,,,,,,,,663407.25,1855941.6,2381196.5,2753425.2,3052674.2,4167605.8,
