Filename,2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML,2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML,2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML,2024_NEG_Anid-TJGIp4_1_Run183.mzML,2024_NEG_Anid-TJGIp4_2_Run212.mzML,2024_NEG_Anid-TJGIp4_3_Run233.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
389/230.1034mz/2.62min,1599189.9,2080902.0,3339783.5,1931387.2,1603338.2,221278.61
390/293.0991mz/2.63min,203840.84,252597.06,313266.62,238994.78,184008.77,13404.826
391/356.0985mz/2.63min,0.0,0.0,614959.7,265474.84,164663.08,0.0
392/196.0615mz/2.63min,2332463.5,3862813.0,3102731.0,3015080.8,2935175.2,2019540.2
394/815.2396mz/2.63min,1184415.5,1287824.4,1189684.1,1150460.8,794709.75,0.0
395/832.2297mz/2.64min,424588.3,506158.2,751217.5,453087.6,291986.3,0.0
396/805.2107mz/2.64min,194756.27,361989.4,562098.06,211567.86,136368.3,0.0
400/189.0768mz/2.63min,0.0,21519.023,106550.71,231056.05,94997.58,3854.4788
401/211.0611mz/2.64min,5426.0303,0.0,169387.02,338056.16,403673.6,6921.1533
402/297.0729mz/2.66min,128134.99,149797.23,110649.125,111733.49,102881.375,76398.29
404/167.0713mz/2.66min,0.0,0.0,336037.34,114957.44,113762.2,0.0
406/192.0301mz/2.67min,4469.0596,0.0,454024.28,54379.297,71590.695,0.0
407/243.1714mz/2.69min,19372.93,44827.38,87606.76,51965.258,42888.56,314046.56
408/178.051mz/2.68min,872729.9,1120524.8,1491842.6,935725.7,849557.7,387209.62
411/287.1248mz/2.73min,172434.27,338375.38,511912.5,129783.03,103956.33,95484.734
412/250.9211mz/2.69min,313336.78,245588.19,0.0,294127.9,681844.75,0.0
413/359.1094mz/2.69min,116321.51,297044.88,33867.535,585443.7,317312.8,17532.588
414/180.0666mz/2.68min,103645.36,242496.78,97754.234,168273.77,153946.88,50798.29
415/296.0777mz/2.69min,129788.99,257848.83,16325.84,23481.066,44935.438,20957.922
416/159.0662mz/2.7min,136588.67,183658.61,191921.28,147925.4,185875.22,114325.86
417/210.0771mz/2.7min,452391.6,437354.62,494909.44,585886.0,482608.9,259322.28
418/373.0055mz/2.7min,969970.1,735577.25,692838.56,912611.1,931710.7,1103388.0
419/246.0983mz/2.68min,61566.723,41433.24,512040.56,161459.14,184053.5,12736.811
420/225.0405mz/2.7min,0.0,0.0,0.0,774955.56,297873.9,0.0
422/327.1199mz/2.7min,3898781.5,5389356.0,3322820.8,3404608.2,3410153.8,2899775.5
423/328.1235mz/2.7min,558544.56,797503.9,490661.22,518267.03,490947.9,415596.25
424/376.1032mz/2.7min,16891.855,0.0,113033.664,0.0,4295.7607,0.0
425/247.0724mz/2.71min,35003.156,42570.715,469506.84,370535.38,205656.39,0.0
428/258.0983mz/2.68min,29539.506,34022.875,348741.97,136130.48,57277.49,45579.688
429/249.0404mz/2.72min,0.0,0.0,36425.18,425227.22,400288.7,54722.977
430/241.0716mz/2.72min,0.0,0.0,319745.88,88922.45,34458.04,0.0
431/298.0933mz/2.73min,13234.028,172657.05,891139.0,150965.94,310517.34,225024.78
433/240.0514mz/2.72min,1125585.6,929743.4,1536403.8,4676141.0,4587503.0,1530410.9
434/241.0548mz/2.72min,112621.375,87077.77,150236.16,482019.06,479454.3,152539.61
436/229.1193mz/2.73min,137092.17,194375.33,339243.28,244716.73,108677.305,3682.393
439/344.1824mz/2.74min,216476.12,309652.34,627292.0,296856.7,289625.44,14193.831
440/265.083mz/2.74min,109286.27,129212.99,88439.65,96406.984,99057.836,74737.734
441/309.1093mz/2.74min,1263223.8,1524504.4,1194366.8,1140807.4,1170154.5,969625.2
442/282.0984mz/2.74min,1821966.0,2161941.8,1013653.25,1699801.9,1539579.4,2289082.2
443/241.1194mz/2.75min,275695.56,294808.06,371771.12,248064.31,169869.27,49696.777
444/167.0349mz/2.75min,4193.218,3647.3013,168302.69,0.0,5387.45,0.0
445/196.0615mz/2.74min,920018.7,754907.5,660673.6,1384158.6,1312892.1,968884.9
446/254.1034mz/2.75min,691914.75,924063.8,625313.6,553376.06,603386.4,486499.25
447/306.0985mz/2.77min,244503.05,145499.02,79957.76,22320.709,80987.85,9165.809
448/313.1041mz/2.76min,134707.9,185075.55,20536.934,77605.08,72029.94,0.0
450/239.056mz/2.74min,13874.794,5266.5576,746304.3,119291.1,100854.46,4672.9287
451/240.0877mz/2.79min,827508.94,985863.9,1367967.0,844921.1,945293.3,10770124.0
452/301.1407mz/2.79min,49897.742,66557.48,538779.7,171494.02,88281.266,0.0
453/113.0609mz/2.79min,273461.72,273599.2,502257.97,426866.88,311689.53,130885.984
454/163.0435mz/2.79min,210497.69,181602.66,1758099.2,555697.25,255323.6,65592.875
455/300.1565mz/2.81min,60835.605,125279.65,1491327.9,31231.148,45492.438,19735.828
456/157.0506mz/2.79min,2438238.5,2596193.5,4519992.5,3938113.5,2869932.2,1797158.9
457/204.0302mz/2.79min,133677.3,192951.66,28185.344,8177.676,16005.672,0.0
458/345.1303mz/2.8min,83902.52,119091.8,52091.0,61067.492,53384.348,16875.771
461/365.0987mz/2.81min,52325.83,56096.367,94821.73,202401.48,217609.8,19802.365
462/273.1455mz/2.8min,270554.66,343645.66,363801.72,82160.84,55326.273,12067.858
463/178.0874mz/2.79min,7439.3164,0.0,14013.107,0.0,4927.449,560677.6
464/241.0911mz/2.79min,68932.56,50282.633,92505.65,44953.414,81132.32,1288888.6
465/481.1827mz/2.81min,0.0,0.0,0.0,0.0,0.0,303534.53
469/194.0458mz/2.82min,108081.516,190395.98,262465.5,200080.52,203405.75,81969.84
470/330.0985mz/2.82min,5763436.5,6965603.0,137159.72,96586.336,1362579.5,0.0
472/168.0301mz/2.83min,8752.268,0.0,926407.2,233922.47,120654.914,0.0
473/265.0176mz/2.83min,995458.2,560171.3,787422.6,996118.25,1003563.6,1153231.9
474/162.056mz/2.83min,379977.88,510642.94,463138.7,401114.4,384982.25,314630.3
475/136.0404mz/2.83min,26212.895,8866.729,654246.9,70358.18,48574.57,0.0
476/259.1299mz/2.83min,267756.75,430545.66,708277.9,611043.56,550832.2,171050.05
