"MetaboAnalyst_ID","NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML","NEG_TJGIp7_1_Run17.mzML","NEG_TJGIp7_2_Run141.mzML","NEG_TJGIp7_3_Run156.mzML","shared_name"
"381/357.1706mz/4.58min",2.19995871910618,2.3983346528485,2.17235055123411,2.09988332840431,2.17822538751678,2.17618135730896,"381"
"385/151.0763mz/4.58min",2.67878294719712,2.60797245142384,2.69091520852368,2.52054098406096,2.64253853834708,2.65343433536506,"385"
"388/423.1424mz/4.58min",1.74300236214752,2.45347326107638,2.48295569253547,2.08045458506306,2.46153504961842,2.45876178288627,"388"
"389/221.0818mz/4.59min",2.08960583703325,2.73350772943947,2.76949089023415,2.00875857032135,3.2077138209567,2.67204738363616,"389"
"391/401.1606mz/4.59min",2.34598639854008,2.21492429726485,2.19380711547696,2.26660996798759,2.16524485750743,2.2246009421206,"391"
"392/431.2284mz/4.59min",2.6961649677057,2.64287037573213,2.67662681947288,2.73671787431803,2.68208802712163,2.77701303142936,"392"
"394/471.1655mz/4.6min",3.27075827301133,3.1561328342915,3.18895443317503,3.14720671879213,3.18589766121207,3.19469239587732,"394"
"396/620.3204mz/4.61min",2.02526175954535,2.06195821397645,2.06987524822894,2.19051061719638,2.25372434437801,2.13365044476373,"396"
"397/229.9643mz/4.62min",2.99102458198639,2.9847675196632,2.98821471443189,2.98990172249814,2.98735467768704,2.98898347484671,"397"
"403/688.1583mz/4.64min",2.23199246727899,2.27662367352371,2.28713617226137,2.00057665224607,2.30752960555813,2.27928307249329,"403"
"406/514.3488mz/4.65min",2.41976293736013,1.7703827594294,2.06334790884239,2.12772997192041,1.94825675906328,2.14827923305472,"406"
"407/686.1603mz/4.64min",2.22613331006227,2.2680712680055,2.31300075956109,2.19841548512597,2.27735686641333,2.27603954116617,"407"
"412/367.2142mz/4.66min",1.37873023646892,2.84284355422691,2.86430487164999,1.82433471932181,2.76405917936887,2.88297718252553,"412"
"414/525.1736mz/4.66min",2.13057475238782,2.3859877248727,2.59151467081953,1.65525502572126,2.2509377379238,2.19588777160932,"414"
"415/413.1968mz/4.66min",3.1297427171378,3.08634347417753,3.14782953049819,3.0436168616498,3.12498244890112,3.15152093204637,"415"
"421/506.1996mz/4.67min",2.38029047677799,2.36643711718888,2.37204814906914,2.32508680266855,2.38819799585169,2.3826081993792,"421"
"422/915.3803mz/4.67min",3.09972968325464,3.07006529713969,3.07024444375841,3.00744731442199,3.08012516538075,3.05382577020278,"422"
"423/401.1607mz/4.63min",1.55772441808649,2.16869743060157,2.03097948447761,2.44585921704328,2.21414546954735,2.1851205376788,"423"
"424/494.1665mz/4.68min",3.35761358578283,3.17071787751254,3.08946166790517,3.56936565466656,3.17749176876572,3.15810799743111,"424"
"425/503.1918mz/4.67min",4.47685352478041,4.45979580681662,4.45378882466618,4.41312700383958,4.46757952778009,4.46104067291843,"425"
"426/313.1806mz/4.67min",3.04782150935082,3.00512143462929,3.04583045536468,2.98620747753785,3.02169338761235,3.04540335245259,"426"
"427/457.1867mz/4.67min",5.17211497631526,5.1458103250196,5.17335228214744,5.10165603155328,5.16276182683719,5.16003683692863,"427"
"429/117.0191mz/4.67min",2.92142186822404,2.92075349753077,2.96440235095011,2.88318891735939,2.92315168944586,2.94046734128295,"429"
"431/439.1376mz/4.67min",2.89171094143965,3.00571539839082,3.01783427644263,2.89941224365287,2.99547097142142,3.00120721346274,"431"
"432/267.1752mz/4.67min",2.53654433883899,2.18011989302177,2.52058034735928,2.19662332456202,2.10494620305969,2.5264268755562,"432"
"433/278.1394mz/4.67min",2.37139893491737,2.27513190848934,2.43352836907342,2.29149017229273,2.30921756455407,2.37090716455378,"433"
"434/355.1549mz/4.67min",4.227153010482,4.17942776261037,4.21685774002863,4.16674096273437,4.21641679421781,4.22787988008576,"434"
"435/373.1654mz/4.68min",3.55196637037979,3.51330245038101,3.52936709099738,3.50719690239634,3.5334204348073,3.54417938641969,"435"
"438/517.1708mz/4.69min",2.98705552979099,3.02312265566983,3.03124436496977,3.04063331661913,3.08692947532542,2.99465586780824,"438"
"439/429.1916mz/4.69min",2.79073407890215,2.76483258691943,2.8279433448623,2.70887002509271,2.91115503009823,2.87041726930895,"439"
"441/875.3485mz/4.69min",3.05859413967733,3.03542201019828,3.02680837015678,3.00718195125808,3.04218102809921,3.04378889993027,"441"
