Filename,POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML,POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML,POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML,POS_D5-211-C1-a_Run91.mzML,POS_D5-211-C1-b_Run94.mzML,POS_D5-211-C1-c_Run97.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
777/352.339mz/7.87min,3555095.5,1837585.5,2324000.5,1025033.75,1413601.8,1711739.5
780/382.2042mz/7.88min,482074.2,548853.75,492962.72,233227.98,160688.89,310121.44
784/760.5834mz/7.88min,508457.47,610544.5,627083.0,12856838.0,9846447.0,17171908.0
785/810.5961mz/7.88min,971030.7,1334142.5,651196.4,1498831.9,1882501.8,2490812.2
787/377.3199mz/7.87min,351552.06,392110.84,351670.56,206264.11,151806.3,199712.02
789/213.9828mz/7.87min,1125904.5,549099.2,532939.1,52920.613,124728.94,150068.55
791/378.2086mz/7.88min,2189502.5,2401939.2,2222429.0,1198882.0,1305855.1,1513664.5
792/808.5817mz/7.88min,601602.5,682770.5,852744.1,4484300.5,4830157.0,3276116.8
795/327.2266mz/7.88min,435701.28,506506.9,483187.72,0.0,0.0,0.0
796/351.2502mz/7.88min,1717226.5,1904256.1,1952816.9,87013.836,200978.2,372438.2
798/668.618mz/7.89min,97066.97,199357.38,232657.89,114750.445,401529.44,150535.75
800/319.224mz/7.88min,363589.78,391900.28,401851.22,9435.189,52752.51,111761.734
801/351.214mz/7.88min,539441.1,594374.5,611488.6,72459.97,139838.98,227796.53
803/172.9563mz/7.88min,2208846.5,2357026.2,2307089.8,317006.03,470929.3,422490.3
804/223.9883mz/7.87min,4074810.5,4067637.2,4081925.2,326593.8,860986.06,886418.06
805/373.2321mz/7.88min,456336.28,513093.5,533171.4,0.0,0.0,0.0
808/781.554mz/7.88min,695118.94,559631.25,421285.0,15491108.0,7645910.5,11220973.0
809/421.1556mz/7.9min,123007.15,115118.734,118797.79,165822.47,132350.48,124964.91
810/557.2809mz/7.9min,267654.06,289994.22,323711.0,377916.94,324851.6,284861.3
