"","filter","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-p4_1_Run186.mzML","2024_NEG_Anid-p4_2_Run195.mzML","2024_NEG_Anid-p4_3_Run224.mzML"
"299/416.1826mz/2.44min",2105059.6,2227031,1854750.9,1983088.2,358457.8,3140988.5,3246497.8
"300/410.1091mz/2.44min",83639.768,83639.768,83639.768,83639.768,418198.84,83639.768,83639.768
"301/762.3207mz/2.44min",480075.435,490510.97,523562.5,362991.25,63675.656,469639.9,567515.4
"302/160.0405mz/2.44min",97256.73,91192.68,96726.42,607205.3,97787.04,387656.3,78550.625
"303/345.1301mz/2.44min",7778651.25,9656169,12888154,7103777.5,8050264,6438742.5,7507038.5
"304/346.1336mz/2.44min",1166441.25,1452745.2,1910354,1059131.4,1239481.4,960135.75,1093401.1
"305/691.2683mz/2.44min",382389.845,587830.9,937644.6,347672.47,412331.16,228481.02,352448.53
"306/605.2258mz/2.44min",41697.6445,35525.906,3581.8865,277639.1,22153.51,425422.66,47869.383
"307/204.0302mz/2.44min",689834.095,604096.44,592567.6,3783777.8,775571.75,2545269.2,551906.56
"308/205.0336mz/2.44min",58961.4165,24212.28,52882.06,354424.9,65040.773,130581.9,32081.475
"313/188.0353mz/2.45min",2077737.95,829771.9,475065.4,5127584.5,3325704,4896258,663490.9
"316/313.0678mz/2.46min",265702.64,283094.66,263169.88,108010.875,145033.98,268235.4,316004.97
"317/282.0984mz/2.47min",615909.38,835054.7,1185163.9,758517.56,473301.2,217896.33,260867.48
"318/194.0459mz/2.47min",4423364.25,4410509,4785957.5,4436219.5,3341315,4271113,4886393.5
"319/287.0564mz/2.47min",51432.468,214267.03,284755.94,17144.156,17144.156,17144.156,85720.78
"320/237.0881mz/2.47min",378539.565,433553.72,599632.4,394699.75,340828.38,362379.38,313011.28
"321/419.1306mz/2.47min",69879.42,69879.42,69879.42,69879.42,349397.1,69879.42,69879.42
"322/158.0822mz/2.45min",330440.04,63790.074,70977.59,896946.9,909942.3,536269.56,124610.52
"323/264.0514mz/2.48min",201041.035,300608.8,608652.9,244487.17,51659.027,102947.89,157594.9
"325/322.1257mz/2.47min",61413.948,20471.316,20471.316,329252.66,102356.58,184789.92,20471.316
"327/136.0404mz/2.47min",935797.575,948630.4,1516438.1,1046143.8,874052.06,922964.75,632587.7
"328/144.0455mz/2.47min",391048.5,311724.94,425352.75,929936.3,356744.25,571337.06,277962.12
"329/259.13mz/2.48min",815899.95,140205.73,177778.4,5357950.5,1454021.5,2687320.5,135180.69
"330/260.114mz/2.48min",458772.63,986164.3,1264311.2,526118.6,209551.14,391426.66,295087.44
"331/905.3653mz/2.48min",127020.7595,12274.434,2454.8868,416221.44,223191.47,432667.03,30850.049
"333/167.035mz/2.49min",654018.08,43335.086,8667.0172,2515983.2,933949.44,1887759.8,374086.72
"334/779.3181mz/2.49min",1776243.45,770389.25,694470,3025980,1896894.5,3253476.8,1655592.4
"335/716.3226mz/2.49min",4239989.85,1795666.9,1627591.6,6144086,4345107.5,7541428,4134872.2
"337/752.2991mz/2.49min",1683760.2,594150.2,1027538.6,4462516.5,1762218.8,3403737.8,1605301.6
"341/190.0509mz/2.52min",253286.37,399501.97,782626.2,206510.52,13823.107,90804.9,300062.22
