"","filter","POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML","POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML","POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML","POS_TJGIp3_1_Run40.mzML","POS_TJGIp3_2_Run126.mzML","POS_TJGIp3_3_Run164.mzML"
"1374/522.2822mz/5.99min",501199.655,29925.206,586620.4,651971.4,149626.03,524520.56,477878.75
"1377/453.3469mz/6.03min",170453.76,506904.44,284089.6,56817.92,375012.47,56817.92,56817.92
"1379/620.3437mz/5.98min",3914103.5,3899061,3656240,3929146,2697547.8,4789423,5025362.5
"1380/552.2812mz/5.98min",971472.52,1024264.94,855819.25,918680.1,682483.2,1168776.5,1241479.2
"1382/525.3679mz/5.98min",362582.11,486670.1,147764.72,1721893.1,313855.34,42773.383,411308.88
"1383/132.1018mz/6.04min",343921.6,569097.4,548482.8,69077.25,733298.56,139360.4,49007.04
"1385/86.0964mz/6.03min",165022.135,264982.62,184933.6,34439.266,327767,61284.95,145110.67
"1388/258.6233mz/5.99min",420842.015,287126.62,421339.97,420344.06,325197.78,425010.97,424276.8
"1389/478.2925mz/6.0min",13924125.5,14804906,13603570,16116932,11992998,13137879,14244681
"1390/332.3308mz/6.04min",4673398.5,6728651.5,6416469,2328305.2,7021991.5,2930328,1406791
"1392/662.4095mz/6.0min",537572.62,156058.4,599246.3,735758.2,371025.72,475898.94,612588.44
"1394/118.0861mz/6.05min",2254512.45,2421380.5,5307253.5,2087644.4,2514801.5,1543369.2,1199672
"1395/280.2632mz/6.01min",563861.05,643678.25,508728.62,556724.4,559149.9,568572.2,587325.06
"1396/472.3993mz/6.02min",293282.125,222462.22,792333,364102.03,428307.4,119014.74,124383.38
"1397/395.3305mz/6.03min",983666.92,895290.94,1433176.8,1072042.9,328450.94,1291675,765383.5
"1402/483.4151mz/5.97min",352316.515,17859.662,261234.5,443398.53,210791.48,724334.75,881371.75
"1403/427.3889mz/5.97min",617503.25,12425.333,142135.33,1440568.9,158128.5,1076878,1222080.1
"1406/530.4199mz/6.05min",330562.04,322217.38,826300.25,212395.39,442815.84,338906.7,75659.09
"1409/507.2277mz/6.03min",319863.7,448902.7,342178.06,347939.94,245999.02,242918,297549.34
"1410/640.4274mz/6.03min",759586.7,992794.5,794951,811374.6,724222.4,655319.06,707955
"1412/1039.6714mz/6.04min",221383.775,225133.39,293532.2,323735.03,196270.44,189451.6,217634.16
"1413/279.6467mz/6.04min",692062.675,578625.5,849121.7,788947.3,569827.44,687585.1,696540.25
"1414/542.3213mz/6.04min",796017.19,541396.94,888863.44,1023280.56,625374.4,773629.44,818404.94
"1415/184.0732mz/6.04min",668049.345,781617.8,781258.8,490467.8,701171.25,621854.1,634927.44
"1418/520.3395mz/6.04min",23179097,25271372,25133516,27616228,18591312,18604082,21224678
"1422/482.3236mz/6.06min",471125.935,488315.47,506881.34,588272.06,377072.78,387355,453936.4
"1425/408.3255mz/6.05min",1086410.05,248925.67,1679420.2,1185637.8,588748.56,1058069.6,1114750.5
"1428/646.4141mz/6.07min",449263.55,407153,400175.56,466575.16,431951.94,722513.75,838383.3
"1429/324.6854mz/6.07min",2078619.5,1728939.8,2209522.8,2251057.2,1345572.6,2003354.5,2153884.5
"1430/610.4169mz/6.07min",15594199.5,23535338,15613149,16341115,15575250,13585440,14166345
"1431/624.4325mz/6.07min",840868,869735.25,516511.7,530058.56,831493.3,850242.7,932544.2
"1433/648.3722mz/6.07min",453180.98,260446.67,455497.9,549802.8,283230.5,450864.06,491244.38
"1434/632.3987mz/6.07min",10804575,10348782,9324549,13737473,8866738,11260368,12321739
"1435/344.3155mz/6.02min",97511.5225,2557.5792,36465.715,1512066.1,12787.896,158557.33,529142.44
"1436/955.7406mz/6.04min",62434.3575,5666.627,28333.135,686508.3,5666.627,96535.58,177786.03
"1437/455.3321mz/6.07min",246261.66,189631.12,307855,360314,155746.5,171357.6,302892.2
"1439/279.2315mz/6.12min",1169216.8,3304749.8,749182.4,847217.56,3218044.5,1266851.8,1071581.8
"1441/454.2925mz/6.08min",262595.36,253652.72,271531.06,306210.62,225200.78,253659.66,276840.7
"1444/471.4152mz/6.04min",1018236.35,35108.734,315651.56,2009880.9,389340.5,1647132.2,2042120.4
"1446/428.373mz/6.14min",199917.335,545021.2,239090.4,107457.33,529768.1,160744.27,47501.375
"1447/510.3579mz/6.08min",356628.81,369404.72,539516.06,395523.78,267477.56,343852.9,245752.72
"1448/622.4167mz/6.09min",961150.95,1285369.2,989792.1,954573.2,967728.7,872188.56,937154.94
"1449/390.7597mz/6.04min",779391.93,27266.748,141083.36,1417700.5,141055.69,1621171.4,1570785.8
"1450/644.3986mz/6.09min",888956.675,721438.5,892412.75,991834.75,579309.56,885500.6,976793.56
"1451/451.3313mz/6.11min",111454,518899.38,95483.12,124230.35,289330.9,98677.65,98447.664
"1452/337.2732mz/6.03min",392405.295,111265.85,679658.6,523668.56,835193,261131.23,261142.03
"1453/544.3622mz/6.06min",317835.03,18264.775,119865.36,629422.5,98480.37,515804.7,533727.75
"1455/453.3471mz/6.12min",197089.775,83806.98,832869.6,138682.22,493229.72,255497.33,82736.96
"1458/86.0964mz/6.12min",258222.765,88303.055,550077.75,227906.5,288539.03,320998.78,197917.55
"1461/522.2824mz/6.12min",622324.25,287494.28,681054,905009.44,583517.9,661130.6,570115.4
"1464/346.3311mz/6.1min",2867014,170040.08,1316684.5,32393514,571872,4417343.5,16139165
"1469/267.1718mz/6.14min",242729.97,340658.5,241826.16,183619.6,372117.28,243633.78,227632.5
"1470/144.1018mz/6.16min",306889.955,291017.03,506841.06,259637.25,322762.88,418909.9,218036.45
"1471/279.6466mz/6.14min",867510.5,718534.94,991199.44,910802.3,705783.56,861215.94,873805.06
"1472/132.1018mz/6.13min",448445.24,60874.1,1260933.9,226341.88,208990.73,1003274.2,670548.6
"1473/1039.6711mz/6.15min",706280.13,979536.06,754164.2,916256.94,643780.9,524851.6,658396.06
"1475/520.3395mz/6.15min",43643720,49668350,44853760,52003836,37348056,36183720,42433680
"1476/337.2732mz/6.1min",440748.555,666911.44,1138584.5,175123,773668.06,214585.67,28191.365
"1478/439.389mz/6.12min",42316887,39512940,36985652,43435144,47920450,41198630,47055224
