row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp3_3_Run174.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,NEG_TJGIp3_1_Run56.mzML Peak area,NEG_TJGIp3_2_Run138.mzML Peak area,
1896,106.04103707137737,8.552702,,,,,,,,,,,57854.9,33491.09,64442.844,0,11389.19,741196.8,
1974,106.04104840679467,9.440518,,,,,,,,,,,39555.54,414620.0,107473.695,29295.402,17777.889,1221458.2,
1996,106.04105641378528,10.017867,,,,,,,,,,,114440.38,593398.25,89527.61,17473.604,9268.486,74403.516,
1985,106.04106339847999,9.846101,,,,,,,,,,,55972.906,96128.11,66046.55,0,8452.533,897237.94,
1981,106.04107946933429,9.747327,,,,,,,,,,,53912.92,567960.06,66046.55,5405.612,6149.8955,1269959.5,
252,107.0502442917097,2.7617972,,,,131,,,,,,,500641.3,457783.1,535046.6,552512.7,622454.44,559725.3,
104,111.01995339914663,0.46967557,,,,,,,,,,,1842369.2,1271950.8,907007.06,4645060.5,1528219.2,1.0753372E7,
52,111.01996484257559,0.38086167,,,,12,,,,,,,5517305.5,1.7275846E7,7473370.5,5733625.0,1.0233147E7,9732164.0,
195,111.02001147150702,2.2893167,,,,,,,,,,,52966.023,91038.08,49147.89,0,527667.56,8411.0,
155,111.02002010271354,0.8596347,,,,,,,,,,,277812.97,111238.9,100688.82,40022.56,206431.52,694425.4,
164,111.02005537117373,0.9905198,,,,,,,,,,,398535.03,160359.77,346288.06,3646.1504,115035.42,244677.12,
2045,112.98559700584508,10.241427,,,,,,,,,,,6945334.0,7635184.5,6425818.0,7058290.5,7137073.0,7894205.0,
2081,112.98563645647816,10.4646845,,,,,,,,,,,4320333.0,5078801.0,3463913.0,4717210.0,3716349.5,5425626.5,
1647,113.9261947813543,7.717694,,,,85,,,,,,,1775670.1,1306854.4,1509244.0,1181205.2,1720916.6,2295649.8,
2021,113.92619508045355,10.205794,,,,,,,,,,,492191.2,508610.88,529844.9,367509.0,491555.78,427609.5,
1821,113.92622928663415,8.141446,,,,4,,,,,,,832842.25,8885451.0,6472245.5,5631155.0,1128303.4,3267091.2,
1862,113.92623711857867,8.274618,,,,,,,,,,,1178319.6,1502646.0,1624520.4,1121257.4,5359022.5,750068.3,
1401,114.93403630277913,7.443325,,,,13,,,,,,,582708.3,876963.75,888360.2,326144.03,597885.94,716008.6,
1602,114.93403878991722,7.686575,,,,77,,,,,,,2572508.8,2439002.0,2275789.2,1231952.9,1420301.1,2164231.5,
1826,114.93407695871372,8.139022,,,,,,,,,,,660852.4,556696.06,1150697.5,3853687.0,466831.88,2502761.2,
56,115.00366643485978,0.381596,,,,12,,,,,,,996854.9,2713289.0,1856095.0,1700040.2,2256024.2,2522819.0,
115,115.00369731805175,0.5873359,,,,,,,,,,,193403.61,1134315.5,721453.7,546446.06,791290.5,1141247.6,
1643,115.92067901165929,7.716898,,,,85,,,,,,,3.5298016E7,2.5567872E7,2.9775862E7,2.4751036E7,4.7592036E7,5.187379E7,
1784,115.92070228486529,8.137249,,,,4,,,,,,,2.0667384E7,1.7577419E8,1.2530939E8,1.0872078E8,2.1764554E7,6.233747E7,
1863,115.92070319769503,8.291383,,,,,,,,,,,2.2759522E7,2.8641848E7,3.0735516E7,2.1536272E7,9.061253E7,2.8965694E7,
102,116.03529837623744,0.44569764,,,,,,,,,,,530670.56,301046.75,212490.9,566615.0,538540.7,2500368.5,
57,116.03532356853866,0.38164636,,,,12,,,,,,,1222332.9,2095248.5,2795082.2,1245409.9,2540098.8,1969339.0,
264,116.05056065511336,2.7857215,,,,119,,,,,,,533882.6,503076.97,651429.2,579471.06,627824.94,723343.3,
337,116.05059137277853,3.1960876,,,,165,,,,,,,478284.97,134629.98,428355.72,455444.06,413970.22,446620.75,
101,116.0716741533888,0.45842394,,,,,,,,,,,587504.8,662560.8,280726.53,505221.12,250819.25,1361295.1,
204,116.07170141448678,2.3679087,,,,89,,,,,,,262732.8,227124.1,318109.0,237953.25,323913.22,232303.83,
61,116.07170345961902,0.38309845,,,,12,,,,,,,880561.6,1328648.2,1266078.5,975983.7,1882709.1,1513667.9,
176,116.07172735175955,1.9665028,,,,139,,,,,,,549214.56,445472.8,907328.2,490891.47,605131.0,647696.8,
1605,116.92844722660703,7.6873097,,,,77,,,,,,,2.5893428E7,3.4801564E7,4.780257E7,2.4697296E7,4.233096E7,4.3218256E7,
1418,116.92845806102714,7.4433875,,,,13,,,,,,,1.1808816E7,1.8765894E7,1.461506E7,1.0006987E7,1.1808183E7,1.318068E7,
95,117.01931775753214,0.44248724,,,,,,,,,,,7193896.0,6245758.0,1.0156126E7,6141807.5,4807672.0,1.3373997E7,
124,117.01933847301213,0.64791393,,,,78,,,,,,,2.186307E7,2.6499188E7,1.8596262E7,2.6081314E7,3.5269628E7,2.88873E7,
197,117.0193431972654,2.2947738,,,,,,,,,,,16329.0,15843.296,4871.387,0,376097.06,0,
158,117.01936572578535,0.89076567,,,,,,,,,,,134086.98,322305.3,85419.3,256245.06,108109.016,798430.4,
163,117.01937113380671,0.9957654,,,,,,,,,,,289873.72,340763.0,222003.75,147269.64,146063.38,226705.86,
1770,117.91901149193872,8.13885,,,,,,,,,,,595246.9,940560.06,3585529.0,704678.06,507661.1,3479199.0,
1832,117.92856243596027,8.137206,,,,,,,,,,,1737578.2,2575524.0,2552717.0,8634210.0,1866737.8,1323495.2,
1597,117.92857369866495,7.6865287,,,,77,,,,,,,5352075.5,5439434.0,5139976.0,2706657.0,3660687.8,5413701.0,
120,118.0226554391433,0.6479573,,,,,,,,,,,542735.1,1135171.5,308196.7,668125.75,430648.38,239684.16,
103,118.02267798943723,0.53856087,,,,,,,,,,,298061.3,185646.12,269103.53,208626.5,333870.88,372280.28,
87,118.02278263829606,0.4161805,,,,,,,,,,,212932.64,264314.62,326844.72,182636.72,407963.44,183716.28,
129,118.05090813765575,0.6351067,,,,,,,,,,,470282.38,591441.56,1131346.8,788570.5,1517355.6,2859675.8,
19,118.05092654526544,0.36580756,,,,12,,,,,,,5.1751064E7,1.2966477E8,7.883051E7,4.560421E7,5.0061944E7,1.3271305E8,
275,118.05096333180579,2.867781,,,,,,,,,,,25945.57,70652.54,22316.623,308257.38,151467.95,15142.797,
806,118.05097582279446,5.550508,,,,,,,,,,,165819.02,58219.547,83974.04,183663.77,187961.75,162771.9,
191,118.05098819545026,2.2647388,,,,,,,,,,,649110.5,108105.73,44669.707,18882.148,2926702.8,97816.51,
146,118.05099489462752,0.7839592,,,,,,,,,,,697543.2,178658.73,891262.6,406981.8,772167.2,396258.66,
161,118.05100470135561,0.8947552,,,,,,,,,,,686836.4,430271.06,899688.25,428901.53,219235.06,662185.0,
2003,118.89962461307555,10.158492,,,,,,,,,,,186322.97,126743.71,143683.48,1564533.4,432365.5,97534.19,
1585,118.92676272666297,7.684179,,,,77,,,,,,,616529.0,1354146.5,1246092.8,428364.9,408016.12,912674.75,
60,119.03482059165265,0.38306165,,,,12,,,,,,,1006244.4,1418112.4,1332554.6,958086.44,2101061.0,1418413.8,
30,119.05415087343515,0.3650364,,,,,,,,,,,1048855.0,5723089.5,2236579.8,1449508.4,1305705.4,5884937.5,
320,120.04546436368382,3.0522125,,,,174,,,,,,,490137.9,452741.12,557634.56,564099.25,593528.25,637209.6,
112,122.02466967614912,0.53876054,,,,,,,,,,,2307491.2,4932402.0,2384019.2,2713289.5,1642913.0,4827490.0,
890,122.02468946107979,5.795454,,,,110,,,,,,,218883.02,257946.08,340581.9,202420.11,299216.28,292952.4,
455,123.08155418009405,3.835356,,,,,,,,,,,171493.62,145322.75,354918.56,236580.98,314629.0,485046.62,
143,125.03563430656475,0.7941632,,,,,,,,,,,427457.25,1389203.8,529102.56,344859.94,156974.22,204135.78,
389,125.0971260183295,3.4493835,,,,46,,,,,,,984737.7,864458.7,2056636.1,1250062.8,1848724.1,1834401.4,
218,126.0019016064983,2.5056407,,,,128,,,,,,,498238.84,656017.5,592294.44,526087.6,579956.0,544791.0,
68,128.0352427657586,0.38609147,,,,12,,,,,,,4504108.0,9211090.0,7379843.0,4412549.0,7661060.0,8719510.0,
118,128.03530032049724,0.60721666,,,,78,,,,,,,4957267.0,7772335.5,6807053.0,5043209.5,8672877.0,1.669534E7,
199,128.0353213404196,2.3394406,,,,,,,,,,,100831.29,26872.744,233455.25,0,477525.3,60490.11,
165,128.03535249422666,0.9875817,,,,,,,,,,,324764.28,64485.008,407659.72,17561.922,104069.39,342287.28,
574,130.0509252864466,4.5507026,,,,118,,,,,,,30584.926,24231.443,54185.453,30418.488,35069.742,46173.855,
132,130.05094862768067,0.72229534,,,,88,,,,,,,3716562.0,4354453.0,4702035.0,4524649.0,2629007.2,3830886.5,
100,130.08723395191438,0.5386241,,,,,,,,,,,538497.0,447321.1,419613.3,220108.66,566994.4,570583.6,
134,130.08727078275362,0.74718577,,,,107,,,,,,,5655065.0,9426162.0,7403447.0,6990702.5,9922579.0,1.6313949E7,
303,130.08729013741615,2.964987,,,,123,,,,,,,1438083.1,1397472.9,1439110.2,1686441.1,1466426.1,1596646.8,
433,130.08729322169043,3.7385924,,,,45,,,,,,,180735.4,60799.613,101630.03,92081.375,95198.59,93714.8,
966,130.08729407762578,6.0853763,,,,,,,,,,,114274.984,5491.7847,19615.846,155435.53,224986.78,36539.07,
286,130.08731572283486,2.9132726,,,,69,,,,,,,1059819.4,1174779.0,1370884.1,1443396.0,1041481.75,1401704.8,
235,130.0873226385315,2.6554506,,,,,,,,,,,2402479.8,2596846.0,3127236.5,2964133.0,2869446.0,2895389.5,
160,130.08733202790629,0.87755775,,,,,,,,,,,121646.09,203850.45,433123.84,171675.81,176718.66,245596.03,
364,130.08733453704346,3.3564079,,,,,,,,,,,206066.44,91241.06,217363.89,105596.37,97629.21,131563.6,
228,131.07132681993613,2.615175,,,,,,,,,,,63421.98,33981.957,32420.152,48298.773,60671.14,36103.69,
261,131.07132759057336,2.7794669,,,,119,,,,,,,2287156.5,2581735.0,1944133.4,2635607.2,2227721.0,1889974.6,
13,132.03013486606602,0.3589802,,,,12,,,,,,,509536.62,1013364.9,696177.2,709516.75,1038052.7,1544346.5,
2004,132.0302093365494,10.153912,,,,,,,,,,,48978.59,59171.72,22529.834,32876.33,4019.5142,85340.97,
2009,132.9001607712135,10.182688,,,,,,,,,,,205815.08,179583.56,205491.1,834777.3,418969.3,143863.06,
1637,132.92337549849,7.7112756,,,,,,,,,,,581802.4,874344.75,641496.44,1004804.1,510923.78,1633892.9,
1797,132.92339310107238,8.138902,,,,4,,,,,,,429754.38,5036373.5,4363085.0,1308345.8,622623.06,2304858.0,
55,133.01415408924683,0.38158348,,,,12,,,,,,,6962417.0,2.1070608E7,1.3690181E7,1.2551164E7,1.629281E7,1.8742968E7,
92,133.05047536779517,0.45006076,,,,,,,,,,,434241.1,663011.8,839904.0,508770.94,562487.06,542186.25,
111,133.05053404976317,0.6053,,,,78,,,,,,,1888189.5,1440463.8,2496297.0,2460585.8,3362447.5,2647089.8,
40,134.01752226450697,0.3800578,,,,,,,,,,,282298.4,881926.1,563049.9,513775.75,669699.25,745421.0,
73,134.04715489863904,0.41615653,,,,,,,,,,,374128.44,83698.92,128344.51,277004.12,411372.9,563456.75,
154,134.0472038650095,0.8801891,,,,159,,,,,,,1981824.6,2720068.2,2845757.0,1703892.2,2665097.0,4732472.5,
166,134.0472440147744,1.0518066,,,,,,,,,,,196498.23,90352.84,319081.66,152750.3,233594.16,898237.4,
1668,134.8945971640461,7.7897363,,,,181,,,,,,,9241190.0,5606497.0,5456991.0,6931130.5,9716850.0,8188180.5,
1433,134.89459946642398,7.451763,,,,23,,,,,,,8891684.0,8984110.0,2781154.0,9904193.0,9602382.0,7261313.5,
2010,134.8946220225159,10.18007,,,,96,,,,,,,4752129.5,3805628.5,4128194.5,1.6043654E7,1.1052128E7,2906080.5,
2054,134.89462702248886,10.265975,,,,14,,,,,,,895116.75,1451355.4,1419856.5,880143.7,1025297.3,1496614.2,
2007,135.97088740339467,10.16296,,,,,,,,,,,537920.5,851320.8,664436.8,451683.78,478866.6,525995.06,
317,136.0403567203638,3.0529945,,,,,,,,,,,137920.12,132560.6,164760.11,156666.95,162333.42,178528.23,
209,136.04036074807178,2.408566,,,,,,,,,,,460758.78,399410.94,425597.22,472529.47,452501.25,354271.1,
142,138.01962972447802,0.81501627,,,,,,,,,,,150572.56,253472.06,196682.55,232919.2,272982.75,473173.6,
360,138.0196692674197,3.3237522,,,,,,,,,,,885026.25,935043.1,1356465.9,1110769.4,1265710.9,1399146.6,
474,141.09211728376798,3.9490554,,,,,,,,,,,384088.78,258584.31,663957.7,426432.84,614371.56,914130.5,
457,141.09212237073382,3.8344386,,,,73,,,,,,,310088.8,266442.44,584033.5,404515.22,516333.34,796034.5,
202,144.04546010864047,2.350026,,,,,,,,,,,1529922.9,914013.1,962837.25,1134322.8,988927.7,837929.56,
406,144.04546140047796,3.5543473,,,,,,,,,,,152102.0,22764.494,121928.695,108295.12,0,141722.77,
350,144.04547077350227,3.27377,,,,37,,,,,,,671242.5,411905.53,488600.78,619315.8,491988.88,473420.25,
147,144.0455066719539,0.80328196,,,,,,,,,,,134635.94,3222.982,14351.535,3509.4343,3308.761,3455.9277,
149,144.06657964427714,0.8500535,,,,91,,,,,,,1367193.9,2285624.2,2009768.8,1767067.9,2127389.8,2668373.0,
184,144.0666223363163,2.1418326,,,,105,,,,,,,4937351.0,4786195.0,6783970.5,5394218.5,6034964.0,6764140.5,
2014,144.92335185204922,10.204904,,,,30,,,,,,,1370930.8,2034169.1,2130198.8,1407476.2,1399423.8,1696755.0,
1634,144.92335400502208,7.706431,,,,85,,,,,,,6305928.0,1025327.2,2334182.2,4638454.0,6790833.0,8479944.0,
1866,144.92336083176716,8.276408,,,,,,,,,,,4835214.0,6127212.5,6447239.0,4701295.5,2.1184176E7,2460568.2,
1814,144.92336706821226,8.13715,,,,4,,,,,,,2509705.0,3.5548064E7,2.519204E7,2.2139138E7,2439130.2,1.5919845E7,
185,145.05058524138917,2.1418326,,,,105,,,,,,,947109.44,1365864.5,1531539.6,1459906.6,1279778.9,1223509.0,
108,146.0457757298681,0.4620236,,,,,,,,,,,1.1798043E7,2661206.0,1.5274665E7,1.2365331E7,1.4214548E7,2.2156234E7,
49,146.04577825108316,0.38006446,,,,12,,,,,,,1.923711E7,2.701015E7,2.2572718E7,1.8979756E7,3.3459484E7,2.4080826E7,
1148,146.04582765017628,6.576187,,,,21,,,,,,,71131.98,114036.51,126618.875,83563.516,118121.234,140965.89,
2088,146.9612003691683,10.5811615,,,,,,,,,,,728345.1,1767816.4,1703146.4,621077.25,698501.94,833179.4,
75,147.02978053560102,0.3953869,,,,12,,,,,,,616247.3,1165531.8,1015600.9,914566.75,1532003.8,855519.25,
2005,150.8894685427019,10.154799,,,,,,,,,,,269076.34,196027.66,224827.22,2559470.0,1661254.2,194856.45,
66,151.02599511090477,0.38531336,,,,12,,,,,,,1712049.8,1277824.6,1282917.9,1555524.9,1588432.2,1820385.2,
119,151.0260497456055,0.6268089,,,,78,,,,,,,1858820.4,2222008.8,1934089.2,2237127.8,2358905.2,3433994.8,
500,151.02612728699737,4.0769687,,,,19,,,,,,,197108.16,148572.16,239207.14,215534.12,193906.06,266787.1,
418,151.02614876449147,3.6303663,,,,,,,,,,,84923.49,55784.07,155081.19,112703.67,132475.69,174726.3,
247,151.04005027623435,2.7635996,,,,,,,,,,,361607.84,289071.16,387375.47,379430.2,447681.75,409039.06,
2058,153.86852691345106,10.309268,,,,,,,,,,,367751.7,886027.9,757872.3,71983.52,181058.05,625574.7,
7,154.0620925707774,0.3506671,,,,5,,,,,,,95064.84,368514.12,199383.38,170585.28,326131.62,373253.34,
65,155.0097405826307,0.3800693,,,,12,,,,,,,455830.56,270516.62,625625.2,857380.6,387167.3,673711.56,
425,155.1077613140865,3.6920283,,,,52,,,,,,,1399144.2,1439179.2,1955975.0,1977831.8,2172769.5,1907400.0,
554,155.10778254429601,4.395217,,,,,,,,,,,0,0,27268.832,10620.56,27079.293,63922.56,
377,156.06665199039819,3.4229076,,,,34,,,,,,,69837.29,59039.203,70950.24,68771.9,52503.418,45169.94,
460,156.06665263119663,3.8416233,,,,,,,,,,,124895.945,129001.92,124882.46,153856.88,120688.625,78227.57,
400,156.0666532874482,3.492588,,,,,,,,,,,55934.93,38687.24,62641.453,47411.84,58635.15,47052.684,
175,156.06669945606833,1.9587779,,,,139,,,,,,,2073524.9,2208720.2,2541876.0,2373655.0,2326662.0,2748601.8,
405,156.10294755334542,3.5509884,,,,,,,,,,,511039.0,491333.06,565824.44,721300.06,544818.4,579366.0,
38,157.03656318396403,0.37329504,,,,12,,,,,,,590480.6,1608280.9,719817.25,153503.52,785674.94,1358926.5,
225,157.08697571058366,2.590501,,,,125,,,,,,,159542.14,98501.49,250782.64,247776.72,404001.7,388821.5,
348,157.086999012367,3.2616727,,,,141,,,,,,,318869.2,232203.8,631840.4,421119.7,601996.25,752653.4,
375,157.08700176865173,3.4165685,,,,,,,,,,,93999.54,59613.797,168867.81,85784.16,114955.805,189729.45,
1462,158.0821429614833,7.5667214,,,,,,,,,,,196948.02,216933.92,354804.9,228795.88,295045.94,329792.2,
242,158.0822146742294,2.7252083,,,,92,,,,,,,8738520.0,9436480.0,1.1963436E7,1.0356726E7,1.1276787E7,1.1757955E7,
268,158.08223060730165,2.81168,,,,135,,,,,,,1.3992656E7,1.4843354E7,1.9182152E7,1.6140113E7,1.7772184E7,1.880121E7,
205,158.08223580516753,2.3708584,,,,89,,,,,,,1765233.9,1912167.6,2086085.8,1828318.2,1950474.0,1715877.0,
173,158.08224561995877,1.9424673,,,,102,,,,,,,6179436.0,5716461.5,5048876.0,7291374.0,1.0210872E7,5231203.0,
171,158.08225174880565,1.3866435,,,,,,,,,,,1539494.4,1335027.0,3692662.0,1797967.0,2519124.0,3884123.2,
172,159.085514164798,1.9415215,,,,102,,,,,,,156225.27,146889.14,305915.84,229939.1,464644.9,418571.72,
445,159.1026442418963,3.7887142,,,,,,,,,,,152849.64,72790.49,113753.51,143360.23,154526.39,156511.72,
499,159.102651076317,4.0714326,,,,19,,,,,,,607989.5,530114.7,855860.1,814895.4,811705.25,894751.0,
329,159.10266443645858,3.1542737,,,,,,,,,,,44134.027,23788.766,132352.64,57385.95,86790.87,100514.29,
336,160.04041397362724,3.1951706,,,,165,,,,,,,1587384.2,940915.6,1437374.8,1481933.2,1360036.8,1463482.9,
62,160.06140399936203,0.38381025,,,,12,,,,,,,1945896.5,4190333.0,3210259.5,1682205.9,3112636.2,2712635.2,
121,160.06145582555186,0.6304561,,,,78,,,,,,,2076312.1,2813109.8,2815112.0,3025843.8,3288501.0,6271575.5,
2078,160.84203373416742,10.43793,,,,,,,,,,,689713.25,1420206.0,587483.44,672420.56,659950.44,315133.56,
2084,160.84203590507062,10.485913,,,,177,,,,,,,1035470.6,930594.6,434615.66,1994411.2,1982579.8,362772.0,
137,161.0454938713459,0.7585594,,,,107,,,,,,,1765836.8,3029013.8,2717056.2,2629866.0,3158274.2,3511435.2,
2072,162.83906890224003,10.427095,,,,,,,,,,,618858.56,1345470.9,566875.4,495091.2,449850.53,126959.78,
2082,162.83908499407246,10.47743,,,,177,,,,,,,983754.06,976841.3,424263.5,1825163.9,1761020.0,337287.4,
80,163.0610946366091,0.38763586,,,,12,,,,,,,406882.3,2030743.2,783889.75,605253.8,833589.75,2278242.5,
319,164.03535072869408,3.0513027,,,,174,,,,,,,2246296.0,2127112.2,2500375.5,2494853.0,2637780.0,2845562.8,
354,164.03535863616182,3.2876256,,,,,,,,,,,119252.94,145517.1,207074.56,176618.58,163043.56,177526.72,
314,165.05562884867126,3.021186,,,,35,,,,,,,654854.56,458807.0,752099.56,707749.1,858049.6,885160.06,
494,165.05566812391655,4.0447855,,,,171,,,,,,,514503.47,706354.5,346994.9,775749.44,305935.12,354231.75,
545,165.12842328167787,4.3371897,,,,83,,,,,,,324009.2,285262.94,627084.2,396584.75,474085.4,424771.97,
688,165.12845876066487,5.1142707,,,,138,,,,,,,28631.475,22311.404,89814.15,51711.5,98033.94,166268.7,
565,167.0349769186516,4.5048704,,,,,,,,,,,121346.08,279383.28,374715.25,275955.1,304870.34,228184.81,
294,167.03499867797834,2.9235084,,,,,,,,,,,51169.57,104944.2,146046.42,111170.18,89567.59,108979.96,
253,168.03013296532848,2.760547,,,,131,,,,,,,297372.06,479714.5,455322.3,413154.28,359610.16,423668.56,
23,168.03347094566578,0.36654195,,,,12,,,,,,,3683361.2,2399185.5,3602879.8,3655440.8,3312897.5,2489727.0,
72,168.06646662764726,0.38380468,,,,12,,,,,,,181366.0,965948.5,905663.94,577553.44,630669.44,1800834.4,
122,168.06654244339606,0.6302297,,,,,,,,,,,200679.83,565002.7,524453.6,386843.25,536968.4,1123766.5,
22,169.0617282421629,0.36652943,,,,12,,,,,,,888407.8,929304.7,720417.7,898553.6,751054.7,956992.8,
32,171.00629451915725,0.36799017,,,,12,,,,,,,249981.7,808951.0,275848.9,281691.28,949679.0,1066122.5,
159,171.06632250523452,0.9462431,,,,,,,,,,,66283.766,60061.617,122938.836,100887.9,318039.56,349908.94,
343,171.0663368466519,3.2322953,,,,,,,,,,,231234.52,220412.53,418972.84,309607.75,429035.38,771203.7,
440,171.1026814007372,3.7536488,,,,26,,,,,,,6747277.0,5694943.0,1.3506745E7,7444214.0,1.1644022E7,1.1835973E7,
486,171.10269320760878,4.004971,,,,,,,,,,,291535.16,238132.98,422141.8,386347.72,385796.8,412530.16,
296,171.10275650849323,2.951596,,,,123,,,,,,,1939913.2,1185213.0,2659793.5,2545849.0,3912292.5,2842937.8,
144,172.040437101335,0.81995267,,,,91,,,,,,,1835987.5,1555904.1,1158450.9,1366565.5,1354592.9,1465765.4,
265,172.09789401649718,2.7982683,,,,,,,,,,,253183.5,247923.86,283791.56,274846.53,285072.56,281075.0,
305,172.0979442004306,2.914172,,,,69,,,,,,,9004134.0,2.261009E7,1.1846956E7,1.2052883E7,8999180.0,1.1729638E7,
130,173.08181510342447,0.69965667,,,,31,,,,,,,518862.47,758745.3,462804.84,557210.56,702589.3,984687.5,
318,173.0818423631779,3.0440557,,,,174,,,,,,,958028.1,760568.7,1766629.4,1234346.2,1896570.4,2030508.1,
233,173.0931062779513,2.6554534,,,,,,,,,,,499991.72,557622.4,617236.25,592545.9,647137.0,609173.8,
302,173.1010528144925,2.921263,,,,,,,,,,,814195.2,1141638.5,1084514.0,1071306.9,1010774.75,1175748.4,
48,174.040660570644,0.3800929,,,,12,,,,,,,191014.84,763183.06,439976.3,470045.66,805130.8,681957.94,
96,174.0770164346179,0.37782657,,,,12,,,,,,,1410520.2,3765653.0,2094685.8,1419091.2,1914150.8,3248818.8,
133,174.07711249043817,0.74570876,,,,107,,,,,,,287677.22,411465.88,523716.0,435732.6,582501.6,708198.94,
2087,174.95605496519548,10.57754,,,,106,,,,,,,1.4618727E7,1.6674975E7,1.6705154E7,1.4098028E7,1.5475426E7,1.716154E7,
213,175.06115439798518,2.4345114,,,,,,,,,,,636195.44,1110509.6,1652168.6,1118792.1,1930053.1,1500062.6,
5,176.00946472547912,0.34590423,,,,5,,,,,,,667345.25,348729.1,437707.06,544296.5,383113.94,177850.98,
229,178.0509348245814,2.621621,,,,,,,,,,,491990.5,472134.47,570520.75,597586.7,550095.94,584488.0,
347,178.05098677255992,3.2469065,,,,141,,,,,,,2309202.0,2390689.8,2683876.8,2701724.8,2410799.5,2510288.5,
1880,179.0382312858535,8.417878,,,,175,,,,,,,1589246.4,1172909.9,3103527.8,1735836.8,2257792.2,3546912.5,
1867,179.0382421431468,8.326581,,,,104,,,,,,,219123.28,709806.8,1754836.6,255878.61,373296.66,493324.16,
1475,179.0382627753944,7.616891,,,,,,,,,,,36540.58,0,0,376415.47,300133.7,630929.94,
1904,179.03826663806134,8.638423,,,,147,,,,,,,344413.84,210426.89,600870.5,383720.4,341657.78,1065171.5,
27,179.05601848458613,0.36880997,,,,12,,,,,,,635103.44,1378226.6,825169.6,872908.06,991329.0,1758174.2,
468,179.07138551967077,3.9192126,,,,162,,,,,,,897921.75,883982.2,924261.3,1285838.1,721452.94,1255458.8,
81,181.07167417637322,0.40436944,,,,12,,,,,,,1.289428E7,6.701529E7,4.0277508E7,1.955291E7,2.414546E7,1.0016317E8,
