"","filter","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML"
"3003/483.2728mz/6.99min",353226.42,1501637.9,1202212.9,43478.785,309968.62,133805.9,396484.22
"3006/297.2434mz/7.04min",144134.67,162411.86,151791.94,211389.64,102089.25,75247.52,136477.4
"3008/340.2855mz/7.05min",74115.157,75897.58,123800.38,136214.36,68464.164,63522.88,72332.734
"3009/299.259mz/7.05min",47516.029,37676.496,45698.62,49333.438,78660.93,76674.09,43172.973
"3010/365.2366mz/7.1min",5516674.5,10502022,4404801.5,13659625,699094.76,6628547.5,3495473.8
"3012/271.2279mz/7.07min",8609963.75,7714282,8276757.5,9648310,7890666.5,8943170,11299145
"3014/826.5608mz/7.07min",9602560,2467249,21078908,18179234,493449.8,493449.8,16737871
"3015/371.3165mz/7.08min",547315.64,499092.75,511856.88,597032.94,521956.72,572674.56,753293.94
"3018/329.2697mz/7.1min",691169.7,617250.3,600745.25,842242.06,527688.5,765089.1,1181203.1
"3019/285.2435mz/7.11min",907768.525,755721.7,891767.8,923769.25,857961.75,944797.44,1355518.4
"3020/160.9355mz/7.13min",164192.555,169191.73,159193.38,123732.11,1235483.5,335387.22,142381.6
"3022/325.1843mz/7.09min",203973.57,213021.81,194925.33,102870.96,4109824.2,237984.83,96981.055
"3023/327.127mz/7.14min",49132.963,7983.668,15735.373,21418.406,315422.5,128421.86,76847.52
"3025/395.2778mz/7.14min",212548.705,145481.94,206267.19,199150.31,375007.7,218830.22,229899.94
"3026/328.2938mz/7.14min",1652884.95,1446959,1392703.8,1557345.5,1907664,1748424.4,1805030.2
"3027/365.2366mz/7.14min",3375644.5,5813669.5,7828799,22126.554,110632.77,10064767,937619.5
"3028/427.2154mz/7.14min",277206.355,149147.17,219236.16,250145.33,682605.1,340746.3,304267.38
"3030/327.2905mz/7.14min",7655181.5,6768945.5,6426103,7200450.5,8762015,8109912.5,8361741.5
"3032/340.2855mz/7.15min",392124.205,250242.28,276399.44,386597.97,397650.44,554394.1,621909.4
"3033/473.327mz/7.15min",292976.04,204992.48,180456.88,266226.7,319725.38,323707.03,510061.72
"3034/343.2852mz/7.15min",187139.51,161665.36,147871.39,237837.81,158606,212613.66,264745.66
"3035/373.2958mz/7.16min",567274.115,497124.53,458954.94,663050.56,302391.06,637423.7,737986.25
"3036/285.2435mz/7.16min",1487149.45,1285894.5,1558532.9,1607044.6,1415766,1412069.2,2329277.2
"3037/326.2701mz/7.17min",256293.635,245635.47,249608.67,294081.66,219369.95,262978.6,370806.9
"3038/443.3167mz/7.18min",105181.45,82021.51,76680.32,108127.13,129465.02,102235.77,142751.36
"3039/299.2591mz/7.2min",170669.6,124436.97,134437.22,162080.95,193905.97,179258.25,208734.55
"3043/409.2359mz/7.19min",222587.805,2542123,518053.9,142037.52,62243.555,226143.53,219032.08
"3044/297.2434mz/7.24min",337058.92,150155,130783.53,207347.12,466770.72,475942.22,679520.94
"3045/397.3322mz/7.24min",204882.96,191113.34,200637.45,239800.95,204651.94,205113.98,309115.84
"3046/655.443mz/7.26min",1368642.7,1150815.2,1300879.8,1461185.9,1976041.6,1059840.4,1436405.6
"3047/586.4689mz/7.27min",336980.53,191670.67,444386.16,256293.5,416262.28,257698.78,418528.16
"3048/339.1998mz/7.29min",571966.27,2273242.5,619406.1,465711.8,163222.47,2166158,524526.44
"3049/455.3141mz/7.35min",79129.755,71551.08,147019.83,44387.04,86708.43,112969.06,60538.08
"3050/341.2696mz/7.31min",532756.04,486417.66,572596.3,685339.06,437145.47,492915.78,720268.56
"3051/494.3962mz/7.33min",326511.905,493016.16,616140.3,478961.62,99532.01,174062.19,164734.05
"3052/621.4007mz/7.33min",16648.3908,38569.33,75412.31,27747.318,5549.4636,5549.4636,5549.4636
"3053/397.3321mz/7.33min",2479258.05,1901123.9,3083972.2,3057392.2,1436258.1,1623701,3761994.5
"3055/354.3009mz/7.35min",154100.905,101195.7,162703.98,142989.98,196659.56,217230.36,145497.83
"3057/285.2434mz/7.36min",694586.6,634000.3,755172.9,809796.9,580706.3,580394.2,825645.5
"3058/369.3008mz/7.36min",3824658.1,2657640.2,2656233.2,3404753.2,4712291.5,4244563,5004351.5
"3059/469.2259mz/7.37min",94415.21,27405.738,50116.727,68730.64,253660.06,157634.89,120099.78
"3060/391.2829mz/7.37min",204228.38,129565.56,208472.81,199983.95,480770.53,88295.93,305751.16
"3061/313.2748mz/7.37min",661518.655,586387.5,623406.56,699630.75,717925.6,566376.8,786684.4
"3065/457.3326mz/7.39min",111344.38,89899.38,101448.89,121239.87,194364.22,82623.086,183570.81
"3066/353.3059mz/7.4min",118113.4,88881.22,147345.58,153158.67,69233.24,67701.88,147540.47
"3067/342.3094mz/7.4min",235311.895,235371.6,235252.19,228686.55,316657.3,220664.36,259543.53
"3068/341.306mz/7.4min",1116213.7,1100583.6,1113061.8,1119365.6,1468372.6,1095813.4,1215973.4
"3071/343.2852mz/7.42min",15152389,14956328,15236997,17907896,12727048,15067781,23127222
"3072/455.3126mz/7.42min",841290.325,615890.06,921230.6,914164.25,553418.7,768416.4,1150761.2
"3073/443.2104mz/7.42min",383627.69,259488.7,223156.17,357507,633611.8,409748.38,416758.72
"3074/426.2078mz/7.42min",80955.095,30928.97,150167.17,77655.81,127589.35,65524.344,84254.38
"3076/297.2433mz/7.43min",841084.65,785872.5,896296.8,899818.75,757915.06,674192.9,1028177.8
"3078/497.2884mz/7.44min",44436.32,222181.6,658287.2,44436.32,44436.32,44436.32,44436.32
"3081/299.259mz/7.44min",1369176.2,1151157,1397361.4,1441951.6,1395758,1084452.4,1342594.4
"3082/379.1581mz/7.45min",230386.345,204896.8,179287.45,260381.5,742233.25,238904.77,221867.92
"3083/467.2777mz/7.49min",30083.3195,1767.0978,60083.47,305252.9,1767.0978,8835.489,51331.15
"3084/742.503mz/7.45min",174648.84,1159330,96245.16,362205.25,21314.463,163876.98,185420.7
"3085/480.3094mz/7.48min",677314.92,225771.64,1128858.2,9819075,225771.64,225771.64,1517253.9
"3086/443.3165mz/7.45min",223070.47,176063.52,200435.25,245705.69,285549.78,176285.47,386881.34
"3087/114.9341mz/7.45min",576282.625,563655.25,588910,644616.9,1105419.8,557158.44,419639.97
"3089/132.9234mz/7.45min",419038.09,374802.97,409803.38,493888.56,428272.8,383032.16,473185.25
"3090/160.9354mz/7.45min",156848.745,131046.05,160141.89,153555.6,1182706.4,167510.34,99505.92
"3091/365.2365mz/7.45min",1447265.3,1447265.3,1447265.3,1447265.3,7236326.5,1447265.3,1447265.3
"3093/435.2512mz/7.38min",13791.0795,755894,62717.64,9199.641,1839.9282,1839.9282,18382.518
"3094/134.8946mz/7.45min",4429875.6,6805906,2867674.8,3819326.2,5040425,7632343,3115207
"3096/457.0818mz/7.45min",264020.91,332100.56,123084.05,259595.7,288357.97,131719.16,268446.12
"3097/419.1082mz/7.45min",627755.92,540221.9,488354.34,715289.94,785243.4,453100.34,951621.7
"3099/421.1052mz/7.46min",811895.02,692632.6,634140.2,931157.44,1018336,581663.3,1205671.1
"3100/339.254mz/7.46min",688095.85,682594.5,483399.78,659434.75,693597.2,1052194.6,1201390.8
"3101/738.5083mz/7.53min",361173.435,280016.84,449173.4,216740.77,43348.154,18632662,442330.03
"3103/838.4331mz/7.51min",3375.7749,665.9875,3421.6123,19257.271,665.9875,3585670.5,3329.9375
"3105/354.3012mz/7.49min",370615.69,286996.28,358761.44,351806.7,382469.94,414349.8,720482
"3106/637.4324mz/7.52min",155969.15,272653.12,372581.1,360635.34,39285.18,3197.3896,15986.948
"3108/411.3478mz/7.55min",470824.125,320841.5,695591.1,620806.75,266084.7,312014.88,685846.94
"3109/455.3163mz/7.55min",112327.167,87241.625,101343.26,113338.17,135535.3,111316.164,193429.47
"3112/447.3478mz/7.56min",80026.8775,54171.527,75810.95,57163.633,225673.55,84242.805,88275.65
"3113/313.2385mz/7.58min",50886.562,10964.084,3134.8496,3304.0322,114586.24,90809.04,96727.67
"3114/383.3166mz/7.59min",269186.43,121965.03,245750.14,292622.72,372001.66,318536.88,195676.28
"3115/399.348mz/7.65min",462819.315,381841.4,499068.53,327946.6,513901,426570.1,586029.56
"3117/313.2748mz/7.6min",3083024.35,3202257.2,2963791.5,3653007.5,2939546.2,2954251.5,3930561.8
"3119/481.3531mz/7.61min",306232.675,299846.6,295734.1,226227.4,656301.1,312618.75,477671.9
"3122/134.8946mz/7.62min",7197769.5,2739101,6657594,8633210,9358194,2644703,7737945
"3123/399.1843mz/7.63min",249816.105,95587.9,250226.6,252475.8,432821,233960.64,249405.61
"3130/402.3011mz/7.64min",1343504.8,703998.1,969496,1123439,2000055.9,1563570.6,2262211.2
"3131/508.4116mz/7.64min",433825.5,614392.7,892625.6,822870.94,253258.3,164897.05,184166.6
