"MetaboAnalyst_ID","GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML","GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML","GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML","GF_PF_MC_RCG_1_neg_20210511_Run79.mzML","GF_PF_MC_RCG_2_neg_20210511_Run97.mzML","GF_PF_MC_RCG_3_neg_20210511_Run198.mzML","shared_name"
"2545/307.1914mz/4.5min",3.15621813994941,2.9609078455972,3.16605082398887,3.4497978164709,3.45869657941087,3.58392089026634,"2545"
"2548/329.2333mz/4.5min",4.1949401613089,4.03744226846525,4.26729239994329,4.55457047275138,4.61998364626237,4.64959263623763,"2548"
"2549/507.2819mz/4.5min",2.67191538944215,2.52704527663896,2.84441769977855,3.07185592927071,3.12715932248171,3.1286386365392,"2549"
"2550/330.2366mz/4.5min",3.46555269234966,3.31508611579246,3.53515167028591,3.84791648772817,3.88657952408293,3.91433593593763,"2550"
"2551/375.1846mz/4.52min",2.30804433547012,2.05436420382257,2.5558330648268,2.77489657551718,3.05859802041845,2.99050191442869,"2551"
"2552/388.224mz/4.5min",2.80718722256331,2.65087846533643,2.79831662078094,2.57847897140363,2.60016434954819,2.68321993959995,"2552"
"2553/331.2391mz/4.5min",2.52543683757236,2.35002695785007,2.59679463128452,2.89940523082053,2.96838439596183,2.98961413337983,"2553"
"2555/349.1403mz/4.51min",2.33553654055236,2.12843271565004,2.59304805080999,3.08563142990715,3.17743191571068,3.02683960997378,"2555"
"2563/262.1084mz/4.54min",3.07796912926297,2.9163772186372,3.20073342042428,3.52841318043755,3.50625579956406,3.23673079754636,"2563"
"2564/218.1186mz/4.55min",2.65072448181507,2.48417011949174,2.75748337391689,3.12027486445601,3.09307834015509,2.78413461991336,"2564"
"2565/718.451mz/4.56min",2.88330508735612,2.67501335369172,2.89712905278433,2.88251111190609,2.75410994547051,1.99894639853256,"2565"
"2566/228.1604mz/4.56min",2.83267388752295,2.66238973090002,2.88202225822208,3.0709840417126,3.12390791241341,3.05518548113148,"2566"
"2567/327.2178mz/4.56min",3.76603613028297,3.57333442928705,3.80230179989134,4.02119132302276,4.16943471611698,4.08312756939506,"2567"
"2568/328.2212mz/4.57min",3.05532152753868,2.76419608599371,2.98368743969963,3.29811833065386,3.45904831948969,3.47023976536883,"2568"
"2569/375.1845mz/4.6min",2.49997489457929,2.30130721524673,2.82602564984279,2.86659173336771,3.00855878009057,3.34913668594216,"2569"
"2570/296.0928mz/4.57min",3.15325861704965,3.04878427828124,3.17622169863482,3.2682639476962,3.24330952905501,3.08165663882086,"2570"
"2574/299.1864mz/4.59min",2.22254436399337,1.97768060910064,2.49128791916002,2.80018361591718,2.95775693877566,3.05832439255063,"2574"
"2578/229.9645mz/4.61min",2.98703449789218,2.98651651463612,2.99105732384882,2.9798394366073,2.9914402277947,2.98944291863925,"2578"
"2581/262.1448mz/4.63min",3.27097343234976,3.08825926061512,3.31967173780722,3.51410466884936,3.56493158443664,3.4989218959856,"2581"
"2582/394.271mz/4.63min",2.9699818838622,2.76509686051163,2.96666195372515,2.32748077501981,2.24979001135973,1.51016007936084,"2582"
"2583/214.0874mz/4.64min",2.52621828945617,2.27927114668289,2.5798063155689,2.79321461646824,2.93019719120123,2.95690952430717,"2583"
"2586/311.1865mz/4.65min",2.50404368460628,2.25077276277722,2.51715818151227,2.82542741519262,2.87944082014766,2.96461278500385,"2586"
"2588/646.3249mz/4.66min",2.73291433380003,2.52859824190068,2.69765499350206,2.8637726087603,2.7679895465788,2.49794577895203,"2588"
