Filename,2024_POS_CC_1_Run20.mzML,2024_POS_CC_2_Run47.mzML,2024_POS_CC_3_Run61.mzML,2024_POS_CC-VPA_1_Run26.mzML,2024_POS_CC-VPA_2_Run35.mzML,2024_POS_CC-VPA_3_Run76.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
173/583.2912mz/4.61min,144715.45,39467.914,25571.318,75971.26,96463.87,88519.05
175/246.2427mz/4.69min,421906.94,241016.22,361673.1,275716.66,382105.38,367148.47
176/583.291mz/4.72min,80093.15,28315.516,5795.407,46538.59,70644.93,54166.336
177/211.9705mz/4.75min,3010576.2,3086185.2,3181167.0,3163383.0,3222531.5,3149442.2
178/213.9685mz/4.75min,2951436.0,2976733.5,3062890.5,3083303.5,3196613.5,3087852.2
179/229.9811mz/4.75min,7010560.0,7350487.0,7657618.0,7140516.0,7813506.5,7610421.0
180/231.979mz/4.75min,6890246.0,7271303.5,7597168.0,7127723.5,7724055.5,7495952.5
182/230.9844mz/4.74min,586435.44,618256.9,628901.94,606097.94,649332.06,631704.7
183/232.9823mz/4.75min,559345.1,622539.4,637876.25,599733.5,651636.94,627139.94
184/270.2063mz/4.78min,372678.72,331885.22,357785.06,410803.8,716006.4,348432.72
185/656.071mz/4.78min,1124599.2,1268443.9,1618905.1,1333371.1,1110528.6,1446212.0
190/551.2695mz/4.8min,427248.25,440641.84,459741.7,362609.94,520448.75,461814.25
191/568.2961mz/4.8min,14026671.0,13417324.0,14107290.0,11533541.0,16443734.0,14251347.0
192/573.2513mz/4.8min,1187876.4,1231127.5,1249859.4,984000.1,1489337.4,1388832.8
193/274.274mz/4.85min,286962.53,183454.72,226529.44,268126.38,378058.22,383327.66
194/230.2477mz/4.87min,430348.7,260901.88,379399.28,361308.47,500228.06,481595.28
195/229.1991mz/4.88min,664404.25,658708.5,552259.4,585538.4,581213.4,890384.56
196/250.1777mz/4.88min,782530.8,806940.25,665428.2,703227.94,650862.5,1029458.44
197/228.1958mz/4.88min,5062860.0,4957938.5,4184122.5,4499413.0,4478875.5,6644012.0
198/158.1539mz/4.95min,798888.1,761025.3,778231.94,780024.7,739763.3,729562.4
199/640.3173mz/4.96min,683654.5,641711.44,712445.0,543442.0,761125.3,689404.2
200/398.23mz/4.99min,986272.94,584495.2,932737.4,818093.4,940791.1,1056301.2
201/371.2742mz/5.0min,56089.42,30918.408,60613.79,34476.098,67971.35,72329.586
202/440.277mz/5.03min,2661892.5,1602689.8,2627320.8,2367295.2,3367184.0,2984190.5
203/412.2458mz/5.06min,122609.53,80857.24,115685.586,84752.97,115791.7,140989.52
204/230.2478mz/5.09min,75506.43,44479.016,0.0,41955.258,0.0,36655.637
205/398.2301mz/5.1min,3267316.8,2135922.0,3356334.2,2927551.0,2997788.5,3629478.0
206/426.2614mz/5.11min,185890.55,87180.02,172563.95,135088.9,166436.64,207881.66
207/440.277mz/5.14min,8193631.5,6154331.5,9456741.0,9154918.0,11620478.0,9834457.0
208/412.2457mz/5.17min,484739.34,358331.8,528420.25,409854.38,480438.62,536890.7
209/274.274mz/5.2min,416781.6,240222.11,325205.22,264052.88,367379.38,341188.3
210/387.1801mz/5.21min,435207.62,353825.66,350158.44,328015.44,695663.06,329565.16
211/404.2066mz/5.21min,452540.28,363168.97,337792.12,352137.88,732672.2,347458.66
212/426.2614mz/5.21min,334620.34,158632.94,321417.06,269163.16,296521.5,354513.12
213/752.4mz/5.3min,1024753.75,598757.56,825044.6,820706.1,1157168.4,893255.4
214/583.2914mz/5.32min,0.0,0.0,53795.195,0.0,0.0,0.0
215/482.2876mz/5.42min,481890.78,265811.56,451697.53,548810.25,857380.2,615143.9
216/426.2614mz/5.55min,932896.2,571551.94,960616.5,825649.06,990351.9,1048641.8
217/371.2742mz/5.57min,591540.94,420440.84,617121.25,498624.75,764113.5,730627.3
218/468.3082mz/5.6min,245384.17,162268.0,256384.77,220519.97,315047.97,285977.56
219/678.3631mz/5.63min,592393.4,293052.84,394728.75,454220.38,630247.06,532278.75
220/297.2423mz/5.63min,100100.42,57074.367,88048.13,125912.07,204898.45,114918.2
223/446.2535mz/5.63min,318903.28,348832.88,299378.1,291509.84,249585.34,275367.97
224/415.2113mz/5.64min,2142358.5,2188887.2,1995079.8,1659606.8,1916317.9,1911662.1
225/432.2378mz/5.64min,2571387.0,2528331.0,2266384.0,1932678.6,2261529.8,2283824.2
227/581.312mz/5.65min,109619.49,4763.4956,0.0,35158.72,46022.67,77579.72
228/716.509mz/5.64min,1154070.8,642122.44,812701.3,481403.22,694358.8,738361.1
232/303.3087mz/5.65min,2123404.8,1267029.6,1692953.5,1258789.4,1947035.2,1877433.1
233/284.2947mz/5.65min,303447.9,162967.89,244343.67,166987.75,267088.34,259893.56
234/302.3053mz/5.65min,11436500.0,6792641.0,8906008.0,6576869.5,10687920.0,10232116.0
235/426.2613mz/5.66min,3733901.2,2512296.8,4075763.8,3673912.8,3986110.5,4492445.5
236/307.2478mz/5.68min,468750.2,449512.62,450707.34,479228.1,440930.6,443107.7
237/371.2742mz/5.69min,415180.28,294413.38,455190.56,344421.88,630800.75,582830.06
238/468.3082mz/5.71min,991197.1,755599.1,1152739.8,1130210.9,1385017.2,1272224.4
239/440.277mz/5.74min,172403.81,109346.3,163653.4,133795.95,174552.25,202418.56
240/328.321mz/5.8min,492394.56,282155.47,379713.75,299355.0,416947.4,416775.6
243/330.3366mz/5.81min,414269.56,316919.5,427820.44,340633.22,501890.3,427554.9
244/583.2912mz/5.86min,523684.66,318543.2,505732.44,503297.88,630097.9,462267.25
245/345.24mz/5.89min,64729.598,41311.836,78309.86,55895.0,101567.28,77053.5
246/494.3241mz/5.93min,198316.64,127876.414,212074.38,215490.14,253443.45,239749.81
247/356.3522mz/5.95min,199470.02,141983.44,185759.89,155408.44,245010.0,211283.28
248/345.2401mz/6.01min,87260.39,58890.273,104296.234,73148.516,119849.805,96306.3
250/583.2912mz/6.05min,745941.1,433896.22,607413.1,640150.7,890039.75,606606.7
251/476.2744mz/6.12min,63723.285,39900.58,69793.02,54386.84,70879.91,70975.66
252/583.2912mz/6.12min,350579.72,213064.66,337968.7,328502.88,444044.7,330798.66
253/454.2926mz/6.13min,1216362.2,761669.0,1232021.5,1071879.9,1366982.0,1377742.9
254/291.1954mz/6.16min,394725.72,264026.38,408063.2,309283.03,436548.75,439263.03
255/371.2741mz/6.17min,712887.75,451548.53,715216.4,543648.94,925230.94,935147.8
256/257.2111mz/6.18min,195239.31,130354.08,193383.67,136418.66,229752.33,184608.69
257/496.34mz/6.19min,303381.7,246698.89,355581.16,329363.94,438764.6,403906.38
258/468.3086mz/6.22min,51121.188,34357.6,48692.25,32970.07,51184.688,54641.93
259/476.2744mz/6.24min,341804.62,274416.44,356181.0,304034.5,351540.47,406307.44
260/454.2926mz/6.24min,7430002.5,4988814.0,7518108.5,6514070.5,8115576.0,9112685.0
261/358.3678mz/6.25min,661248.3,692833.2,1627111.8,491988.34,928472.3,1057669.9
262/331.2301mz/6.27min,254930.7,164758.45,221493.52,208965.69,334325.75,306705.4
263/579.4036mz/6.28min,280391.56,184503.02,217586.44,218292.86,233106.52,239810.23
264/297.2423mz/6.27min,148655.23,147407.62,180093.1,164554.66,138937.5,171570.2
265/374.3627mz/6.27min,78463.32,276921.25,699012.5,10652.463,62763.17,256460.72
266/291.1931mz/6.29min,57920.156,40533.88,83952.9,52767.094,99713.14,77097.2
267/257.2111mz/6.28min,286505.03,182462.7,292970.16,242326.47,355642.94,284437.88
268/395.2766mz/6.3min,382773.7,230807.28,355762.3,321349.7,454919.97,405926.7
270/480.3082mz/6.3min,4242481.5,2196170.0,3904135.0,3605270.2,3929476.0,4454150.5
271/496.3397mz/6.3min,2989532.0,2241376.5,3375466.5,3164783.8,3925736.2,3744951.0
272/339.289mz/6.3min,103611.766,53475.543,86666.98,93342.94,89357.02,108115.31
273/959.609mz/6.3min,47517.28,9314.742,38872.48,34142.746,41853.67,52341.367
274/482.3135mz/6.3min,165691.4,79410.38,146634.22,131561.23,161593.72,175038.77
275/502.2901mz/6.3min,226039.31,116272.42,207855.53,184426.7,200989.6,227224.72
276/440.4095mz/6.3min,574250.06,553853.75,567721.44,379925.84,562349.3,511476.4
278/468.3083mz/6.33min,406468.56,285673.25,418912.16,316374.1,441153.47,488303.97
279/544.3365mz/6.37min,53293.746,12665.543,50233.926,43560.316,63784.582,63638.176
280/522.3552mz/6.37min,1212222.2,653791.06,1193402.6,1065652.9,1448563.0,1433552.1
281/494.3246mz/6.4min,74577.9,35538.285,61055.848,41710.832,56725.355,67088.7
282/483.3271mz/6.4min,73095.47,31377.074,68762.375,33997.273,78258.266,99889.16
286/480.3083mz/6.41min,16565334.0,8651221.0,15998008.0,15358497.0,14840164.0,17668122.0
287/502.2901mz/6.41min,629994.4,402938.12,603201.3,577436.5,572936.7,675128.56
289/959.609mz/6.41min,611287.4,206118.98,610481.4,579552.2,540269.7,734580.75
290/482.3139mz/6.41min,522022.28,288372.75,480881.78,510651.2,334841.88,432900.78
291/353.2685mz/6.46min,1521326.8,922546.44,1814663.9,1478455.6,2120980.8,1823047.2
292/583.2912mz/6.46min,1024963.5,657958.94,997620.56,948224.94,1150208.8,1002168.0
