"","filter","POS_D5-Ctrl-a-P-EAMeOH_Run28.mzML","POS_D5-Ctrl-b-P-EAMeOH_Run31.mzML","POS_D5-Ctrl-c-P-EAMeOH_Run34.mzML","POS_D5-211-C2-a_Run118.mzML","POS_D5-211-C2-b_Run121.mzML","POS_D5-211-C2-c_Run124.mzML"
"281/561.2513mz/4.0min",342439.38,265480.97,174576.11,420086,361960.2,385058.97,322918.56
"282/222.1464mz/4.06min",799764.095,955115.94,980712.06,964789.3,644412.25,630745.75,635733.06
"283/325.1255mz/4.25min",1248399,1583260.5,1528237.1,1479621.2,1017176.8,963225.9,854351.44
"284/255.0544mz/4.37min",272299.64,402634.62,315403.9,628271.3,229195.38,193056.83,183462.34
"285/233.0725mz/4.36min",204934.875,320252.12,231804.45,479347.22,178065.3,149558.05,139737.78
"286/226.1801mz/4.38min",236243.425,197493.38,170621.11,186580.23,274993.47,312235.38,303538.12
"287/244.1907mz/4.38min",105781.935,83366.7,63701.723,74144.56,128197.17,144289.88,137249.2
"288/266.1725mz/4.38min",180154.265,146818.17,118264.06,136822.86,213490.36,246346.25,229202.83
"289/236.162mz/4.45min",157125.495,163352.25,151623.72,177733.6,162627.27,136587.28,110661.164
"290/397.1464mz/4.49min",383647.75,494671.75,503326.38,453133.97,314161.53,291679.53,266185.88
"291/689.2984mz/4.5min",661314.975,474250.75,358575.4,751538.4,680014.75,713742.75,642615.2
"292/244.0666mz/4.55min",358902.06,218457.75,182002.38,307984.84,418614.6,460007.25,409819.28
"294/236.0804mz/4.55min",2687796.65,2166959.2,1832987.5,2958121.8,2686752.5,2988245.5,2688840.8
"295/433.2064mz/4.55min",6404312.5,4836569.5,4095306,7164602,6465757.5,7048794,6342867.5
"296/450.2332mz/4.55min",1999410.05,1432475.8,1112257.6,1988622.9,2099529,2290147.8,2010197.2
"297/455.1884mz/4.55min",39303157,32546796,29498876,41604456,39619304,41393020,38987010
"299/211.9706mz/4.69min",4060534.75,3761432.2,3963934,3843235.2,4358281.5,4157135.5,4255841.5
"300/232.9822mz/4.69min",725695.37,655927.06,670648.5,673756.44,814209.2,777634.3,820938.2
"302/229.9812mz/4.69min",8880747.25,8030920,8279314.5,8181102.5,9898482,9482180,9805603
"303/231.979mz/4.69min",8703606.25,7866489.5,8120750.5,8046694.5,9699942,9286462,9592556
"304/230.9844mz/4.69min",733914.5,653265.5,687448.1,673436.9,817503.8,780380.9,824131.2
"305/469.1088mz/4.7min",410535.23,419921.3,341815.03,437213.72,429241.84,401149.16,385440.84
"306/447.1268mz/4.7min",402177.23,408332.06,322271.2,415406.34,414116.78,396022.4,377117.78
"307/269.07mz/4.7min",324734.465,399851.88,399975.8,508238.9,249617.05,240888.19,246974.06
"308/247.0882mz/4.7min",292949.48,366489.66,348629.6,440457.3,237269.36,225403.62,212483.03
"310/568.296mz/4.73min",561802,551706.94,512918.5,419508.53,589094.4,582953.3,571897.06
"311/573.2514mz/4.73min",5582130.75,5792151.5,5721766,4949339,5602818,5561443.5,5474913.5
"313/318.2999mz/4.81min",93949.2525,93410.31,105996.734,101911.586,94488.195,93179.57,85906.79
"314/228.1958mz/4.82min",435165.78,375877.94,280987.28,417873.06,658740.44,474340.94,452458.5
"315/250.1776mz/4.82min",1081692.95,948250.1,780248.9,1038158,1582340.5,1146851,1125227.9
"316/270.1463mz/4.85min",314621.04,430738.5,308956.28,571242.9,320285.8,297877.62,259519.25
"317/448.203mz/4.9min",76804.36,75484.95,65167.57,88952.57,87530.914,77447.82,76160.9
"320/320.1829mz/5.07min",304776.785,256225.61,246236.19,346529.38,307439.06,303392.6,306160.97
"321/149.0234mz/5.13min",101681.125,99261.4,167688.02,123335.695,104100.85,83320.484,81707.43
"322/272.2582mz/5.22min",679584.05,300750.12,316894.5,296277.22,1108987.5,1042273.6,1079884.9
"323/344.1301mz/5.23min",837595.55,645924,557319.56,893402.2,829807,903928.6,845384.1
"324/649.3061mz/5.24min",1239077.55,930067.7,787158,1297782.9,1238769.2,1292348.9,1239385.9
"325/666.3328mz/5.24min",911373.675,821067.3,670757.25,946404.06,936481.1,931980.75,890766.6
"326/671.2882mz/5.24min",12651899,10427694,9260107,13315287,12643928,12966901,12659870
"327/318.3001mz/5.31min",9414501.25,5934756,7259731.5,6024288,11569271,11712022,12165271
"328/300.2895mz/5.3min",167452.51,107954.38,115740.125,127970.82,212443.56,206934.2,208163.61
"329/340.2819mz/5.31min",455722.925,278987.53,357522.1,259418.67,553923.75,575434.25,614982.8
"330/298.2739mz/5.38min",1226378.7,881948.2,722599.5,652704.8,1624184.8,1574918,1570809.2
"331/338.2662mz/5.39min",424306.015,476252.94,515901.78,467469.97,374414.8,381142.06,374109.7
"332/256.2634mz/5.39min",61510.78,29490.324,43873.27,36870.965,83234.83,80614.43,79148.29
"333/470.1853mz/5.43min",12519507,12577972,11651619,12632333,13002147,12461042,12449171
"334/448.2033mz/5.43min",6039880.25,6093395.5,5346304.5,5938084,6483213.5,6082519,5997241.5
"335/917.3811mz/5.43min",733060.08,731141.56,588800.5,734978.6,830090.5,738981.9,716616
"336/284.6053mz/5.43min",549377.75,535269.6,480160,558883.4,564699.75,539872.1,560645.7
"337/264.0921mz/5.43min",441155.39,441183.75,412273.72,464052.66,441127.03,450289.53,435718.3
"338/286.2739mz/5.45min",443464.29,217436.72,249969.58,214422.9,652674.7,636959,642823.7
"339/338.2662mz/5.49min",381477.69,480305.22,508964.38,487227.6,282650.16,273707.78,270292.03
"340/256.2998mz/5.5min",5551805.9,2473680.8,2473766.8,2419764.2,8629845,8648227,8669685
"342/304.2996mz/5.53min",941481.45,428091.25,1341518.4,875957.8,616107.94,1099269.9,1007005.1
"343/332.3156mz/5.53min",630514.92,335771.84,410040.84,316043.56,850989,874711.8,932638.75
"344/324.2869mz/5.55min",944238.42,677138.4,860823.9,617154.44,1167205,1255262.9,1027652.94
"345/302.3052mz/5.55min",23957584,14529426,18241482,12789598,29673686,29981038,31545368
"346/303.3085mz/5.55min",4824970.6,2907843.2,3649845.2,2534438,6000096,6100718.5,6351011
"347/284.2947mz/5.56min",891492.83,518337.78,672389.56,463334.62,1110596.1,1151638.2,1194638.6
"348/716.5087mz/5.57min",95204.675,39468.01,51680.25,35973.414,138729.1,144474.11,324469.66
"349/437.1929mz/5.57min",2533681.6,2499703.2,2734021.5,2567660,1790804.2,1824398.4,4793004.5
"352/415.211mz/5.58min",357596.24,353175.6,367513.4,362016.88,248249.56,241273.64,684942.44
"353/195.1016mz/5.61min",790567.655,792258.06,792970.94,797714.6,772070.94,788877.25,782109.75
"354/330.3mz/5.61min",311315.92,329316.94,367152.72,251772.92,244877.86,293314.9,582970.1
"355/310.2351mz/5.63min",213462.665,102810.75,259674.28,190968.39,57614.996,235956.94,392326.78
"356/322.2712mz/5.65min",1205274.3,1034628.7,1197967.6,766472.25,1212581,1315669,1340520.2
"357/301.2928mz/5.65min",16095589,11659405,13483624,9234012,19381500,19499858,18707554
"358/300.2896mz/5.65min",81520096,58193252,66959492,46175132,96080700,96583500,101354840
"359/282.2789mz/5.65min",415369.22,277250.75,313363.94,202887.42,519250.53,517374.5,569142.1
"360/270.2789mz/5.68min",200192.88,124229.836,174297.14,102637.45,226856.3,226088.62,254883.3
"362/452.2767mz/5.68min",181952.92,72446,75782.33,100261.9,321858.28,263643.94,359751.28
"363/279.0991mz/5.67min",7484627.95,13310200,17454812,18171728,818205.4,846235.44,1659055.9
"364/105.0335mz/5.67min",785724.96,1405544.2,1862517.8,1954406,67400.625,62440.17,165905.72
"365/211.0753mz/5.67min",463657.66,839328,1136878.6,1188472.1,15101.09,18064.656,87987.32
"366/225.0909mz/5.67min",766009.575,1404334.6,1856042.9,1990193.9,43725.03,62129.473,127684.55
"367/320.1254mz/5.67min",882874.35,1577232.4,2105751.2,2232581,81941.5,65080.062,188516.3
"368/535.2082mz/5.68min",254896.332,424827.22,687957.06,740089.8,84965.444,84965.444,84965.444
"369/887.3874mz/5.68min",2427386.4,1689499.1,1448349.9,1802355.8,3067372.5,3334306.5,3052417
"370/118.0651mz/5.68min",352520.685,630936.06,830034.8,858127.3,21955.469,27876.72,74105.31
"371/344.3156mz/5.69min",1992376.2,2796154,3353263,2033489.4,1436586.5,1560882.4,1951263
"372/345.319mz/5.68min",428687.51,603963.8,752635.75,443611.62,291229.22,331074.62,413763.4
"373/284.2946mz/5.7min",173256.845,106184.42,100298.62,76595.19,263423.72,240329.27,256239.48
"375/494.3239mz/5.71min",176179.368,58726.456,58726.456,58726.456,347055.94,293632.28,302645.7
"377/399.148mz/5.73min",3793573.75,3752296.5,3296221.8,3534322.2,3997685,3834851,3879799.5
"378/377.1661mz/5.73min",1557834.55,1376747.6,1148919.9,1244989.5,1972114.1,1741398.6,1738921.5
"379/368.3131mz/5.73min",1367726.05,1016037.5,1218967.9,963645.94,1516484.2,1830290.2,1901919.5
"380/346.3314mz/5.74min",29311302,19668546,23402924,18847248,35219680,36690536,37997380
"381/347.3346mz/5.74min",6206070.5,4096154.2,5210428.5,3885269.2,7201712.5,7488542.5,8490927
"382/270.279mz/5.72min",299804.055,142620.58,188939.86,71105.61,410668.25,437157.03,474754.72
"383/328.3208mz/5.73min",210440.5,141263.17,190407.98,142409.88,233306.05,230473.02,238254.02
"385/452.2767mz/5.76min",888750.335,88672.45,91408.87,74833.375,2271948.8,1686091.8,2121206.2
"386/337.1044mz/5.79min",381538.457,42498.664,35775.4,38626.453,794207.8,720578.25,748075.2
"387/316.3208mz/5.78min",524869.01,319493.9,392658.62,278384.3,657079.4,710717.94,684364.7
"389/517.2516mz/5.81min",646922.175,573665.44,733159.25,576616.5,651916.75,641927.6,802311.2
"390/494.3236mz/5.82min",1536886.2875,7166.2275,18777.775,4295.884,4411190,3192157.2,3054994.8
"391/266.6392mz/5.81min",604880.55,201626.85,201626.85,201626.85,1344187.9,1045836.9,1008134.25
"392/516.3059mz/5.81min",258258.336,86086.112,86086.112,86086.112,716586.4,465739.66,430430.56
"393/823.4193mz/5.82min",403008.36,289016.7,306650.6,291373.53,556917.06,517344.62,499366.12
"394/104.107mz/5.82min",1259347.39,40907.816,50503.98,48009.746,2937202.5,2508528.8,2468190.8
"395/339.1119mz/5.83min",604695.55,531882.2,685324.1,579919.8,593522.6,615868.5,671786.25
"396/326.3051mz/5.81min",629165.68,462345.7,508108.66,402981.7,750222.7,765397.25,778467.25
"397/147.0805mz/5.83min",216358.115,174700.45,223669.66,188146.9,221992.56,210723.67,235124.75
"398/284.2947mz/5.84min",2016996,1367646.2,1627199.5,1295309.4,2406792.5,2518131.2,2573333.2
"399/345.3191mz/5.86min",533796.4,445598.6,541005.2,478717.9,526587.6,549470.3,601348.1
"400/344.3157mz/5.86min",2555033.15,2122445.2,2585648.5,2297709,2524417.8,2673843.2,2867887.5
"401/631.3266mz/5.88min",1017321.05,1043104.7,723945.44,1034670.8,1093920.9,999971.3,934641.2
"402/314.3051mz/5.88min",2220606.2,1545433.5,1803921.4,1386687.6,2637291,2729066.2,2962562.2
"403/371.1168mz/5.91min",83435.348,111350.586,90859.586,116081.03,76011.11,68739.63,66110.305
"405/320.2557mz/5.91min",269878.975,366100.28,372143.72,367497.3,156544.25,173657.67,137448.08
"406/358.3312mz/5.92min",187914.72,199620.38,265257.22,164602.03,159878.11,176209.06,229507.67
"407/291.0779mz/5.95min",449654.515,417606.38,442421.78,423673.97,486189.47,456887.25,478238.22
"408/449.1847mz/5.95min",690311.025,609579.2,685759.25,627110.1,810515.3,694862.8,737683.8
"410/352.3183mz/5.99min",333787.02,299559.16,373283.53,244129.33,261066.33,368932.38,368014.88
"411/332.3309mz/5.96min",456615.67,200037.47,612967.94,334399.4,278398.16,578831.94,584761.56
"412/330.3365mz/5.99min",9605968.25,6696466,8007155.5,5574152.5,11204781,12097933,11881994
"413/312.3259mz/5.99min",206261.75,126651.625,163481.19,98093.73,249042.31,287216.16,267972.66
"415/359.1532mz/5.99min",1216332.3,1468940,1093383.6,1438126.8,1237811.1,1194853.5,1160092.8
"416/337.1712mz/5.99min",2094760.15,2327105.2,1701578.4,2189075.2,2295549.2,2000445.1,1898318.6
"417/1103.4871mz/6.01min",234425.065,173193.55,131939.98,194631.83,382416.47,322206.34,274218.3
"418/331.3398mz/5.99min",2081697.45,1450882.4,1764217.4,1194236.8,2399177.5,2697776.2,2531617.5
"419/359.24mz/6.01min",710194.05,768796.2,945547.3,895504.25,651591.9,511041.62,545432.3
"420/563.238mz/6.01min",414588.97,335817.8,332529.28,393022.78,445201.47,476177.3,436155.16
"421/631.3265mz/5.94min",157943.015,136941.34,285723.75,224342.69,178944.69,129815.28,72358.375
"423/320.2559mz/6.06min",455450.69,656863.1,679362.5,674156.8,229885.33,254038.28,253896.47
"424/350.3023mz/6.06min",258034.565,497011.2,598054.5,434287.06,39873.742,80554.14,81782.07
"426/532.2583mz/6.07min",485257.29,613620.6,380602.3,554049.75,497757.8,472756.78,414682.03
"427/329.3241mz/6.08min",11869374.5,9508129,11087898,8871765,12650851,13280976,15758426
