row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,POS_D5-211-C3-b_Run148.mzML Peak area,POS_D5-211-C3-c_Run151.mzML Peak area,POS_D5-211-C3-a_Run145.mzML Peak area,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML Peak area,
618,91.5044282187667,10.366807,,,,30,,,,,,,1701256.6,1722703.4,1756379.1,1792999.4,1763337.5,1804893.0,
640,94.04513737721327,10.4450655,,,,10,,,,,,,5056362.5,5505159.5,5134796.0,4974401.0,4939875.0,4732135.5,
594,97.51444442285037,10.327313,,,,30,,,,,,,1680216.5,1825469.8,1787608.2,1307722.9,1388868.0,1278102.9,
4,97.96883901909159,0.03498169,,,,0,,,,,,,421103.62,467929.6,424019.53,110124.95,84880.164,114579.016,
11,97.96884768926581,0.31743234,,,,6,,,,,,,130346.97,140048.75,182539.88,158515.05,189730.44,188352.1,
655,97.99140000328856,10.511012,,,,10,,,,,,,1.0184705E7,9068476.0,9888303.0,9588389.0,9013835.0,9387882.0,
592,98.51207772521195,10.32574,,,,30,,,,,,,3.1650328E7,2.8955732E7,2.8060248E7,2.3580524E7,2.2551964E7,2.2928398E7,
26,101.02342981061823,0.6775144,,,,,,,,,,,585445.1,756183.0,1118186.8,265777.72,183513.19,194353.06,
554,101.0709794727917,10.17649,,,,,,,,,,,2136249.5,1962155.4,1966248.0,2082775.5,2138950.8,2031272.8,
476,101.07101722799366,8.428441,,,,,,,,,,,1930120.2,2475225.0,9287400.0,2757002.2,2783649.8,2707119.8,
644,102.03390634015638,10.474288,,,,10,,,,,,,1.5215546E8,1.5616709E8,1.5129502E8,1.4028165E8,1.3853955E8,1.4515152E8,
645,102.53547333902998,10.47516,,,,10,,,,,,,1.3251663E7,1.3510042E7,1.3167077E7,1.2205041E7,1.1980027E7,1.2592613E7,
9,102.97032510827256,0.10630483,,,,,,,,,,,51427.273,124200.84,423200.47,64144.83,74751.68,96249.92,
25,102.97032867221861,0.43844008,,,,,,,,,,,195085.45,155459.28,1150365.9,124027.65,85483.33,114074.99,
31,102.97033381277843,1.6576394,,,,,,,,,,,108628.82,192019.16,300100.03,78968.17,65178.445,100246.94,
646,104.03025831313734,10.47679,,,,12,,,,,,,3902657.2,3972033.8,3742921.0,3615046.0,3202513.0,3703096.5,
146,105.03356218434202,5.6756835,,,,40,,,,,,,440235.25,423513.88,469416.1,2467678.5,1846915.0,2597630.5,
595,109.02249228526978,10.327676,,,,30,,,,,,,6985423.0,7145904.0,7168197.0,7381046.5,5669208.0,5644671.0,
632,109.52172017892168,10.376288,,,,30,,,,,,,5255336.5,5393811.0,5220936.0,5096003.0,4941068.0,5259094.5,
588,110.02010363430799,10.324863,,,,30,,,,,,,1.2659719E8,1.12049976E8,1.25653976E8,9.046508E7,8.930242E7,9.133548E7,
590,110.52176245542186,10.3249445,,,,30,,,,,,,8319964.0,8457569.0,9583297.0,6168187.0,6615303.0,7821718.5,
625,111.020215575303,10.369316,,,,30,,,,,,,7.661826E7,7.7131224E7,7.5885864E7,7.939425E7,7.915511E7,8.0734264E7,
656,111.03904722711842,10.520761,,,,10,,,,,,,1.0749948E7,7917768.0,1.1503986E7,1.2155978E7,1.0615713E7,1.1574239E7,
621,111.51894729251124,10.36768,,,,30,,,,,,,1933264.6,1971962.9,1926032.9,2008572.1,1924844.1,2014142.6,
620,111.52179145392897,10.36757,,,,30,,,,,,,6517566.5,6520932.0,6494622.0,6787262.5,6691522.5,6880642.5,
623,112.01785074110991,10.368552,,,,30,,,,,,,3.0019622E7,3.019226E7,2.9619398E7,3.1093494E7,3.0950596E7,3.1442178E7,
627,112.51959248968723,10.370187,,,,30,,,,,,,2135102.8,2183622.0,2076332.2,2206800.8,2166385.2,2212751.0,
624,113.01660685163965,10.368552,,,,30,,,,,,,4331854.5,4227111.0,4265238.0,4348225.0,4360230.5,4455318.5,
308,113.01669525344164,7.572853,,,,,,,,,,,594232.75,2491923.8,2376412.2,379783.9,505995.47,289314.25,
597,113.96360968397238,10.330005,,,,30,,,,,,,9240109.0,1.0301123E7,9226956.0,7057517.0,8225338.5,7176085.0,
5,113.96377889365124,0.03498794,,,,0,,,,,,,2955968.2,2844668.0,2773611.2,2782697.0,2728314.8,2835497.2,
15,113.96378695602375,0.324743,,,,6,,,,,,,2160328.8,2222226.5,1678973.5,2057201.1,1645683.8,2389126.8,
615,114.01650801691568,10.365092,,,,30,,,,,,,1035838.44,1080653.2,1021172.6,1105818.0,1043150.6,1113333.8,
635,115.96400647076156,10.379615,,,,30,,,,,,,2164672.0,2084740.2,2200947.2,2001137.5,2156360.2,2425267.5,
17,116.97196426113292,0.32472876,,,,,,,,,,,339505.28,342838.22,290542.94,983248.2,593772.5,930963.44,
144,118.06514819453763,5.6756783,,,,40,,,,,,,190746.78,188245.72,211180.25,1088992.5,832281.06,1140044.9,
179,119.08559716860186,6.1004353,,,,8,,,,,,,1424861.9,1380406.0,1436872.1,2233152.8,1330526.4,1468033.6,
47,120.04449513081651,2.833064,,,,43,,,,,,,692642.8,649178.9,915849.3,2504766.0,2561646.0,2225040.0,
651,125.9862379880425,10.489833,,,,10,,,,,,,2.3593744E7,2.0541142E7,2.098646E7,2.1710632E7,2.3375738E7,2.2511954E7,
23,128.95083468550055,0.4233153,,,,36,,,,,,,2212660.8,2347433.8,1974379.8,2565770.5,2388062.0,2683212.5,
638,130.52168885668377,10.393441,,,,30,,,,,,,2430887.5,2180064.8,2219119.8,2255533.8,2379528.2,2290723.8,
609,131.53353799550558,10.364081,,,,30,,,,,,,6348067.5,6468415.5,6128134.0,6902001.0,6743107.5,7144073.5,
310,131.53362291091952,7.619163,,,,,,,,,,,4555246.5,5040144.5,4579428.0,2525547.2,884824.8,2123222.5,
474,136.02169949034388,8.416671,,,,,,,,,,,998860.06,957158.2,900831.9,4750310.0,4908357.5,4705572.0,
34,136.03949618724957,1.7413985,,,,27,,,,,,,757500.06,1085607.8,1078039.8,2152909.8,2348383.2,4251467.5,
32,138.0551148218724,1.6820782,,,,,,,,,,,781113.8,1283668.4,1541151.8,2189070.2,2169571.0,3493681.5,
46,138.0551252213819,2.832153,,,,43,,,,,,,200849.0,203142.55,286001.3,699165.94,729429.0,635383.44,
587,138.99537785634809,10.324117,,,,30,,,,,,,5625756.5,5633461.5,5731464.0,4422416.5,4209994.0,4454389.5,
654,139.01794737591294,10.502214,,,,10,,,,,,,1.1059754E7,1.1057829E7,1.0835536E7,1.0482867E7,1.0097925E7,1.011755E7,
606,139.98792968035212,10.361571,,,,30,,,,,,,2.6393654E7,2.6743854E7,2.645016E7,2.7495566E7,2.6880322E7,2.7274766E7,
570,140.0682450942351,10.246961,,,,,,,,,,,506576.4,457229.0,487263.0,560391.5,659295.6,596098.6,
664,140.06829800324712,10.822299,,,,,,,,,,,141721.02,94866.305,123194.96,73282.055,148040.45,47706.25,
277,140.06830605530317,7.3738728,,,,31,,,,,,,464071.7,445563.4,460907.72,469224.88,415988.38,470809.44,
395,140.06830746944877,7.86787,,,,7,,,,,,,584545.6,332793.06,325901.75,387615.97,367544.5,402318.38,
65,140.06832262923356,3.7124274,,,,,,,,,,,113137.555,164955.33,137240.38,104845.33,70989.58,104798.42,
39,140.0683308020131,2.4570954,,,,,,,,,,,116770.82,70644.57,56074.7,82358.17,43240.918,86683.18,
29,140.06834509602078,1.2068704,,,,,,,,,,,55386.06,83690.48,56337.805,63796.117,51280.32,38143.996,
585,141.95858272404243,10.325737,,,,30,,,,,,,2667574.5,2621305.0,2538805.0,1977538.4,1692146.6,1755625.9,
3,141.95875515751024,0.0340817,,,,0,,,,,,,9439540.0,1.0960369E7,1.1239874E7,8401688.0,1.1490568E7,1.0876501E7,
14,141.95876740846083,0.32016146,,,,6,,,,,,,8782020.0,7848416.5,6559620.0,1.4746755E7,8587854.0,5522232.0,
608,141.9833750781212,10.364079,,,,30,,,,,,,1.0062343E7,1.024042E7,1.0053975E7,1.0441034E7,1.036238E7,1.0472705E7,
10,143.95915672971663,0.32018125,,,,,,,,,,,203886.6,231294.69,186274.14,490633.8,283899.4,840383.1,
2,143.95917611124415,0.033190396,,,,,,,,,,,166424.84,199526.66,234657.97,91169.72,221170.83,248489.75,
616,143.98092300080677,10.365822,,,,30,,,,,,,1299246.6,1339504.4,1306107.9,1370583.1,1370528.0,1361345.8,
549,144.98222710547643,10.172841,,,,45,,,,,,,1.1022479E7,8259794.5,1.6033038E7,7507640.0,2.1425664E7,1.5264123E7,
667,145.03533269420768,10.926743,,,,59,,,,,,,9792403.0,9869102.0,1.0068779E7,9413920.0,9211714.0,9322635.0,
548,146.98035122066088,10.168903,,,,45,,,,,,,4487767.5,3712136.5,6128657.0,3439236.0,9715590.0,3229767.8,
666,147.03095245547016,10.830162,,,,,,,,,,,6045774.5,6156178.5,6192151.0,5764449.0,5561993.0,5763578.5,
158,147.0805356720853,5.8288674,,,,13,,,,,,,164394.58,155064.45,175154.05,295731.25,233216.47,255060.53,
181,147.08055398172522,6.1004353,,,,8,,,,,,,2.2261478E7,2.1895204E7,2.2381206E7,3.37832E7,2.0449328E7,2.2549684E7,
600,152.9949442242885,10.333524,,,,30,,,,,,,2156840.2,2122920.0,2019836.5,1759399.0,1670331.0,1536843.1,
647,154.0050008128458,10.478898,,,,10,,,,,,,2583338.0,2408615.0,2596264.8,2515498.2,2444328.2,2517970.5,
35,154.04999109404747,1.7423209,,,,27,,,,,,,358718.06,455998.62,454053.5,1008220.44,1111081.8,2011934.6,
596,154.9902311565381,10.3293085,,,,30,,,,,,,4.868914E7,3.432542E7,3.468068E7,3.06347E7,2.7373912E7,2.9119792E7,
631,156.99066751539286,10.376254,,,,30,,,,,,,7486987.5,7591421.5,7235136.0,7892164.0,7797681.0,7868386.5,
564,158.96412186336906,10.225184,,,,25,,,,,,,3251501.5,3263760.2,2575550.5,1906315.6,2624077.2,1869687.1,
634,158.9860886414526,10.378847,,,,30,,,,,,,2921518.8,2946276.8,2815190.8,3095836.5,3042893.8,3145120.2,
6,159.96925258040122,0.034983423,,,,0,,,,,,,4562406.0,4415163.0,4376444.5,4326045.5,4641526.5,4479709.5,
13,159.96927381788865,0.32203606,,,,6,,,,,,,2593777.8,3265203.2,1841691.9,4295066.0,4084891.5,5161697.0,
583,163.9905312055184,10.322346,,,,30,,,,,,,4102889.8,4026187.2,4098812.2,3114640.2,3112184.2,2318191.0,
184,165.09114063877428,6.101316,,,,8,,,,,,,1161682.8,1147397.8,1189182.8,1798361.6,1058426.0,1163049.0,
637,165.9829615784503,10.391564,,,,30,,,,,,,2893452.5,2588693.2,1963660.9,2999492.8,2994280.8,2786776.0,
648,167.01285735046616,10.481332,,,,10,,,,,,,4.506896E7,4.6475332E7,4.592089E7,4.570683E7,4.358381E7,4.469897E7,
649,168.01614128723264,10.4829645,,,,10,,,,,,,2371060.2,2450234.5,2417327.2,2426957.2,2303669.5,2340229.5,
591,169.9773095097945,10.324963,,,,30,,,,,,,3273215.2,3022489.2,3093574.0,2523196.0,2090951.4,2717459.5,
665,169.97738141650987,10.806443,,,,,,,,,,,1830216.4,1870202.9,1612502.0,4723972.0,1639406.1,1162215.4,
48,171.09929549694502,2.8586254,,,,,,,,,,,2711087.5,2740815.2,2775283.0,475002.56,490318.56,267178.84,
668,171.9930172423611,10.972953,,,,59,,,,,,,6291851.5,6458938.5,6164576.5,5685771.0,5334411.0,5775479.0,
52,172.13332719576474,3.1893666,,,,49,,,,,,,1122162.8,1157237.4,1136079.1,1000862.06,1050209.2,1013033.6,
586,172.95637184344022,10.323981,,,,30,,,,,,,3645433.8,3553226.2,3805539.0,7586959.5,7769538.0,7882801.0,
480,172.95648321931517,8.570827,,,,,,,,,,,5841541.5,5787090.0,1268544.4,2066747.9,1934974.5,1824700.4,
21,172.9771788111109,0.39569497,,,,36,,,,,,,1358738.5,1397621.2,1303232.1,1540978.1,1454416.0,1527799.4,
663,173.03022097381609,10.79087,,,,,,,,,,,1053443.5,2652722.2,1063704.4,654111.6,435258.7,899721.3,
328,173.1326090264911,7.696443,,,,,,,,,,,51695.164,139451.6,424003.44,68375.266,140622.23,107455.93,
582,174.9533419655015,10.322237,,,,30,,,,,,,973652.7,878511.1,952224.6,1189366.0,1219012.0,1864198.0,
479,174.95345826018158,8.563248,,,,46,,,,,,,1663978.4,1635482.8,534754.9,630749.25,569437.06,517835.53,
633,174.95681405574547,10.377969,,,,30,,,,,,,1600799.9,1598034.1,1664340.8,2453941.5,2511086.8,2466169.5,
7,176.98457502069766,0.034983423,,,,0,,,,,,,1135085.6,1136238.2,1181312.0,1022336.06,1047339.4,1035003.7,
12,176.98458343388708,0.31834137,,,,6,,,,,,,368474.4,362763.38,298929.12,933284.5,913744.7,407455.72,
581,180.98981085631627,10.321368,,,,30,,,,,,,1514379.2,1505115.9,1549172.5,1199319.5,972405.4,1199906.2,
613,181.01442954493155,10.364957,,,,30,,,,,,,4900372.5,5018921.5,4897153.0,5250397.0,4991951.5,5315389.0,
312,181.01455191333991,7.6156964,,,,,,,,,,,745013.06,777612.7,2801086.5,667207.6,638819.7,681138.3,
584,182.98517779066682,10.323106,,,,30,,,,,,,2.5640138E7,2.5171192E7,2.4908646E7,1.9318986E7,1.8995584E7,1.9853678E7,
603,183.0098327517987,10.358079,,,,30,,,,,,,1842929.8,1887476.1,1828615.2,1992402.0,1869142.9,1988661.4,
661,184.00298739553054,10.541955,,,,3,,,,,,,7921442.0,6561343.5,8015525.0,6825015.0,6884058.5,6564892.0,
610,184.9855212352342,10.36408,,,,30,,,,,,,8204040.0,8619127.0,8406220.0,8208764.0,8216978.5,8527034.0,
612,186.98095253469774,10.364954,,,,30,,,,,,,3132014.5,3305916.2,3167322.0,3197577.0,3141608.2,3281207.2,
19,186.9810506662509,0.32200515,,,,,,,,,,,102312.63,105950.805,80668.516,146788.0,177004.67,190878.4,
329,191.14312354127333,7.6955533,,,,,,,,,,,52161.3,137880.98,418317.84,64577.547,140332.3,100144.09,
263,194.115277274096,7.4066167,,,,,,,,,,,460528.2,568527.4,533716.5,444780.94,431726.94,446100.9,
60,194.11530267373078,3.5425804,,,,,,,,,,,374958.25,360720.53,522701.1,195951.27,436737.9,170419.77,
56,194.11531574165463,3.3984897,,,,,,,,,,,134859.06,251298.02,959707.8,526896.56,134364.14,121655.08,
53,194.11535237674318,3.1920583,,,,49,,,,,,,6731986.5,6965845.5,6260256.0,5608868.5,5550690.0,5752086.5,
138,195.10172633472212,5.6138396,,,,,,,,,,,813318.7,813200.0,827168.6,753661.0,763165.75,792258.3,
598,196.01677010285388,10.33009,,,,30,,,,,,,1921873.9,1803648.8,1570074.0,1538541.5,1588109.5,1608647.9,
330,198.18535941836095,7.694651,,,,,,,,,,,65596.91,155523.0,481748.4,77633.695,154172.36,117786.28,
659,199.97533027746624,10.55062,,,,,,,,,,,1160410.8,1323161.9,1399675.6,375456.8,50600.664,434805.06,
477,199.9754250935913,8.547763,,,,56,,,,,,,2385309.2,2470521.0,1641501.0,885433.3,795955.8,759679.25,
61,201.05969049451332,3.6547143,,,,,,,,,,,30231.223,44735.16,40963.363,150574.69,183206.77,383144.03,
601,201.97569865028993,10.347875,,,,30,,,,,,,896596.1,936548.4,903973.06,505166.6,468773.0,477031.88,
657,201.9757184858655,10.523694,,,,3,,,,,,,1043579.94,1042679.8,1107864.2,910274.3,894870.0,944537.5,
490,201.9757759801712,8.689659,,,,,,,,,,,462413.2,491728.4,453049.28,1094939.9,1050704.6,1111101.2,
484,201.97578251994352,8.642376,,,,,,,,,,,459785.38,855578.75,754779.7,551974.7,553046.75,580172.3,
20,202.18026964362795,0.38370523,,,,,,,,,,,1091846.9,817000.5,568422.3,965623.06,828940.25,840620.8,
27,202.18027266279526,0.70628065,,,,,,,,,,,214075.3,200788.84,119864.52,221008.98,183787.23,170202.81,
119,203.0620930350657,5.279807,,,,,,,,,,,239737.53,243679.66,268331.25,289328.8,368459.94,399944.6,
77,203.06209779630498,3.9048407,,,,,,,,,,,67640.89,66777.055,84625.16,175056.88,159196.42,221874.0,
579,205.01713331423323,10.320582,,,,30,,,,,,,7908024.0,7980749.5,7837891.0,6269994.5,6009908.0,6322871.5,
605,207.01750605405877,10.359824,,,,30,,,,,,,5613105.5,5744478.5,5605744.0,5852630.0,5736909.5,5721414.5,
339,207.01764442015812,7.653936,,,,,,,,,,,3167050.2,872109.75,681463.2,717869.44,711926.75,721998.25,
642,208.03933766849056,10.473548,,,,10,,,,,,,2957076.0,3054452.2,2841694.0,2890163.0,2781455.0,2846321.0,
331,208.1697067762202,7.6946588,,,,,,,,,,,94354.484,218100.3,645733.8,110122.32,218144.58,165069.02,
604,209.01292317995015,10.358953,,,,30,,,,,,,2114833.8,2134782.8,2138918.2,2227056.2,2168588.8,2182367.2,
332,209.15371601413202,7.696441,,,,,,,,,,,128666.555,277421.5,812531.6,152293.45,277187.0,204981.88,
150,211.07549620721974,5.675696,,,,40,,,,,,,266103.1,262882.84,286813.53,1541299.8,1131671.8,1620104.2,
96,211.97071595642353,4.6863155,,,,16,,,,,,,4319104.5,4437606.5,4400293.5,4098365.8,3885960.8,4073209.0,
51,212.12585211771557,3.1920652,,,,,,,,,,,741991.44,713541.7,648072.6,531660.56,538042.2,545192.94,
580,213.98282651882002,10.320614,,,,30,,,,,,,1625625.9,1523893.6,1666826.1,3004029.2,2954334.5,2121385.2,
483,213.9829979424987,8.583873,,,,46,,,,,,,3502887.2,3468772.0,1199566.9,1255963.6,1994470.4,1065871.8,
394,213.9830052978257,7.8723564,,,,,,,,,,,611712.06,601553.25,593506.44,1027605.4,1919399.9,1473685.1,
630,215.9838033924872,10.372783,,,,30,,,,,,,931696.8,962442.3,945496.8,1538013.6,1490980.4,1537714.2,
555,216.9227835058017,10.198913,,,,25,,,,,,,2425098.8,1669804.1,2093621.4,2452230.2,3525483.2,1746166.8,
38,217.10475631919584,2.2389343,,,,,,,,,,,1289343.9,977675.4,1008760.56,1119584.6,873157.44,874888.25,
44,217.10716832810013,2.795709,,,,,,,,,,,116858.55,214426.58,192220.62,251867.11,302399.5,562677.25,
62,217.107203153021,3.655738,,,,,,,,,,,0,19823.367,12228.959,96024.46,123977.27,165238.33,
69,217.10723962920494,3.8459136,,,,,,,,,,,30983.076,57075.547,44209.293,56348.49,77007.41,150358.2,
191,219.05704433949788,6.1039505,,,,8,,,,,,,776375.1,781779.2,777357.9,1139331.4,647338.25,737153.9,
57,219.05710965425828,3.5210047,,,,,,,,,,,823322.4,937973.7,965555.25,704063.7,472468.16,571939.8,
210,220.11220240746448,6.305338,,,,55,,,,,,,521053.75,478145.1,560686.3,1579625.2,1028722.6,1622712.4,
364,220.16730822084367,7.774224,,,,,,,,,,,110195.766,203384.67,537712.25,126526.28,238166.56,187818.3,
320,221.17513628779466,7.69465,,,,17,,,,,,,30976.754,76643.04,241738.06,37061.67,79370.71,57546.64,
374,221.17518278747426,7.77244,,,,42,,,,,,,282130.25,502292.47,1317272.6,323904.6,611463.44,499227.66,
79,222.14650293905376,4.0524945,,,,,,,,,,,691236.0,706746.06,705368.06,555364.0,555436.4,540602.9,
574,223.98829425431867,10.306907,,,,30,,,,,,,4623975.0,4733330.5,4360478.0,4126823.8,4378309.0,4118898.0,
398,223.9884755852745,7.8714805,,,,,,,,,,,5350309.0,5396744.0,1235429.9,1085503.5,1001885.2,1059770.0,
660,225.02945149466117,10.539382,,,,3,,,,,,,2547328.5,2423636.8,2494182.0,2297900.0,2080563.0,2227100.2,
143,225.09110990366113,5.67462,,,,40,,,,,,,436431.75,439169.16,469664.9,2506728.2,1899133.2,2575933.2,
85,226.18018957854073,4.374714,,,,52,,,,,,,152177.88,103480.98,131504.47,117282.11,138396.81,127039.375,
324,226.18022033010925,7.69554,,,,17,,,,,,,542283.5,1037402.1,3352326.8,582207.6,1075306.4,849377.25,
375,226.18023364468343,7.77244,,,,42,,,,,,,399226.22,800424.4,2235597.0,477243.1,875251.06,677584.6,
565,226.95149633067447,10.226106,,,,25,,,,,,,1.0636987E7,1.0703613E7,9398020.0,3827481.2,7775669.0,3718035.5,
533,226.95150188074942,9.9364195,,,,,,,,,,,1332779.9,1330197.8,1110116.2,2297287.8,1343061.5,2240422.0,
280,226.95153992942866,7.373863,,,,31,,,,,,,405800.94,350387.5,214474.56,291421.03,274489.72,350634.5,
467,228.1959186343203,8.356837,,,,29,,,,,,,55896.88,178555.92,293817.88,154734.98,131748.95,125891.08,
376,228.1959229065495,7.77244,,,,42,,,,,,,522907.44,973295.56,2782514.8,617810.2,1119824.1,886804.6,
107,228.19592476780653,4.81845,,,,58,,,,,,,132359.48,142647.52,350672.16,135601.77,216914.27,210690.34,
224,228.23225390558613,6.6486764,,,,32,,,,,,,748316.06,752438.6,735173.8,374012.6,358535.2,388447.1,
98,229.98130500615187,4.6863155,,,,16,,,,,,,9837046.0,1.0177665E7,9999749.0,9201769.0,8713632.0,9118387.0,
95,230.98452740464276,4.6863155,,,,16,,,,,,,806501.7,850723.3,829686.44,749303.0,722326.3,758790.56,
99,231.9791183563465,4.6863155,,,,16,,,,,,,9661419.0,1.0010162E7,9779184.0,9007000.0,8553489.0,8944106.0,
100,232.982346638971,4.6863155,,,,16,,,,,,,812110.94,835472.75,833067.8,762901.06,706129.5,750166.3,
81,233.07264923289958,4.3620625,,,,,,,,,,,168898.47,196642.11,207742.28,316282.84,430908.72,681919.6,
58,233.0726562564465,3.5545018,,,,,,,,,,,52805.863,86772.2,78579.875,61915.23,111962.734,174515.22,
188,235.07124023954213,6.1021934,,,,8,,,,,,,655458.5,644920.1,656286.25,755374.6,478825.16,515278.03,
92,236.08058510557794,4.544809,,,,2,,,,,,,2560688.2,3379359.5,2969496.8,2062183.1,2251770.5,3239293.5,
86,236.16210258729507,4.4471874,,,,,,,,,,,75892.805,84147.234,97036.68,66461.484,82167.91,77752.49,
378,236.16213980386738,7.7733326,,,,42,,,,,,,302356.38,539889.25,1344903.5,325925.53,597995.0,469060.94,
233,237.221258779756,6.9768314,,,,19,,,,,,,0,0,0,143574.7,64129.83,192841.34,
268,237.22133061948207,7.3729706,,,,31,,,,,,,371225.7,269703.2,385311.34,1070492.8,859413.0,1270616.2,
461,237.66076021131212,8.342226,,,,,,,,,,,52016.918,148581.27,504030.84,208071.3,101078.45,132972.22,
55,239.08904320599117,3.351222,,,,,,,,,,,846484.6,1858539.6,1372424.4,621064.56,585025.5,785703.9,
94,244.06675653321057,4.5474734,,,,2,,,,,,,360358.34,485577.5,410354.75,343792.88,392515.88,535368.5,
182,244.07660774984333,6.100434,,,,8,,,,,,,704541.4,723570.6,733441.75,913132.8,497848.2,605505.1,
322,244.19075206214066,7.708177,,,,17,,,,,,,221930.28,159605.8,541989.6,81834.85,169952.47,128611.09,
373,244.19078435872675,7.77244,,,,42,,,,,,,309915.44,572060.5,1632652.9,340914.88,658246.4,528462.7,
74,245.08585558681605,3.8439405,,,,23,,,,,,,343213.8,469949.5,424701.56,465661.06,520364.78,900811.2,
103,247.08828748491342,4.702323,,,,,,,,,,,234773.73,222907.14,278747.03,474250.84,456514.1,599881.7,
321,250.1777494187646,7.69465,,,,17,,,,,,,228876.1,445679.84,1202777.1,257014.73,436824.75,324802.44,
466,250.17777595520405,8.351157,,,,29,,,,,,,159824.92,442249.16,739479.4,282392.97,225416.72,223699.14,
108,250.17778598429607,4.820269,,,,58,,,,,,,379955.0,444152.3,950165.75,393789.3,560718.4,574866.4,
379,250.17779127903927,7.7733326,,,,42,,,,,,,1006362.4,1686692.8,4140883.8,1096949.4,1942089.2,1587470.6,
82,255.05452096926334,4.362061,,,,,,,,,,,233502.89,282527.34,285853.28,324965.4,429370.25,696547.7,
59,255.05454202009972,3.5572243,,,,,,,,,,,56507.457,111116.914,87292.88,40652.473,103437.08,154486.44,
232,255.23178112118555,6.975016,,,,19,,,,,,,0,0,0,163349.73,106372.5,220949.2,
274,255.23188419779527,7.374768,,,,31,,,,,,,515993.0,426290.56,539258.4,1477349.6,1208793.4,1789242.0,
209,255.24309059320004,6.3008595,,,,55,,,,,,,548187.06,538760.1,515979.94,1000481.7,816054.1,987189.6,
185,255.58454741732535,6.1013145,,,,8,,,,,,,1063342.6,1091670.9,1045639.0,1270634.2,744731.94,886366.75,
251,256.2634891760337,7.289491,,,,,,,,,,,367305.06,267444.22,381496.1,274400.44,294529.97,275916.84,
122,256.29988773827057,5.427689,,,,50,,,,,,,7783899.0,7501136.0,7854000.0,1.1312143E7,1.1307937E7,1.1063268E7,
45,257.099553855563,2.7966273,,,,,,,,,,,402661.06,572425.2,508213.3,551323.1,635531.0,1194898.0,
127,264.0920869425267,5.4296136,,,,50,,,,,,,419108.47,395750.8,446236.3,398626.7,458984.72,472174.56,
367,264.1570388772945,7.773336,,,,,,,,,,,58869.97,118111.555,330484.9,68640.92,130355.13,98785.05,
294,265.2525018052758,7.515392,,,,4,,,,,,,0,0,0,172764.45,119325.67,186790.73,
415,265.2526421711788,7.8750453,,,,7,,,,,,,266711.9,243211.64,272758.56,593038.0,550402.7,659578.25,
83,266.17263953110296,4.372902,,,,52,,,,,,,108571.03,78997.71,96408.26,83416.31,88478.78,90807.68,
318,266.17265216966507,7.6937556,,,,17,,,,,,,91145.555,186745.02,503596.03,89703.375,164987.2,128692.23,
380,266.1726880626863,7.7733326,,,,42,,,,,,,484209.22,843782.5,2098054.2,537600.0,955077.4,786402.1,
104,269.0701670297299,4.7041125,,,,,,,,,,,262332.72,312782.53,314804.53,436035.22,416761.0,552757.1,
